longName,wyId
Kenneth Josiah Omeruo,12
Jasper Cillessen,33
Toby Alderweireld,36
Daley Blind,38
Stefano Wilfred Denswil,39
Gregory van der Wiel,45
Joël Ivo Veltman,47
Jan Vertonghen,48
Christian  Dannemann Eriksen,54
Davy Klaassen,56
Kolbeinn Sigþórsson,66
Niki Mäenpää,71
Ragnar Klavan,74
Niklas Moisander,77
Charlison Benschop,91
Johann  Berg Guðmunds­son,93
Andreas Isaksson,97
Przemysław Tytoń,99
Marcelo Antônio Guedes Filho,102
Erik Pieters,107
Jetro Willems,110
Kevin Strootman,114
Georginio Wijnaldum,116
Memphis Depay,118
Jürgen Locadia,120
Dries Mertens,122
Ola Toivonen,123
Erwin Mulder,128
Stefan de Vrij,130
Terence Kongolo,132
Bruno Martins Indi,134
Karim El Ahmadi Al Aroos,142
John Guidetti,151
Jeffrey Gouweleeuw,159
Daryl Janmaat,160
Rajiv van La Parra,173
Filip Đuričić,174
Bas Leon Dost,176
Luciano Narsingh,179
Jagoš Vuković,192
Virgil Misidjan,237
Quincy Anton Promes,253
Roberto José Rosales Altuve,254
Nacer Chadli,261
Leroy Fer,262
Luuk de Jong,267
Mike van der Hoorn,284
Nemanja Gudelj,312
Rhu-endly Martina,340
Krisztián Németh,354
Virgil van Dijk,370
Juninho Bacuna,372
Hyun-Jun Suk,382
Dušan Tadić,383
Bram Nuytinck,394
Lasse Schöne,405
Patrick  van Aanholt,454
Davy Pröpper,466
Wilfried Guemiand Bony,471
Marten de Roon,625
Kristiano Samuel Armenteros Nunez Mendoza Jansson,658
Maya Yoshida,703
Róbert Mazáň,786
Mitchell Dijks,1708
Kenny Tete,1712
Sheraldo Becker,1720
Viktor Fischer,1722
Riechedly Bazoer,1729
Joshua Benjamin Brenet,1730
Hjörtur Hermannsson,1735
Oussama Tannane,1751
Vicente Guaita Panadero,3267
Jordi Alba Ramos,3269
Antonio Barragán Fernández,3270
Adil Rami,3276
Víctor Ruíz Torre,3277
Bruno Saltor Grau,3278
Éver Maximiliano David Banega,3280
Juan Bernat Velasco,3281
Sergio Canales Madrazo,3282
Pablo Hernández,3285
Daniel Parejo Muñoz,3286
Cristian Portugués Manzanera,3287
Mehmet Topal,3289
Aritz Aduriz Zubeldia,3290
Francisco Alcácer García,3291
Pablo Daniel Piatti,3293
Roberto Soldado,3294
Antonio Adán Garrido,3296
Iker Casillas Fernández,3297
Fernando Pacheco Flores,3299
Raúl Albiol Tortajada,3300
José Ignacio Fernández Iglesias,3304
Kléper Laveran Lima Ferreira,3305
Sergio Ramos García,3306
Ricardo Alberto Silveira de Carvalho,3307
Pedro Filipe Teodósio Mendes,3308
Raphaël Varane,3309
Marcelo Vieira da Silva Júnior,3310
José María Callejón Bueno,3313
Ángel Fabián di María Hernández,3314
Lassana Diarra,3315
Esteban Félix Granero Molina,3317
Sami Khedira,3318
Mesut Özil,3319
Nuri Şahin,3320
Karim Benzema,3321
Cristiano Ronaldo dos Santos Aveiro,3322
Gonzalo Gerardo Higuaín,3323
Álvaro Borja Morata Martín,3324
Juan Francisco Moreno Fuertes,3325
Jesé Rodríguez Ruiz,3326
José Luis Sanmartín Mato,3327
Oier Olazábal Paredes,3330
Daniel Alves da Silva,3334
Marc Bartra Aregall,3335
Andreu Fontàs Prat,3337
Sergi Gómez Solà,3338
Martín Montoya Torralbo,3339
Marc Muniesa Martínez,3340
Gerard Piqué Bernabéu,3341
Ibrahim Afellay,3343
Rafael Alcântara do Nascimento,3344
Thiago Alcântara do Nascimento,3345
Sergio Busquets i Burgos,3346
Sergi Roberto Carnicer,3347
Gerard Deulofeu Lázaro,3348
Jonathan dos Santos Ramírez,3349
Francesc Fàbregas i Soler,3350
Francisco Femenía Far,3351
Andrés Iniesta Luján,3353
Javier Alejandro Mascherano,3355
Cristian Tello Herrera,3358
Lionel Andrés Messi Cuccittini,3359
Pedro Eliezer Rodríguez Ledesma,3360
Alexis Alejandro Sánchez Sánchez,3361
Aythami Artiles Oliva,3372
José Andrés Guardado Hernández,3384
Bruno Alexandre Vilela Gama,3394
Kepa Arrizabalaga Revuelta,3397
Raúl Fernández-Cavada Mateos,3398
Gorka Iraizoz Moreno,3399
Jonás  Ramalho Chimeno,3407
Enric Saborit Teixidor,3408
Mikel San José Domínguez,3409
Ander Herrera Agüera,3413
Ander Iturraspe Derteano,3414
Javier Martínez Aginaga,3416
Markel Susaeta Laskurain,3420
Óscar de Marcos Arana,3421
Ibai Gómez Pérez,3423
Fernando Llorente Torres,3424
Iker Muniain Goñi,3425
Sergio  Asenjo Andrés,3428
Thibaut Courtois,3429
João Miranda de Souza Filho,3431
Diego Roberto Godín Leal,3433
Filipe Luis Kasmirski,3434
Javier Manquillo Gaitán,3436
Gabriel Fernández Arenas,3441
Fran Mérida,3442
Jorge Resurrección Merodio,3443
Eduardo Antonio Salvio,3445
Mario Suárez,3446
Juan Francisco Torres Belén,3447
Arda Turan,3448
Radamel Falcao García Zárate,3450
Adrián López Álvarez,3451
Sergio Rico González,3458
Jorge Andújar Moreno,3460
Federico Julián Fazio,3463
Antonio Manuel Luna Rodríguez,3464
Fernando Navarro i Corbacho,3465
