Player,League,Season,Gen_Pos
Gonzalo Higuaín,Serie A,2017-2018,Striker
Miralem Pjanić,Serie A,2017-2018,Midfielder
Mario Mandžukić,Serie A,2017-2018,Striker
Paulo Dybala,Serie A,2017-2018,Striker
Giorgio Chiellini,Serie A,2017-2018,Centre-Back
Sami Khedira,Serie A,2017-2018,Midfielder
Alex Sandro,Serie A,2017-2018,Full-Back
Daniele Rugani,Serie A,2017-2018,Centre-Back
Gianluigi Buffon,Serie A,2017-2018,Goalkeeper
Medhi Benatia,Serie A,2017-2018,Centre-Back
Douglas Costa,Serie A,2017-2018,Winger
Kwadwo Asamoah,Serie A,2017-2018,Winger
Wojciech Szczęsny,Serie A,2017-2018,Goalkeeper
Juan Cuadrado,Serie A,2017-2018,Full-Back
Mattia De Sciglio,Serie A,2017-2018,Full-Back
Claudio Marchisio,Serie A,2017-2018,Midfielder
Federico Bernardeschi,Serie A,2017-2018,Winger
Stefano Sturaro,Serie A,2017-2018,Midfielder
Rodrigo Bentancur,Serie A,2017-2018,Midfielder
Cristiano Ronaldo,Serie A,2018-2019,Striker
Wojciech Szczęsny,Serie A,2018-2019,Goalkeeper
Alex Sandro,Serie A,2018-2019,Full-Back
Leonardo Bonucci,Serie A,2018-2019,Centre-Back
Miralem Pjanić,Serie A,2018-2019,Midfielder
Paulo Dybala,Serie A,2018-2019,Striker
Mario Mandžukić,Serie A,2018-2019,Striker
Giorgio Chiellini,Serie A,2018-2019,Centre-Back
João Cancelo,Serie A,2018-2019,Full-Back
Rodrigo Bentancur,Serie A,2018-2019,Midfielder
Emre Can,Serie A,2018-2019,Midfielder
Mattia De Sciglio,Serie A,2018-2019,Full-Back
Daniele Rugani,Serie A,2018-2019,Centre-Back
Federico Bernardeschi,Serie A,2018-2019,Winger
Juan Cuadrado,Serie A,2018-2019,Full-Back
Sami Khedira,Serie A,2018-2019,Midfielder
Martín Cáceres,Serie A,2018-2019,Centre-Back
Douglas Costa,Serie A,2018-2019,Winger
Leonardo Spinazzola,Serie A,2018-2019,Full-Back
Moise Kean,Serie A,2018-2019,Striker
Leonardo Bonucci,Serie A,2019-2020,Centre-Back
Cristiano Ronaldo,Serie A,2019-2020,Striker
Wojciech Szczęsny,Serie A,2019-2020,Goalkeeper
