Player,League,Season
Gonzalo Higuaín,Serie A,2017-2018
Miralem Pjanić,Serie A,2017-2018
Blaise Matuidi,Serie A,2017-2018
Mario Mandžukić,Serie A,2017-2018
Paulo Dybala,Serie A,2017-2018
Giorgio Chiellini,Serie A,2017-2018
Sami Khedira,Serie A,2017-2018
Alex Sandro,Serie A,2017-2018
Daniele Rugani,Serie A,2017-2018
Gianluigi Buffon,Serie A,2017-2018
Stephan Lichtsteiner,Serie A,2017-2018
Medhi Benatia,Serie A,2017-2018
Douglas Costa,Serie A,2017-2018
Kwadwo Asamoah,Serie A,2017-2018
Wojciech Szczęsny,Serie A,2017-2018
Juan Cuadrado,Serie A,2017-2018
Andrea Barzagli,Serie A,2017-2018
Mattia De Sciglio,Serie A,2017-2018
Claudio Marchisio,Serie A,2017-2018
Federico Bernardeschi,Serie A,2017-2018
Stefano Sturaro,Serie A,2017-2018
Rodrigo Bentancur,Serie A,2017-2018
Benedikt Höwedes,Serie A,2017-2018
Carlo Pinsoglio,Serie A,2017-2018
Cristiano Ronaldo,Serie A,2018-2019
Blaise Matuidi,Serie A,2018-2019
Wojciech Szczęsny,Serie A,2018-2019
Alex Sandro,Serie A,2018-2019
Leonardo Bonucci,Serie A,2018-2019
Miralem Pjanić,Serie A,2018-2019
Paulo Dybala,Serie A,2018-2019
Mario Mandžukić,Serie A,2018-2019
Giorgio Chiellini,Serie A,2018-2019
João Cancelo,Serie A,2018-2019
Rodrigo Bentancur,Serie A,2018-2019
Emre Can,Serie A,2018-2019
Mattia De Sciglio,Serie A,2018-2019
Daniele Rugani,Serie A,2018-2019
Federico Bernardeschi,Serie A,2018-2019
Juan Cuadrado,Serie A,2018-2019
Mattia Perin,Serie A,2018-2019
Sami Khedira,Serie A,2018-2019
Martín Cáceres,Serie A,2018-2019
Douglas Costa,Serie A,2018-2019
Leonardo Spinazzola,Serie A,2018-2019
Moise Kean,Serie A,2018-2019
Medhi Benatia,Serie A,2018-2019
Andrea Barzagli,Serie A,2018-2019
Matheus Pereira da Silva,Serie A,2018-2019
Paolo Gozzi Iweru,Serie A,2018-2019
Carlo Pinsoglio,Serie A,2018-2019
Grigoris Kastanos,Serie A,2018-2019
Hans Nicolussi Caviglia,Serie A,2018-2019
Manolo Portanova,Serie A,2018-2019
Stephy Mavididi,Serie A,2018-2019
Leonardo Bonucci,Serie A,2019-2020
Cristiano Ronaldo,Serie A,2019-2020
Wojciech Szczęsny,Serie A,2019-2020
Juan Cuadrado,Serie A,2019-2020
Miralem Pjanić,Serie A,2019-2020
Alex Sandro,Serie A,2019-2020
Matthijs de Ligt,Serie A,2019-2020
Rodrigo Bentancur,Serie A,2019-2020
Paulo Dybala,Serie A,2019-2020
Blaise Matuidi,Serie A,2019-2020
Adrien Rabiot,Serie A,2019-2020
Gonzalo Higuaín,Serie A,2019-2020
Federico Bernardeschi,Serie A,2019-2020
Danilo,Serie A,2019-2020
Aaron Ramsey,Serie A,2019-2020
Gianluigi Buffon,Serie A,2019-2020
Sami Khedira,Serie A,2019-2020
Douglas Costa,Serie A,2019-2020
Daniele Rugani,Serie A,2019-2020
Mattia De Sciglio,Serie A,2019-2020
Merih Demiral,Serie A,2019-2020
Giorgio Chiellini,Serie A,2019-2020
Emre Can,Serie A,2019-2020
Simone Muratore,Serie A,2019-2020
Luca Zanimacchia,Serie A,2019-2020
Gianluca Frabotta,Serie A,2019-2020
Marco Olivieri,Serie A,2019-2020
Carlo Pinsoglio,Serie A,2019-2020
Daouda Peeters,Serie A,2019-2020
Giacomo Vrioni,Serie A,2019-2020
Samir Handanović,Serie A,2020-2021
Alessandro Bastoni,Serie A,2020-2021
Nicolò Barella,Serie A,2020-2021
Romelu Lukaku,Serie A,2020-2021
Milan Škriniar,Serie A,2020-2021
Stefan de Vrij,Serie A,2020-2021
Lautaro Martínez,Serie A,2020-2021
Achraf Hakimi,Serie A,2020-2021
Marcelo Brozović,Serie A,2020-2021
Ivan Perišić,Serie A,2020-2021
Christian Eriksen,Serie A,2020-2021
