Home_Team,Away_Team,Winner,DR
Zürich,Real Madrid,Real Madrid,3
Marseille,Milan,Milan,1
Wolfsburg,CSKA Moscow,Wolfsburg,2
Besiktas,Manchester United,Manchester United,1
Maccabi Haifa,Bayern Munich,Bayern Munich,3
Chelsea,Porto,Chelsea,1
Dynamo Kyiv,Rubin Kazan,Dynamo Kyiv,2
Olympiacos,AZ Alkmaar,Olympiacos,1
Standard Liège,Arsenal,Arsenal,1
Lyon,Fiorentina,Lyon,1
Sevilla,Unirea Urziceni,Sevilla,2
Liverpool,Debrecen,Liverpool,1
Debrecen,Lyon,Lyon,4
Arsenal,Olympiacos,Arsenal,2
Rangers,Sevilla,Sevilla,3
Barcelona,Dynamo Kyiv,Barcelona,2
Fiorentina,Liverpool,Fiorentina,2
Bordeaux,Maccabi Haifa,Bordeaux,1
CSKA Moscow,Besiktas,CSKA Moscow,1
Milan,Zürich,Zürich,1
Manchester United,Wolfsburg,Manchester United,1
Porto,Atlético Madrid,Porto,2
APOEL FC,Chelsea,Chelsea,1
Real Madrid,Marseille,Real Madrid,3
Stuttgart,Sevilla,Sevilla,2
Debrecen,Fiorentina,Fiorentina,1
Barcelona,Rubin Kazan,Rubin Kazan,1
Olympiacos,Standard Liège,Olympiacos,1
Rangers,Unirea Urziceni,Unirea Urziceni,3
Liverpool,Lyon,Lyon,1
Real Madrid,Milan,Milan,1
Zürich,Marseille,Marseille,1
Juventus,Maccabi Haifa,Juventus,1
Chelsea,Atlético Madrid,Chelsea,4
Porto,APOEL FC,Porto,1
CSKA Moscow,Manchester United,Manchester United,1
Bordeaux,Bayern Munich,Bordeaux,1
APOEL FC,Porto,Porto,1
Besiktas,Wolfsburg,Wolfsburg,3
Marseille,Zürich,Marseille,5
Bayern Munich,Bordeaux,Bordeaux,2
Maccabi Haifa,Juventus,Juventus,1
Fiorentina,Debrecen,Fiorentina,3
Arsenal,AZ Alkmaar,Arsenal,3
Dynamo Kyiv,Internazionale,Internazionale,1
Standard Liège,Olympiacos,Standard Liège,2
Arsenal,Standard Liège,Arsenal,2
Barcelona,Internazionale,Barcelona,2
Fiorentina,Lyon,Fiorentina,1
Unirea Urziceni,Sevilla,Unirea Urziceni,1
Rangers,Stuttgart,Stuttgart,2
Debrecen,Liverpool,Liverpool,1
Real Madrid,Zürich,Real Madrid,1
CSKA Moscow,Wolfsburg,CSKA Moscow,1
Porto,Chelsea,Chelsea,1
Bordeaux,Juventus,Bordeaux,2
Bayern Munich,Maccabi Haifa,Bayern Munich,1
Manchester United,Besiktas,Besiktas,1
Maccabi Haifa,Bordeaux,Bordeaux,1
Marseille,Real Madrid,Real Madrid,2
Juventus,Bayern Munich,Bayern Munich,3
Atlético Madrid,Porto,Porto,3
Besiktas,CSKA Moscow,CSKA Moscow,1
Wolfsburg,Manchester United,Manchester United,2
Internazionale,Rubin Kazan,Internazionale,2
Sevilla,Rangers,Sevilla,1
Stuttgart,Unirea Urziceni,Stuttgart,2
Liverpool,Fiorentina,Fiorentina,1
Olympiacos,Arsenal,Olympiacos,1
Lyon,Debrecen,Lyon,4
Dynamo Kyiv,Barcelona,Barcelona,1
Milan,Manchester United,Manchester United,1
Lyon,Real Madrid,Lyon,1
Porto,Arsenal,Porto,1
Bayern Munich,Fiorentina,Bayern Munich,1
Olympiacos,Bordeaux,Bordeaux,1
Internazionale,Chelsea,Internazionale,1
Arsenal,Porto,Arsenal,5
Fiorentina,Bayern Munich,Fiorentina,1
Manchester United,Milan,Manchester United,4
Sevilla,CSKA Moscow,CSKA Moscow,1
Chelsea,Internazionale,Internazionale,1
Bordeaux,Olympiacos,Bordeaux,1
Barcelona,Stuttgart,Barcelona,4
Bayern Munich,Manchester United,Bayern Munich,1
Lyon,Bordeaux,Lyon,2
Internazionale,CSKA Moscow,Internazionale,1
Barcelona,Arsenal,Barcelona,3
CSKA Moscow,Internazionale,Internazionale,1
Bordeaux,Lyon,Bordeaux,1
Manchester United,Bayern Munich,Manchester United,1
Internazionale,Barcelona,Internazionale,2
Bayern Munich,Lyon,Bayern Munich,1
Lyon,Bayern Munich,Bayern Munich,3
Barcelona,Internazionale,Barcelona,1
Bayern Munich,Internazionale,Internazionale,2
Hibernians FC,FK Mogren,FK Mogren,2
FK Mogren,Hibernians FC,FK Mogren,4
FK Makedonija Gjorce Petrov,BATE Borisov,BATE Borisov,2
Rhyl FC,Partizan,Partizan,4
EB/Streymur,APOEL FC,APOEL FC,2
Inter Turku,Sheriff Tiraspol,Sheriff Tiraspol,1
Maccabi Haifa,Glentoran FC,Maccabi Haifa,6
FC Copenhagen,FK Mogren,FC Copenhagen,6
Fimleikafélag Hafnarfjarðar,FC Aktobe,FC Aktobe,4
Levski Sofia,UE Sant Julià,Levski Sofia,4
Debrecen,Kalmar,Debrecen,2
FK Ventspils,F91 Dudelange,FK Ventspils,3
Zrinjski Mostar,Slovan Bratislava,Zrinjski Mostar,1
UE Sant Julià,Levski Sofia,Levski Sofia,5
BATE Borisov,FK Makedonija Gjorce Petrov,BATE Borisov,2
Sheriff Tiraspol,Inter Turku,Sheriff Tiraspol,1
Partizan,Rhyl FC,Partizan,8
Dinamo Zagreb,FC Pyunik,Dinamo Zagreb,3
Slovan Bratislava,Zrinjski Mostar,Slovan Bratislava,4
Stabæk,KF Tirana,Stabæk,4
APOEL FC,EB/Streymur,APOEL FC,3
FC Baku,FK Ekranas,FC Baku,2
FK Mogren,FC Copenhagen,FC Copenhagen,6
NK Maribor,FC WIT Georgia,NK Maribor,2
Glentoran FC,Maccabi Haifa,Maccabi Haifa,4
Kalmar,Debrecen,Kalmar,2
Levadia Tallinn,Wisla Kraków,Levadia Tallinn,1
FC Aktobe,Fimleikafélag Hafnarfjarðar,FC Aktobe,2
F91 Dudelange,FK Ventspils,FK Ventspils,2
Bohemian FC,Red Bull Salzburg,Red Bull Salzburg,1
Sparta Prague,Panathinaikos,Sparta Prague,2
Anderlecht,Sivasspor,Anderlecht,5
FK Ventspils,BATE Borisov,FK Ventspils,1
Levadia Tallinn,Debrecen,Debrecen,1
Celtic,Dynamo Moscow,Dynamo Moscow,1
FC Copenhagen,Stabæk,FC Copenhagen,2
Zürich,NK Maribor,NK Maribor,1
Slovan Bratislava,Olympiacos,Olympiacos,2
APOEL FC,Partizan,APOEL FC,2
Maccabi Haifa,FC Aktobe,Maccabi Haifa,1
Sivasspor,Anderlecht,Sivasspor,2
Panathinaikos,Sparta Prague,Panathinaikos,3
Dinamo Zagreb,Red Bull Salzburg,Red Bull Salzburg,1
Debrecen,Levadia Tallinn,Debrecen,1
BATE Borisov,FK Ventspils,BATE Borisov,1
Olympiacos,Slovan Bratislava,Olympiacos,2
Partizan,APOEL FC,Partizan,1
NK Maribor,Zürich,Zürich,3
Levski Sofia,FC Baku,Levski Sofia,2
Dynamo Moscow,Celtic,Celtic,2
FC Copenhagen,APOEL FC,FC Copenhagen,1
Celtic,Arsenal,Arsenal,2
Sheriff Tiraspol,Olympiacos,Olympiacos,2
Politehnica Timi<U+0219>oara,Stuttgart,Stuttgart,2
Panathinaikos,Atlético Madrid,Atlético Madrid,1
Levski Sofia,Debrecen,Debrecen,1
FK Ventspils,Zürich,Zürich,3
Red Bull Salzburg,Maccabi Haifa,Maccabi Haifa,1
Lyon,Anderlecht,Lyon,4
Anderlecht,Lyon,Lyon,2
Debrecen,Levski Sofia,Debrecen,2
Atlético Madrid,Panathinaikos,Atlético Madrid,2
Zürich,FK Ventspils,Zürich,1
Maccabi Haifa,Red Bull Salzburg,Maccabi Haifa,3
Olympiacos,Sheriff Tiraspol,Olympiacos,1
APOEL FC,FC Copenhagen,APOEL FC,2
Arsenal,Celtic,Arsenal,2
Lyon,Schalke 04,Lyon,1
Bursaspor,Valencia,Valencia,4
Benfica,Hapoel Tel Aviv,Benfica,2
FC Copenhagen,Rubin Kazan,FC Copenhagen,1
Barcelona,Panathinaikos,Barcelona,4
Arsenal,Braga,Arsenal,6
Real Madrid,Ajax,Real Madrid,2
Shakhtar Donetsk,Partizan,Shakhtar Donetsk,1
MŠK Žilina,Chelsea,Chelsea,3
Marseille,Spartak Moscow,Spartak Moscow,1
Bayern Munich,Roma,Bayern Munich,2
Milan,Auxerre,Milan,2
CFR Cluj,Basel,CFR Cluj,1
Basel,Bayern Munich,Bayern Munich,1
Chelsea,Marseille,Chelsea,2
Braga,Shakhtar Donetsk,Shakhtar Donetsk,3
Spartak Moscow,MŠK Žilina,Spartak Moscow,3
Auxerre,Real Madrid,Real Madrid,1
Partizan,Arsenal,Arsenal,2
Roma,CFR Cluj,Roma,1
Hapoel Tel Aviv,Lyon,Lyon,2
Rangers,Bursaspor,Rangers,1
Panathinaikos,FC Copenhagen,FC Copenhagen,2
Tottenham Hotspur,Twente,Tottenham Hotspur,3
Internazionale,Werder Bremen,Internazionale,4
