Player_SN,Player_LN,ratings_mean,Player Valuation,scouting_period,Age,Height,Position,Foot,Data_League,Goals,Assists,Non.Penalty.Goals,Penalty.Kicks.Made,Penalty.Kicks.Attempted,Yellow.Cards,Red.Cards,xG,npxG,xA,npxG.xA,Goals.1,Shots.Total,Shots.on.target,Shots.on.target..,Goals.Shot,Goals.Shot.on.target,Average.Shot.Distance,Shots.from.free.kicks,Penalty.Kicks.Made.1,Penalty.Kicks.Attempted.1,xG.1,npxG.1,npxG.Sh,Goals...xG,Non.Penalty.Goals...npxG,Passes.Completed,Passes.Attempted,Pass.Completion..,Total.Passing.Distance,Progressive.Passing.Distance,Passes.Completed..Short.,Passes.Attempted..Short.,Pass.Completion....Short.,Passes.Completed..Medium.,Passes.Attempted..Medium.,Pass.Completion....Medium.,Passes.Completed..Long.,Passes.Attempted..Long.,Pass.Completion....Long.,Assists.1,xA.1,Key.Passes,Passes.into.Final.Third,Passes.into.Penalty.Area,Crosses.into.Penalty.Area,Progressive.Passes,Passes.Attempted.1,Live.ball.passes,Dead.ball.passes,Passes.from.Free.Kicks,Through.Balls,Passes.Under.Pressure,Switches,Crosses,Corner.Kicks,Inswinging.Corner.Kicks,Outswinging.Corner.Kicks,Straight.Corner.Kicks,Ground.passes,Low.Passes,High.Passes,Passes.Attempted..Left.,Passes.Attempted..Right.,Passes.Attempted..Head.,Throw.Ins.taken,Passes.Attempted..Other.,Passes.Completed.1,Passes.Offside,Passes.Out.of.Bounds,Passes.Intercepted,Passes.Blocked,Shot.Creating.Actions,SCA..PassLive.,SCA..PassDead.,SCA..Drib.,SCA..Sh.,SCA..Fld.,SCA..Def.,Goal.Creating.Actions,GCA..PassLive.,GCA..PassDead.,GCA..Drib.,GCA..Sh.,GCA..Fld.,GCA..Def.,Tackles,Tackles.Won,Tackles..Def.3rd.,Tackles..Mid.3rd.,Tackles..Att.3rd.,Dribblers.Tackled,Dribbles.Contested,X..of.dribblers.tackled,Dribbled.Past,Pressures,Successful.Pressures,Successful.Pressure..,Pressures..Def.3rd.,Pressures..Mid.3rd.,Pressures..Att.3rd.,Blocks,Shots.Blocked,Shots.Saved,Passes.Blocked.1,Interceptions,Tkl.Int,Clearances,Errors,Touches,Touches..Def.Pen.,Touches..Def.3rd.,Touches..Mid.3rd.,Touches..Att.3rd.,Touches..Att.Pen.,Touches..Live.Ball.,Dribbles.Completed,Dribbles.Attempted,Successful.Dribble..,Players.Dribbled.Past,Nutmegs,Carries,Total.Carrying.Distance,Progressive.Carrying.Distance,Progressive.Carries,Carries.into.Final.Third,Carries.into.Penalty.Area,Miscontrols,Dispossessed,Pass.Targets,Passes.Received,Passes.Received..,Progressive.Passes.Rec,Yellow.Cards.1,Red.Cards.1,Second.Yellow.Card,Fouls.Committed,Fouls.Drawn,Offsides,Crosses.1,Interceptions.1,Tackles.Won.1,Penalty.Kicks.Won,Penalty.Kicks.Conceded,Own.Goals,Ball.Recoveries,Aerials.won,Aerials.lost,X..of.Aerials.Won
Aaron Cresswell,Aaron William Cresswell,0.010630259069007,12000000,2017-2018,29,1.7,Left-Back,left,Premier League,0.03,0.21,0.03,0.0,0.0,0.21,0.0,0.02,0.02,0.08,0.11,0.03,0.62,0.18,28.6,0.05,0.17,28.1,0.23,0.0,0.0,0.02,0.02,0.04,0.01,0.01,35.89,50.06,71.7,689.71,299.47,16.42,18.24,90.0,13.84,17.21,80.4,5.37,13.17,40.8,0.21,0.08,1.03,3.43,0.62,0.41,2.82,50.06,39.35,10.7,2.58,0.03,6.42,2.43,2.73,1.96,1.03,0.44,0.26,26.19,8.56,15.31,38.94,2.26,1.79,6.16,0.15,35.89,0.44,1.29,1.14,1.52,1.82,1.03,0.62,0.03,0.06,0.09,0.0,0.26,0.18,0.09,0.0,0.0,0.0,0.0,1.11,0.53,0.44,0.53,0.15,0.5,0.94,53.1,0.44,10.5,3.37,32.1,5.31,3.61,1.58,1.67,0.56,0.0,1.11,1.52,2.64,3.9,0.0,60.12,3.67,17.51,30.09,15.34,0.5,49.38,0.15,0.5,29.4,0.23,0.0,31.44,132.4,67.45,2.96,1.32,0.06,0.5,0.56,34.34,32.08,93.4,0.91,0.21,0.0,0.0,0.73,0.5,0.09,2.73,1.52,0.53,0.0,0.0,0.0,8.12,2.02,1.67,54.8
Aaron Hunt,Aaron Hunt,0.0068051167204883,1500000,2017-2018,32,1.83,Attacking Midfield,left,Bundesliga,0.13,0.08,0.08,0.04,0.04,0.04,0.0,0.12,0.09,0.23,0.32,0.13,1.13,0.25,22.2,0.07,0.33,23.4,0.42,0.04,0.04,0.12,0.09,0.08,0.01,0.0,36.83,51.26,71.8,704.36,221.66,16.93,20.02,84.6,12.18,15.68,77.7,6.88,12.64,54.5,0.08,0.23,2.71,3.46,1.29,0.21,4.05,51.26,40.75,10.51,4.0,0.46,10.22,2.79,2.75,5.13,1.46,1.71,0.58,28.03,9.84,13.39,41.66,5.71,1.75,0.96,0.38,36.83,0.21,1.21,1.21,2.04,4.25,2.25,1.79,0.04,0.04,0.08,0.04,0.25,0.21,0.04,0.0,0.0,0.0,0.0,1.25,0.92,0.5,0.67,0.08,0.21,1.54,13.5,1.33,20.19,5.63,27.9,4.25,10.89,5.05,1.25,0.08,0.0,1.17,0.58,1.84,0.88,0.0,61.52,1.17,6.26,30.32,28.53,2.84,51.09,0.88,1.5,58.3,0.96,0.17,37.2,188.17,85.04,4.55,1.92,0.29,1.88,1.75,49.05,37.24,75.9,7.26,0.04,0.0,0.0,1.25,2.0,0.21,2.75,0.58,0.92,0.0,0.0,0.0,8.88,0.92,1.54,37.3
Aaron Lennon,Aaron Justin Lennon,0.0038520530335369,5000000,2017-2018,32,1.65,Right Winger,right,Premier League,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.04,0.04,0.09,0.13,0.0,0.66,0.24,35.7,0.0,0.0,16.1,0.0,0.0,0.0,0.04,0.04,0.07,-0.04,-0.04,16.77,23.88,70.2,259.45,73.42,9.8,12.1,80.9,5.7,7.58,75.2,1.04,2.17,47.8,0.09,0.09,0.61,0.94,0.75,0.33,1.84,23.88,22.94,0.94,0.05,0.0,5.27,0.33,1.27,0.0,0.0,0.0,0.0,15.16,4.62,4.1,2.64,19.22,0.8,0.85,0.14,16.77,0.05,0.52,0.71,2.12,1.6,1.08,0.0,0.09,0.28,0.14,0.0,0.33,0.19,0.0,0.0,0.09,0.05,0.0,1.74,0.94,0.75,0.85,0.14,0.47,1.98,23.8,1.51,20.2,4.66,23.1,5.79,9.61,4.8,2.26,0.28,0.0,1.98,0.94,2.68,0.89,0.0,35.18,1.22,6.26,15.07,15.82,2.73,34.29,0.89,2.12,42.2,0.94,0.14,22.42,105.68,64.9,3.86,0.71,0.94,0.85,1.98,30.19,21.38,70.8,3.49,0.09,0.0,0.0,1.13,1.08,0.05,1.27,0.94,0.94,0.09,0.0,0.0,6.12,0.61,1.27,32.5
Aaron Mooy,Aaron Frank Mooy,0.0325453274049692,8666666,2017-2018,28,1.74,Central Midfield,right,Premier League,0.12,0.09,0.09,0.03,0.03,0.12,0.0,0.08,0.05,0.09,0.14,0.12,0.82,0.18,21.4,0.11,0.5,22.0,0.09,0.03,0.03,0.08,0.05,0.06,0.04,0.04,45.81,60.66,75.5,819.04,232.44,22.98,25.71,89.4,15.85,19.9,79.6,5.75,11.65,49.4,0.09,0.09,1.41,4.9,0.79,0.26,4.78,60.66,55.67,4.99,2.55,0.03,12.3,2.93,2.49,2.26,1.03,0.62,0.15,37.94,8.3,14.41,14.88,42.37,2.26,0.15,0.12,45.81,0.18,1.12,1.76,1.76,2.14,1.58,0.47,0.0,0.0,0.03,0.06,0.15,0.12,0.03,0.0,0.0,0.0,0.0,3.11,1.64,1.12,1.61,0.38,0.97,2.14,45.2,1.17,19.22,5.66,29.5,5.63,10.45,3.14,1.73,0.23,0.06,1.5,1.35,4.46,2.05,0.0,73.24,1.91,12.94,41.29,23.33,0.94,68.31,0.73,1.38,53.2,0.76,0.0,45.25,220.82,93.61,4.2,1.35,0.18,0.94,1.76,50.12,45.13,90.0,2.49,0.12,0.0,0.0,1.0,0.62,0.06,2.49,1.35,1.64,0.0,0.0,0.0,13.38,1.03,1.23,45.5
Aaron Ramsey,Aaron James Ramsey,0.0921722338058695,42500000,2017-2018,28,1.82,Central Midfield,both,Premier League,0.34,0.39,0.34,0.0,0.0,0.0,0.0,0.3,0.3,0.23,0.54,0.34,2.68,1.22,45.5,0.13,0.28,16.4,0.0,0.0,0.0,0.3,0.3,0.11,0.04,0.04,51.24,61.04,83.9,900.24,222.22,23.5,26.52,88.6,20.87,23.89,87.3,5.46,7.7,70.9,0.39,0.23,1.37,4.44,1.8,0.15,5.85,61.04,59.68,1.37,0.83,0.24,9.9,1.12,0.63,0.0,0.0,0.0,0.0,46.56,7.56,6.92,9.99,48.17,1.51,0.54,0.39,51.24,0.34,0.68,2.39,1.17,2.78,2.34,0.0,0.1,0.05,0.24,0.05,0.63,0.54,0.0,0.0,0.0,0.1,0.0,1.66,1.22,0.73,0.78,0.15,0.54,2.1,25.6,1.56,19.7,5.66,28.7,4.24,10.34,5.12,0.93,0.2,0.0,0.73,1.22,2.88,0.54,0.0,73.76,1.17,10.04,41.83,27.55,5.31,72.74,1.37,2.15,63.6,1.56,0.05,53.87,286.04,142.12,7.9,2.54,0.63,2.49,1.76,69.23,58.75,84.9,9.8,0.0,0.0,0.0,1.85,1.8,0.0,0.63,1.22,1.22,0.1,0.0,0.0,8.73,0.68,1.37,33.3
Aarón Martín,Aarón Martín Caricol,0.0047734650101524,15666666,2017-2018,22,1.8,Left-Back,left,La Liga,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.01,0.01,0.13,0.13,0.0,0.16,0.06,40.0,0.0,0.0,25.2,0.0,0.0,0.0,0.01,0.01,0.03,-0.01,-0.01,32.93,44.44,74.1,546.87,204.75,17.26,20.01,86.3,12.63,15.86,79.6,2.81,7.19,39.1,0.0,0.13,1.06,2.14,0.96,0.64,2.72,44.44,35.87,8.57,0.77,0.0,6.91,0.83,2.91,0.58,0.1,0.16,0.0,24.55,8.73,11.16,30.66,3.58,2.53,7.19,0.03,32.93,0.22,1.28,0.74,2.14,1.73,1.41,0.29,0.0,0.0,0.03,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,1.47,0.8,1.02,0.42,0.03,0.67,1.47,45.7,0.8,12.44,3.33,26.7,6.75,4.12,1.57,1.92,0.16,0.0,1.76,1.15,2.62,1.28,0.0,52.66,2.72,15.86,25.71,15.25,0.54,44.18,1.25,1.53,81.3,1.37,0.0,31.68,175.11,99.21,4.73,1.89,0.1,0.7,0.9,31.17,27.91,89.5,1.69,0.19,0.0,0.0,1.12,0.83,0.0,2.91,1.15,0.8,0.0,0.0,0.0,8.86,0.58,0.96,37.5
Abdou Diallo,Abdou-Lakhad Diallo,0.0310662692825067,8625000,2017-2018,23,1.87,Centre-Back,left,Bundesliga,0.07,0.04,0.07,0.0,0.0,0.19,0.0,0.09,0.09,0.03,0.12,0.07,0.48,0.11,23.1,0.15,0.67,6.6,0.0,0.0,0.0,0.09,0.09,0.18,-0.01,-0.01,33.73,44.76,75.4,733.27,333.5,10.36,12.45,83.2,16.66,19.49,85.5,6.26,11.48,54.5,0.04,0.03,0.22,2.98,0.75,0.26,4.06,44.76,40.7,4.06,1.6,0.0,7.6,1.57,0.75,0.0,0.0,0.0,0.0,25.34,6.41,13.01,33.8,4.43,2.39,2.46,0.07,33.73,0.22,0.89,0.86,1.08,0.97,0.78,0.0,0.11,0.04,0.0,0.04,0.15,0.15,0.0,0.0,0.0,0.0,0.0,2.35,1.57,1.42,0.82,0.11,0.71,1.16,61.3,0.45,13.01,5.37,41.3,8.16,4.06,0.78,1.75,0.52,0.0,1.23,0.93,3.28,3.99,0.0,55.75,4.4,25.38,28.66,5.93,0.89,51.84,1.34,1.79,75.0,1.45,0.11,32.27,184.21,104.65,3.32,1.01,0.04,0.63,0.63,31.34,29.81,95.1,0.52,0.19,0.0,0.0,2.12,0.37,0.19,0.75,0.93,1.57,0.0,0.04,0.0,11.55,2.76,1.04,72.5
Abdoulaye Doucouré,Abdoulaye Doucouré,0.0537659687400978,13500000,2017-2018,26,1.83,Central Midfield,right,Premier League,0.19,0.08,0.19,0.0,0.0,0.27,0.0,0.1,0.1,0.07,0.17,0.19,1.27,0.46,36.2,0.15,0.41,20.0,0.0,0.0,0.0,0.1,0.1,0.08,0.09,0.09,51.28,61.22,83.8,949.06,214.49,21.25,24.48,86.8,23.61,26.4,89.4,5.77,8.12,71.0,0.08,0.07,1.06,4.28,0.87,0.05,4.49,61.22,59.73,1.49,1.06,0.08,10.4,1.73,0.65,0.0,0.0,0.0,0.0,46.25,7.09,7.88,5.5,51.66,2.79,0.05,0.16,51.28,0.16,0.7,1.73,1.35,2.19,1.87,0.0,0.16,0.08,0.03,0.05,0.11,0.08,0.0,0.0,0.0,0.0,0.03,2.44,1.49,0.92,1.19,0.32,0.62,2.08,29.9,1.46,21.2,5.79,27.3,6.99,10.88,3.33,1.57,0.24,0.03,1.33,1.81,4.25,2.17,0.05,73.46,3.09,16.87,44.86,16.46,1.87,72.08,1.19,1.79,66.7,1.3,0.03,48.33,252.81,136.06,5.55,1.68,0.16,0.95,1.27,51.61,46.76,90.6,2.79,0.27,0.0,0.0,1.54,0.92,0.05,0.65,1.81,1.49,0.0,0.03,0.0,15.0,1.73,1.65,51.2
Abdoulaye Touré,Abdoulaye Touré,0.013287887572521,6500000,2017-2018,24,1.88,Defensive Midfield,right,Ligue 1,0.03,0.03,0.03,0.0,0.0,0.1,0.0,0.05,0.05,0.02,0.07,0.03,1.31,0.42,31.7,0.02,0.08,26.0,0.06,0.0,0.0,0.05,0.05,0.04,-0.02,-0.02,34.27,43.78,78.3,651.78,202.84,13.8,16.3,84.7,14.09,17.01,82.9,5.41,8.42,64.3,0.03,0.02,0.58,4.8,0.48,0.13,4.48,43.78,43.37,0.42,0.32,0.03,7.17,1.6,0.51,0.0,0.0,0.0,0.0,31.84,3.17,8.78,9.19,29.91,3.52,0.06,0.22,34.27,0.1,1.54,1.28,0.96,2.47,1.6,0.0,0.19,0.13,0.38,0.16,0.19,0.16,0.0,0.0,0.0,0.03,0.0,2.34,1.76,0.99,1.02,0.32,0.83,2.11,39.4,1.28,17.04,4.8,28.2,5.35,9.22,2.47,1.86,0.35,0.0,1.51,2.27,4.61,1.31,0.03,56.79,2.43,14.64,33.89,12.01,0.61,56.31,1.41,1.86,75.9,1.44,0.06,37.76,182.47,87.37,4.39,1.47,0.16,1.12,1.12,34.53,31.9,92.4,1.54,0.1,0.0,0.0,1.86,1.92,0.0,0.51,2.27,1.76,0.03,0.0,0.0,13.26,0.99,0.51,66.0
Adam Masina,Adam Masina,0.0052246078496541,6500000,2017-2018,25,1.91,Left-Back,left,Serie A,0.0,0.03,0.0,0.0,0.0,0.25,0.03,0.06,0.06,0.06,0.12,0.0,0.6,0.1,15.8,0.0,0.0,15.4,0.0,0.0,0.0,0.06,0.06,0.1,-0.06,-0.06,40.9,53.33,76.7,700.7,319.96,19.34,22.93,84.3,17.46,22.07,79.1,3.56,6.87,51.9,0.03,0.06,0.76,3.56,0.83,0.29,5.12,53.33,44.27,9.06,0.6,0.0,9.51,0.57,1.3,0.03,0.0,0.0,0.0,27.64,11.16,14.53,33.49,4.9,3.59,8.43,0.1,40.9,0.22,1.24,1.08,1.34,1.56,1.3,0.0,0.0,0.16,0.03,0.06,0.16,0.06,0.0,0.0,0.1,0.0,0.0,3.18,1.94,1.62,1.21,0.35,1.4,3.21,43.6,1.81,17.4,4.93,28.3,8.81,6.33,2.26,2.13,0.29,0.0,1.84,0.95,4.13,3.21,0.0,65.86,4.13,19.84,34.06,16.41,1.53,57.02,1.05,1.59,66.0,1.11,0.0,36.32,185.41,110.64,4.83,1.72,0.16,1.27,0.99,41.44,37.08,89.5,2.13,0.25,0.03,0.0,1.88,0.76,0.13,1.3,0.95,1.94,0.0,0.06,0.0,9.16,3.56,1.24,74.2
