Player_SN,Player_LN,avg_playerankIndex,Player Valuation,scouting_period,Age,Height,Position,Foot,Data_League,Goals.Against,Shots.on.Target.Against,Saves,Save.,Wins,Draws,Losses,Clean.Sheets,Clean.Sheet.Percentage,Penalty.Kicks.Attempted,Penalty.Kicks.Allowed,Penalty.Kicks.Saved,Penalty.Kicks.Missed,Save...Penalty.Kicks.,Goals.Against.1,Penalty.Kicks.Allowed.1,Free.Kick.Goals.Against,Corner.Kick.Goals.Against,Own.Goals.Scored.Against.Goalkeeper,PSxG,PSxG.SoT,PSxG.GA,Passes.Completed..Launched.,Passes.Attempted..Launched.,Pass.Completion.Percentage..Launched.,Passes.Attempted,Throws.Attempted,Launch.,Average.Pass.Length,Goal.Kicks,Launch...Goal.Kicks.,Avg..Length.of.Goal.Kicks,Crosses.Faced,Crosses.Stopped,Crosses.Stopped..,Def..Actions.Outside.Pen..Area,Avg..Distance.of.Def..Actions,longName
Aaron Ramsdale,Aaron Christopher Ramsdale,0.1616171837470149,13333333,2020-2021,23.0,1.91,Goalkeeper,right,Premier League,1.66,5.39,3.82,70.7,0.18,0.05,0.76,0.13,13.2,0.11,0.08,0.0,0.03,0.0,1.66,0.08,0.0,0.21,0.08,1.63,0.29,0.05,7.63,22.61,33.8,22.63,3.26,70.0,52.8,7.39,91.5,69.7,8.84,0.84,9.5,0.58,15.3,Aaron Ramsdale
Aaron Ramsdale,Aaron Christopher Ramsdale,0.1283774783983817,10625000,2019-2020,22.0,1.91,Goalkeeper,right,Premier League,1.68,4.78,3.24,67.8,0.24,0.19,0.57,0.14,13.5,0.16,0.14,0.03,0.0,16.7,1.68,0.14,0.11,0.14,0.0,1.67,0.32,-0.01,5.38,17.7,30.4,22.57,4.97,53.7,44.8,7.81,71.6,58.9,8.68,0.54,6.2,0.46,14.2,Aaron Ramsdale
Alban Lafont,Alban Lafont,0.2458481267446345,11250000,2020-2021,22.0,1.96,Goalkeeper,right,Ligue 1,1.45,4.16,2.97,71.5,0.24,0.34,0.42,0.13,13.2,0.34,0.26,0.05,0.03,16.7,1.45,0.26,0.05,0.21,0.03,1.38,0.27,-0.04,5.74,17.76,32.3,22.87,3.37,53.4,44.5,6.79,81.8,57.8,8.61,0.63,7.3,0.66,14.9,Alban Lafont
Alban Lafont,Alban Lafont,0.2080459727007368,11666666,2019-2020,21.0,1.96,Goalkeeper,right,Ligue 1,1.07,3.37,2.41,71.4,0.41,0.15,0.44,0.37,37.0,0.22,0.11,0.07,0.04,40.0,1.07,0.11,0.0,0.11,0.0,0.94,0.24,-0.13,6.11,17.81,34.3,25.81,4.85,48.2,40.8,6.93,77.5,55.3,8.22,0.56,6.8,0.85,15.9,Alban Lafont
Alban Lafont,Alban Lafont,0.1951424009302089,15000000,2018-2019,20.0,1.96,Goalkeeper,right,Serie A,1.19,3.52,2.57,70.3,0.24,0.45,0.33,0.27,26.5,0.18,0.15,0.03,0.0,16.7,1.19,0.15,0.03,0.15,0.09,1.0,0.24,-0.1,5.19,14.39,36.1,22.48,4.78,44.6,40.0,7.61,57.3,47.9,10.39,0.69,6.6,0.84,15.1,Alban Lafont
Alban Lafont,Alban Lafont,0.1550837816071651,18000000,2017-2018,19.0,1.96,Goalkeeper,right,Ligue 1,1.42,4.24,2.97,70.2,0.24,0.26,0.5,0.32,31.6,0.16,0.16,0.0,0.0,0.0,1.42,0.16,0.08,0.24,0.0,1.38,0.3,-0.04,6.29,16.18,38.9,20.87,3.03,55.0,44.3,5.42,86.9,61.5,11.79,1.08,9.2,1.16,17.1,Alban Lafont
Alberto Brignoli,Alberto Brignoli,0.0776420855131769,1150000,2017-2018,27.0,1.88,Goalkeeper,left,Serie A,2.48,5.69,3.36,59.2,0.08,0.16,0.64,0.08,9.1,0.32,0.16,0.0,0.16,0.0,2.48,0.16,0.0,0.48,0.0,2.32,0.4,-0.16,7.37,21.3,34.6,29.95,4.88,51.3,43.2,8.25,71.8,56.1,11.53,2.0,17.4,1.28,17.0,Alberto Brignoli
Alessio Cragno,Alessio Cragno,0.151619450832534,20000000,2020-2021,27.0,1.84,Goalkeeper,right,Serie A,1.56,5.21,3.68,72.9,0.18,0.29,0.53,0.18,17.6,0.15,0.15,0.0,0.0,0.0,1.56,0.15,0.03,0.21,0.0,1.62,0.29,0.06,6.06,14.26,42.5,20.09,3.79,46.3,37.1,8.21,60.6,43.6,9.41,0.91,9.7,0.44,12.8,Alessio Cragno
Alessio Cragno,Alessio Cragno,0.210427046400002,18000000,2019-2020,26.0,1.84,Goalkeeper,right,Serie A,1.31,5.38,4.13,76.7,0.13,0.38,0.5,0.19,18.8,0.13,0.06,0.06,0.0,50.0,1.31,0.06,0.0,0.13,0.06,1.48,0.26,0.23,5.44,15.69,34.7,19.88,4.19,51.6,40.7,9.81,55.4,43.0,11.0,0.88,8.0,0.31,11.5,Alessio Cragno
Alessio Cragno,Alessio Cragno,0.1795878811657893,15250000,2018-2019,25.0,1.84,Goalkeeper,right,Serie A,1.42,5.13,3.87,76.4,0.26,0.29,0.45,0.18,18.4,0.26,0.21,0.05,0.0,20.0,1.42,0.21,0.03,0.13,0.05,1.49,0.25,0.12,9.37,20.16,46.5,23.45,4.53,53.5,42.0,9.5,80.1,58.2,11.82,0.89,7.6,0.29,12.9,Alessio Cragno
Alessio Cragno,Alessio Cragno,0.1271024756056142,8333333,2017-2018,24.0,1.84,Goalkeeper,right,Serie A,1.67,4.29,2.84,66.1,0.25,0.18,0.6,0.25,24.1,0.35,0.21,0.07,0.07,25.0,1.67,0.21,0.14,0.04,0.04,1.54,0.31,-0.1,7.55,16.88,44.7,18.65,4.36,51.1,41.1,8.4,87.3,60.2,10.11,0.85,8.4,0.46,13.5,Alessio Cragno
Alex Cordaz,Alex Cordaz,0.0057056052331337,450000,2020-2021,38.0,1.88,Goalkeeper,right,Serie A,2.53,5.64,3.19,57.6,0.17,0.08,0.75,0.06,5.6,0.14,0.14,0.0,0.0,0.0,2.53,0.14,0.06,0.28,0.06,2.12,0.36,-0.35,6.89,16.83,40.9,31.56,4.44,42.1,35.4,8.61,41.3,34.1,8.83,0.5,5.7,0.83,15.1,Alex Cordaz
Alex Cordaz,Alex Cordaz,0.1321001075208165,1000000,2017-2018,35.0,1.88,Goalkeeper,right,Serie A,1.74,5.24,3.63,69.8,0.24,0.21,0.55,0.13,13.2,0.21,0.16,0.03,0.03,14.3,1.74,0.16,0.08,0.29,0.0,1.7,0.3,-0.04,8.0,23.26,34.4,20.55,2.5,72.3,51.6,8.89,94.4,62.3,11.26,0.55,4.9,0.68,14.4,Alex Cordaz
Alex McCarthy,Alex Simon McCarthy,0.0962387823492456,6000000,2020-2021,32.0,1.93,Goalkeeper,right,Premier League,1.9,4.7,3.0,63.8,0.27,0.23,0.5,0.23,23.3,0.2,0.2,0.0,0.0,0.0,1.9,0.2,0.03,0.13,0.03,1.6,0.31,-0.27,5.17,17.5,29.5,29.93,4.13,45.8,36.8,5.7,66.7,47.6,7.97,0.73,9.2,0.67,15.1,Alex McCarthy
Alex McCarthy,Alex Simon McCarthy,0.1966666701110807,4500000,2019-2020,31.0,1.93,Goalkeeper,right,Premier League,1.25,3.93,2.75,69.1,0.46,0.18,0.36,0.25,25.0,0.07,0.04,0.04,0.0,50.0,1.25,0.04,0.0,0.14,0.04,1.45,0.36,0.23,7.07,19.86,35.6,22.79,2.64,63.9,48.0,6.32,83.6,61.4,9.21,0.71,7.8,0.5,14.8,Alex McCarthy
Alex McCarthy,Alex Simon McCarthy,0.1221366848560725,4666666,2018-2019,30.0,1.93,Goalkeeper,right,Premier League,1.76,4.72,3.16,64.4,0.2,0.32,0.48,0.16,16.0,0.08,0.08,0.0,0.0,0.0,1.76,0.08,0.0,0.16,0.12,1.38,0.28,-0.26,5.6,18.16,30.8,19.04,3.2,61.3,48.7,7.6,85.3,63.6,9.88,0.92,9.3,0.68,14.8,Alex McCarthy
Alex McCarthy,Alex Simon McCarthy,0.1515220213306374,2500000,2017-2018,29.0,1.93,Goalkeeper,right,Premier League,1.44,3.72,2.28,62.7,0.17,0.44,0.39,0.22,22.2,0.06,0.06,0.0,0.0,0.0,1.44,0.06,0.0,0.22,0.0,1.21,0.32,-0.23,5.83,19.83,29.4,17.0,3.06,68.6,51.6,8.67,94.2,67.0,11.39,1.06,9.3,0.28,12.6,Alex McCarthy
Alex Meret,Alex Meret,0.1879626274663702,21666666,2020-2021,24.0,1.9,Goalkeeper,left,Serie A,1.32,3.59,2.41,65.8,0.59,0.23,0.18,0.27,27.3,0.09,0.09,0.0,0.0,0.0,1.32,0.09,0.05,0.14,0.05,1.04,0.28,-0.24,2.86,5.32,53.8,23.23,4.41,18.0,26.7,4.36,26.0,28.2,6.77,0.68,10.1,0.27,13.0,Alex Meret
