longName,ratings_mean,season
Aaron Lennon,0.0038520530335369,2017-2018
Aaron Cresswell,0.010630259069007,2017-2018
Aaron Hunt,0.0068051167204883,2017-2018
Aaron Mooy,0.0325453274049692,2017-2018
Aaron Ramsey,0.0921722338058695,2017-2018
Aarón Martín Caricol,0.0047734650101524,2017-2018
Abdou Diallo,0.0310662692825067,2017-2018
Abdou Kader Mangane,0.0196770362119853,2017-2018
Abdoulaye Doucouré,0.0537659687400978,2017-2018
Abdoulaye Touré,0.013287887572521,2017-2018
Abdul Khaled Akiola Adénon,0.004623261233899,2017-2018
Adam Marušić,0.029104609472327,2017-2018
Adam Masina,0.0052246078496541,2017-2018
Adam Ounas,0.0047706351901933,2017-2018
Adam Smith,0.0046052367184627,2017-2018
Adama Diakhaby,0.0047916784936307,2017-2018
Adama Mbengue,0.0033202292292361,2017-2018
Adama Niane,0.0736682897087652,2017-2018
Adel Taarabt,0.0210413181464337,2017-2018
Adem Ljajić,0.0603094955779732,2017-2018
Ademola Lookman,0.0194715078215222,2017-2018
Adil Rami,0.0122856286121591,2017-2018
Adnan Januzaj,0.0311616069579348,2017-2018
Adrian Mariappa,0.0059059672110806,2017-2018
Adrian Marius Stoian,0.0150895167068342,2017-2018
Adrien  Tameze,0.0046400657731995,2017-2018
Adrien Hunou,0.0271840698756605,2017-2018
Adrien Rabiot,0.01148835149406,2017-2018
Adrien Sebastian Perruchet Silva,0.0048076942132982,2017-2018
Adrien Thomasson,0.0346215302507923,2017-2018
Adrián  González Morales,0.0249336980887902,2017-2018
Adrián López Álvarez,0.0700291824028335,2017-2018
Afriyie Acquah,0.0047882593644649,2017-2018
Ahmed Hegazy,0.016234128853306,2017-2018
Ainsley Maitland-Niles,0.0047619762335612,2017-2018
Alassane Pléa,0.1135437162202903,2017-2018
Alberto  Bueno Calvo,0.0048264201618372,2017-2018
Alberto Aquilani,0.0044182709466282,2017-2018
Alberto De La Bella Madureño,0.0048244080386528,2017-2018
Alberto Grassi,0.0257983927517117,2017-2018
Alberto Moreno Pérez,0.0045000020633156,2017-2018
Alberto Paloschi,0.0554780676640909,2017-2018
Albin Ekdal,0.0047595646736039,2017-2018
Aleandro Rosi,0.0048638454815075,2017-2018
Aleix García Serrano,0.0131183057940114,2017-2018
Aleix Vidal Parreu,0.0273220974110352,2017-2018
Alejandro Berenguer Remiro,0.014390764300617,2017-2018
Alejandro Darío Gómez,0.0579295265134955,2017-2018
Alejandro Granell Nogué,0.0132283168410945,2017-2018
Alejandro Gálvez Jimena,0.0044908628112428,2017-2018
Aleksandar Dragović,0.0048640015976805,2017-2018
Aleksandar Kolarov,0.0253174624394736,2017-2018
Alen Halilović,0.0214018831811685,2017-2018
Alessandro  Florenzi,0.0045983016901644,2017-2018
Alessandro Bastoni,0.0047867853840079,2017-2018
Alessandro Bellemo,0.0047902073714768,2017-2018
Alessandro Deiola,0.0047601467391608,2017-2018
Alessandro Gamberini,0.0053231383136443,2017-2018
Alessandro Matri,0.0302982285319458,2017-2018
Alessandro Murgia,0.0046331885871774,2017-2018
Alessandro Schöpf,0.0047836929733449,2017-2018
Alessio Cerci,0.046508064135343,2017-2018
Alessio Romagnoli,0.02799307290264,2017-2018
Alex Ferrari,0.0155984948222698,2017-2018
Alex Iwobi,0.0225529305485287,2017-2018
Alex Oxlade-Chamberlain,0.0547238713771834,2017-2018
Alex Sandro Lobo Silva,0.0457991458451712,2017-2018
Alexander Djiku,0.0051300407312072,2017-2018
Alexander Esswein,0.0194001560117689,2017-2018
Alexander Hack,0.0222241193656512,2017-2018
Alexander Isak,0.0048255868653504,2017-2018
Alexander Kačaniklić,0.0047527293709977,2017-2018
Alexander,0.0455394355110164,2017-2018
Alexandre Lacazette,0.1342678113758521,2017-2018
Alexandre Mendy,0.0964552865861281,2017-2018
Alexandru Iulian Maxim,0.0047095117610902,2017-2018
Alexis Alejandro Sánchez Sánchez,0.0836538438274704,2017-2018
Alexis Blin,0.0134206208610629,2017-2018
Alexis Ruano Delgado,0.0046938830720252,2017-2018
Alfie Mawson,0.0191783674774743,2017-2018
Alfonso Pedraza Sag,0.0306581000143448,2017-2018
Alfreð Finnbogason,0.1745158472212832,2017-2018
Ali Adnan Kadhim Al Tameemi,0.005386074379559,2017-2018
Alin Dorinel Toșca,0.0048329345560528,2017-2018
Allan,0.033427563243231,2017-2018
Allan Saint-Maximin,0.0352400636613158,2017-2018
Allan-Romeo Nyom,0.0044104450093063,2017-2018
Almamy Touré,0.0124897397124307,2017-2018
Alois Confais,0.004702069805276,2017-2018
Amadou Diawara,0.0048324342920969,2017-2018
Amath Diedhiou Ndiaye,0.0207583218852086,2017-2018
Amine Harit,0.0664538312758581,2017-2018
Anaitz Arbilla Zabala,0.0182666768905426,2017-2018
Anastasios Donis,0.0048622659191366,2017-2018
Ander Capa Rodríguez,0.003970276802543,2017-2018
Ander Herrera Agüera,0.0042082392225984,2017-2018
Ander Iturraspe Derteano,0.005363408622122,2017-2018
Andre Gray,0.03746682984009,2017-2018
Andrea Barberis,0.0204029839068905,2017-2018
Andrea Barzagli,0.0047452595645886,2017-2018
Andrea Belotti,0.0974875292338452,2017-2018
Andrea Bertolacci,0.0097077783380065,2017-2018
Andrea Cossu,0.0047725466590234,2017-2018
Andrea Costa,0.0047176328312793,2017-2018
Andrea Masiello,0.0493805820777444,2017-2018
Andrea Nalini,0.0058837035256958,2017-2018
Andrea Petagna,0.0360338592077299,2017-2018
Andrea Pinamonti,0.0047883840676968,2017-2018
Andrea Poli,0.0226010658302185,2017-2018
Andrea Raggi,0.0047675379094314,2017-2018
Andrea Ranocchia,0.0047821668214315,2017-2018
Andreas Beck,0.0156680337287449,2017-2018
Andreas Christensen,0.0051305016961696,2017-2018
Andreas Evald Cornelius,0.0233907980224911,2017-2018
Andreaw Rayan Gravillon,0.0047902073714768,2017-2018
Andrei Girotto,0.0148165843871413,2017-2018
Andrej Kramarić,0.085161504409568,2017-2018
Andreu Fontàs Prat,0.0047902073714768,2017-2018
Andrew Hjulsager,0.004789442194775,2017-2018
Andrew Robertson,0.0167873972421606,2017-2018
Andrew Surman,0.0146172229751265,2017-2018
Andrey Galabinov,0.0255840584552983,2017-2018
Andrija Balić,0.0046392367095625,2017-2018
Andriy Yarmolenko,0.0360714807896405,2017-2018
Andros Townsend,0.025056120392112,2017-2018
André Ayew Pelé,0.0049181054887587,2017-2018
André Filipe Tavares Gomes,0.0047108108703507,2017-2018
André Hahn,0.0633142602950867,2017-2018
André Martín Carrillo Díaz,0.0195751820877226,2017-2018
André Miguel Valente Silva,0.020387391606781,2017-2018
André Schürrle,0.027972289330229,2017-2018
André-Frank Zambo Anguissa,0.004686657531402,2017-2018
Andrés Iniesta Luján,0.0106519258752786,2017-2018
Andy Delort,0.0556625152559357,2017-2018
Andy King,0.0136111488061835,2017-2018
Angelo Fulgini,0.0403582909038679,2017-2018
Angelo Obinze Ogbonna,0.0096390939953295,2017-2018
Ante Budimir,0.0853935903678105,2017-2018
Ante Rebić,0.0598020537786524,2017-2018
Anthony Gonçalves,0.0045085673475054,2017-2018
Anthony Knockaert,0.036810514313016,2017-2018
Anthony Martial,0.0872375307406285,2017-2018
Anthony Ujah,0.0050763442187257,2017-2018
Antoine Griezmann,0.1762630249757498,2017-2018
Antonino Ragusa,0.0047504162863393,2017-2018
Antonio Aldo Caracciolo,0.0152560431402904,2017-2018
Antonio Barragán Fernández,0.0048235059128345,2017-2018
Antonio Barreca,0.0047902073714768,2017-2018
Antonio Candreva,0.0056618679770147,2017-2018
Antonio García Aranda,0.0038983356431091,2017-2018
Antonio Latorre Grueso,0.004771476246503,2017-2018
Antonio Manuel Luna Rodríguez,0.0042313087524335,2017-2018
Antonio Rukavina,0.0047803874809438,2017-2018
Antonio Rüdiger,0.0111133551036636,2017-2018
Antonín Barák,0.0576390479712933,2017-2018
Anwar El Ghazi,0.0730990683906026,2017-2018
Aritz Aduriz Zubeldia,0.0754712258552878,2017-2018
Aritz Elustondo Irribaria,0.03345834105136,2017-2018
Arjen Robben,0.0644908907307122,2017-2018
Arkadiusz Milik,0.0607676041165541,2017-2018
Arlind Ajeti,0.004758182634284,2017-2018
Armindo Tué Na Bangna,0.0722051342004824,2017-2018
Arnaldo Antonio Sanabria Ayala,0.1409120066258571,2017-2018
Arnaud Souquet,0.0042855916434642,2017-2018
Arne Maier,0.0046400223742645,2017-2018
Arnold Bouka Moutou,0.0048182616407492,2017-2018
Arthur Masuaku,0.0041464523353479,2017-2018
Artur Ioniţă,0.0052582018650593,2017-2018
Arturo Erasmo Vidal Pardo,0.0960561216421615,2017-2018
Ashley  Young,0.0235347282835199,2017-2018
Ashley Barnes,0.0832314756359037,2017-2018
Ashley Westwood,0.0046229551156763,2017-2018
Ashley Williams,0.0161314840422194,2017-2018
Asier Illarramendi Andonegi,0.0458919752847977,2017-2018
Assane Dioussé El Hadji,0.0158224224921512,2017-2018
Aymen Abdennour,0.0047672575379746,2017-2018
Aymen Barkok,0.0048149623348987,2017-2018
Aymeric  Laporte,0.005656358397469,2017-2018
Ayoze Pérez Gutiérrez,0.0876237162648476,2017-2018
Aïssa Mandi,0.014235173299681,2017-2018
Bacary Sagna,0.0186462692069334,2017-2018
Bakary Adama Soumaoro,0.0050727196508328,2017-2018
Bakary Koné,0.0128276624619991,2017-2018
Bakaye Dibassy,0.012068208282374,2017-2018
Bamidele Alli,0.0555281563072249,2017-2018
Baptiste Guillaume,0.0050413517964948,2017-2018
Baptiste Santamaria,0.0044382447162127,2017-2018
Bartolomeu Jacinto Quissanga,0.0313906320974038,2017-2018
Bartosz Bereszyński,0.0041771829210282,2017-2018
Bartosz Salamon,0.0048735719127297,2017-2018
Bassem  Srarfi,0.0311385222316438,2017-2018
Bastian Oczipka,0.0051520018341551,2017-2018
Baïssama Sankoh,0.0046775152288864,2017-2018
Bel Durel Avounou,0.0047900477582358,2017-2018
Ben Chilwell,0.0049662178173569,2017-2018
Ben Davies,0.0247936459028245,2017-2018
Ben Mee,0.0060089333151384,2017-2018
Ben Watson,0.0047206956928085,2017-2018
Benedikt Höwedes,0.0048618386774434,2017-2018
Beni Baningime,0.0046317381815917,2017-2018
Benik Afobe,0.0051011414139922,2017-2018
Benito Nicolas Viola,0.004942311232306,2017-2018
Benjamin André,0.0270696326331945,2017-2018
Benjamin Bourigeaud,0.0923003534618826,2017-2018
Benjamin Henrichs,0.0045034118884442,2017-2018
Benjamin Hübner,0.0338632448045922,2017-2018
Benjamin Jeannot,0.0227530478889809,2017-2018
Benjamin Nivet,0.0254425326516533,2017-2018
Benjamin Pavard,0.0154932946081724,2017-2018
Benjamin Stambouli,0.0044799350941818,2017-2018
Beram Kayal,0.0045904709769552,2017-2018
Berat  Djimsiti,0.0048958064498705,2017-2018
Berkay Özcan,0.0048384048842752,2017-2018
Bernardo,0.0152510633193962,2017-2018
Bernardo José Espinosa Zúñiga,0.0056509539516794,2017-2018
Bernardo Mota Veiga de Carvalho e Silva,0.0542861196608726,2017-2018
Bertrand Isidore Traoré,0.1173338287036501,2017-2018
