Player_Names,Player_valuation,Age,Height,Position,Gen_Pos,Foot,Y_Contract_Left,Actual_Club,Data_League,Goals,Assists,Non.Penalty.Goals,Penalty.Kicks.Made,Penalty.Kicks.Attempted,Yellow.Cards,Red.Cards,xG,npxG,xA,npxG.xA,Goals.1,Shots.Total,Shots.on.target,Shots.on.target..,Goals.Shot,Goals.Shot.on.target,Average.Shot.Distance,Shots.from.free.kicks,Penalty.Kicks.Made.1,Penalty.Kicks.Attempted.1,xG.1,npxG.1,npxG.Sh,Goals...xG,Non.Penalty.Goals...npxG,Passes.Completed,Passes.Attempted,Pass.Completion..,Total.Passing.Distance,Progressive.Passing.Distance,Passes.Completed..Short.,Passes.Attempted..Short.,Pass.Completion....Short.,Passes.Completed..Medium.,Passes.Attempted..Medium.,Pass.Completion....Medium.,Passes.Completed..Long.,Passes.Attempted..Long.,Pass.Completion....Long.,Assists.1,xA.1,Key.Passes,Passes.into.Final.Third,Passes.into.Penalty.Area,Crosses.into.Penalty.Area,Progressive.Passes,Passes.Attempted.1,Live.ball.passes,Dead.ball.passes,Passes.from.Free.Kicks,Through.Balls,Passes.Under.Pressure,Switches,Crosses,Corner.Kicks,Inswinging.Corner.Kicks,Outswinging.Corner.Kicks,Straight.Corner.Kicks,Ground.passes,Low.Passes,High.Passes,Passes.Attempted..Left.,Passes.Attempted..Right.,Passes.Attempted..Head.,Throw.Ins.taken,Passes.Attempted..Other.,Passes.Completed.1,Passes.Offside,Passes.Out.of.Bounds,Passes.Intercepted,Passes.Blocked,Shot.Creating.Actions,SCA..PassLive.,SCA..PassDead.,SCA..Drib.,SCA..Sh.,SCA..Fld.,SCA..Def.,Goal.Creating.Actions,GCA..PassLive.,GCA..PassDead.,GCA..Drib.,GCA..Sh.,GCA..Fld.,GCA..Def.,Tackles,Tackles.Won,Tackles..Def.3rd.,Tackles..Mid.3rd.,Tackles..Att.3rd.,Dribblers.Tackled,Dribbles.Contested,X..of.dribblers.tackled,Dribbled.Past,Pressures,Successful.Pressures,Successful.Pressure..,Pressures..Def.3rd.,Pressures..Mid.3rd.,Pressures..Att.3rd.,Blocks,Shots.Blocked,Shots.Saved,Passes.Blocked.1,Interceptions,Tkl.Int,Clearances,Errors,Touches,Touches..Def.Pen.,Touches..Def.3rd.,Touches..Mid.3rd.,Touches..Att.3rd.,Touches..Att.Pen.,Touches..Live.Ball.,Dribbles.Completed,Dribbles.Attempted,Successful.Dribble..,Players.Dribbled.Past,Nutmegs,Carries,Total.Carrying.Distance,Progressive.Carrying.Distance,Progressive.Carries,Carries.into.Final.Third,Carries.into.Penalty.Area,Miscontrols,Dispossessed,Pass.Targets,Passes.Received,Passes.Received..,Progressive.Passes.Rec,Yellow.Cards.1,Red.Cards.1,Second.Yellow.Card,Fouls.Committed,Fouls.Drawn,Offsides,Crosses.1,Interceptions.1,Tackles.Won.1,Penalty.Kicks.Won,Penalty.Kicks.Conceded,Own.Goals,Ball.Recoveries,Aerials.won,Aerials.lost,X..of.Aerials.Won
Aaron Connolly,7000000,22,1.75,Centre-Forward,Striker,right,0.243835616438356,Middlesbrough FC,Premier League,0.23,0.11,0.23,0.0,0.0,0.0,0.0,0.4,0.4,0.02,0.42,0.23,2.62,0.91,34.8,0.09,0.25,13.7,0.0,0.0,0.0,0.4,0.4,0.15,-0.17,-0.17,8.99,11.49,78.2,130.51,18.77,5.12,6.37,80.4,2.96,3.41,86.7,0.46,0.57,80.0,0.11,0.02,0.57,0.23,0.11,0.0,0.34,11.49,10.35,1.14,0.0,0.0,2.5,0.11,0.23,0.0,0.0,0.0,0.0,7.28,2.96,1.25,1.25,8.42,0.57,0.0,0.34,8.99,0.0,0.0,0.23,0.46,1.37,0.8,0.0,0.34,0.0,0.23,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.8,0.57,0.23,0.46,0.11,0.11,0.57,20.0,0.46,14.11,4.55,32.3,0.8,6.6,6.71,1.02,0.11,0.0,0.91,0.0,0.8,0.11,0.0,22.87,0.11,1.59,9.56,13.2,4.32,21.73,0.91,1.14,80.0,0.91,0.0,14.11,74.53,44.03,1.93,0.91,0.46,3.3,1.71,40.62,16.27,40.1,7.28,0.0,0.0,0.0,0.8,1.82,0.91,0.23,0.0,0.57,0.11,0.0,0.0,3.19,1.25,3.41,26.8
Aaron Leya Iseka,2200000,24,1.82,Centre-Forward,Striker,right,3.32876712328767,Barnsley FC,Ligue 1,0.36,0.0,0.18,0.18,0.27,0.36,0.0,0.42,0.21,0.06,0.28,0.36,1.61,0.54,33.3,0.11,0.33,14.8,0.0,0.18,0.27,0.42,0.21,0.13,-0.06,-0.04,13.48,17.77,75.9,202.59,30.36,8.13,9.91,82.0,3.75,5.09,73.7,1.07,1.52,70.6,0.0,0.06,1.07,0.89,0.27,0.0,0.8,17.77,17.05,0.71,0.0,0.27,5.0,0.18,0.36,0.0,0.0,0.0,0.0,11.52,3.39,2.86,1.7,12.77,0.8,0.0,0.71,13.48,0.09,0.36,0.54,0.54,1.88,1.25,0.0,0.27,0.0,0.36,0.0,0.09,0.0,0.0,0.09,0.0,0.0,0.0,0.8,0.45,0.27,0.27,0.27,0.27,0.89,30.0,0.63,10.8,2.32,21.5,0.36,5.0,5.45,0.54,0.27,0.0,0.27,0.18,0.98,0.36,0.0,28.48,0.98,2.95,16.07,11.52,3.13,27.5,1.25,2.05,60.9,1.43,0.0,18.3,75.8,38.39,2.68,1.07,0.89,2.86,1.79,48.48,22.5,46.4,5.54,0.36,0.0,0.0,2.5,1.16,0.18,0.36,0.18,0.45,0.0,0.0,0.0,2.77,2.41,4.2,36.5
Abdul Majeed Waris,1500000,30,1.72,Centre-Forward,Striker,right,0.326027397260274,RC Strasbourg Alsace,Ligue 1,0.16,0.0,0.0,0.16,0.16,0.0,0.0,0.26,0.15,0.0,0.15,0.16,1.47,0.33,22.2,0.0,0.0,19.0,0.0,0.16,0.16,0.26,0.15,0.1,-0.1,-0.15,17.28,22.83,75.7,260.05,35.87,10.27,12.39,82.9,5.38,6.36,84.6,1.14,2.12,53.8,0.0,0.0,0.0,0.65,0.16,0.16,0.82,22.83,22.66,0.16,0.0,0.0,2.77,0.65,1.47,0.0,0.0,0.0,0.0,16.3,4.4,2.12,2.45,18.59,0.98,0.0,0.65,17.28,0.16,0.49,0.49,1.47,0.98,0.16,0.0,0.0,0.33,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.0,0.0,0.16,0.0,0.65,0.0,0.65,8.97,2.45,27.3,2.61,4.08,2.28,0.82,0.16,0.0,0.65,0.49,0.65,0.49,0.0,35.71,0.65,4.4,17.12,17.61,3.75,35.38,1.3,2.45,53.3,1.3,0.16,27.72,151.79,101.25,5.54,2.45,0.98,1.79,2.93,42.72,27.88,65.3,7.66,0.0,0.0,0.0,1.3,3.1,0.33,1.47,0.49,0.16,0.0,0.0,0.0,4.89,0.33,1.47,18.2
Aboubakar Kamara,3500000,26,1.77,Centre-Forward,Striker,right,3.32876712328767,Aris Thessaloniki,Premier League,0.16,0.0,0.16,0.0,0.0,0.16,0.16,0.13,0.13,0.11,0.24,0.16,1.78,0.48,27.3,0.09,0.33,18.2,0.0,0.0,0.0,0.13,0.13,0.07,0.03,0.03,18.26,24.4,74.8,275.82,52.19,9.69,11.63,83.3,5.49,7.59,72.3,1.29,2.75,47.1,0.0,0.11,1.29,0.65,0.81,0.48,1.45,24.4,23.27,1.13,0.0,0.0,8.56,0.65,1.62,0.0,0.0,0.0,0.0,15.51,5.66,3.23,4.2,17.61,0.81,0.32,0.0,18.26,0.0,0.48,0.48,0.81,2.91,1.62,0.0,0.48,0.32,0.48,0.0,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.48,0.48,0.16,0.16,0.16,0.0,0.97,0.0,0.97,18.26,3.39,18.6,1.62,9.37,7.27,0.16,0.0,0.0,0.16,0.16,0.65,0.48,0.0,37.81,0.32,2.75,19.23,18.9,2.91,36.68,2.26,3.88,58.3,2.26,0.0,28.92,138.8,69.8,3.39,1.13,0.32,2.42,3.07,49.12,29.08,59.2,6.14,0.16,0.16,0.0,2.42,3.07,0.16,1.62,0.16,0.48,0.0,0.0,0.0,5.33,1.94,3.55,35.3
Adalberto Peñaranda,800000,24,1.86,Centre-Forward,Striker,right,0.326027397260274,UD Las Palmas,La Liga,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.09,0.09,0.02,0.12,0.0,2.36,0.79,33.3,0.0,0.0,22.4,0.0,0.0,0.0,0.09,0.09,0.04,-0.09,-0.09,21.43,27.72,77.3,284.7,37.48,13.58,16.38,82.9,6.17,7.86,78.6,0.79,1.46,53.8,0.0,0.02,0.9,1.01,0.56,0.0,1.35,27.72,26.82,0.9,0.11,0.0,7.52,0.22,0.45,0.0,0.0,0.0,0.0,22.22,2.36,3.14,1.68,23.57,0.79,0.0,0.34,21.43,0.22,0.11,1.12,0.9,2.92,1.68,0.0,0.34,0.34,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.79,0.11,0.56,0.34,0.22,0.56,40.0,0.34,19.98,5.05,25.3,0.79,9.76,9.43,1.57,0.11,0.0,1.46,0.34,1.35,0.34,0.0,43.88,0.34,2.47,24.58,21.66,2.58,43.09,1.91,3.14,60.7,2.02,0.0,36.47,209.4,103.24,5.27,2.47,0.45,3.14,2.92,49.94,33.78,67.6,11.0,0.34,0.0,0.0,3.03,3.7,0.45,0.45,0.34,0.79,0.0,0.0,0.0,4.49,1.68,4.04,29.4
Adam Armstrong,18000000,25,1.73,Centre-Forward,Striker,right,3.32876712328767,Southampton FC,Premier League,0.15,0.15,0.15,0.0,0.0,0.08,0.0,0.31,0.31,0.13,0.44,0.15,3.23,1.05,32.6,0.05,0.14,17.2,0.0,0.0,0.0,0.31,0.31,0.1,-0.16,-0.16,13.52,19.46,69.5,234.47,38.09,6.01,7.96,75.5,6.09,8.11,75.0,1.05,2.03,51.9,0.15,0.13,0.9,0.9,0.83,0.0,1.5,19.46,17.5,1.95,0.0,0.08,3.83,0.53,1.43,0.0,0.0,0.0,0.0,13.3,3.31,2.85,3.68,13.97,0.9,0.15,0.23,13.52,0.08,0.15,0.9,0.83,1.95,1.13,0.0,0.3,0.3,0.23,0.0,0.23,0.15,0.0,0.0,0.0,0.08,0.0,0.68,0.45,0.23,0.23,0.23,0.0,0.3,0.0,0.3,14.87,4.06,27.3,1.58,5.41,7.89,0.53,0.08,0.0,0.45,0.6,1.28,0.38,0.0,30.2,0.45,2.78,12.1,17.95,5.11,28.25,1.05,2.18,48.3,1.13,0.08,21.11,124.71,69.72,4.21,1.28,1.13,1.88,1.58,40.49,21.19,52.3,6.76,0.08,0.0,0.0,0.9,0.6,0.08,1.43,0.6,0.45,0.08,0.0,0.0,3.76,0.75,2.33,24.4
Adam Idah,3000000,21,1.9,Centre-Forward,Striker,right,2.32876712328767,Norwich City,Premier League,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.29,0.29,0.09,0.37,0.14,2.02,0.58,28.6,0.07,0.25,12.4,0.0,0.0,0.0,0.29,0.29,0.14,-0.14,-0.14,13.82,20.45,67.6,237.6,46.37,6.34,9.5,66.7,5.76,7.2,80.0,1.15,1.73,66.7,0.14,0.09,0.58,1.01,0.58,0.29,1.01,20.45,19.73,0.72,0.0,0.0,6.34,0.58,1.58,0.0,0.0,0.0,0.0,13.39,3.74,3.31,2.88,14.4,1.15,0.43,0.29,13.82,0.0,0.72,1.01,1.58,1.73,1.15,0.14,0.14,0.0,0.29,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,1.58,0.86,0.58,0.72,0.29,0.29,0.72,40.0,0.43,13.39,3.31,24.7,2.16,5.76,5.47,0.58,0.43,0.0,0.14,0.58,2.16,1.15,0.0,33.84,1.87,3.89,13.39,18.29,4.75,33.12,1.73,2.3,75.0,1.73,0.0,24.48,134.21,48.53,2.74,0.43,0.29,3.74,2.45,52.42,23.33,44.5,7.34,0.0,0.0,0.0,1.44,1.73,1.44,1.58,0.58,0.86,0.0,0.0,0.0,4.9,2.3,5.18,30.8
Ádám Szalai,800000,34,1.93,Centre-Forward,Striker,right,1.32602739726027,FC Basel 1893,Swiss Super League,0.33,0.0,0.33,0.0,0.0,0.16,0.0,0.39,0.39,0.16,0.56,0.33,2.62,1.15,43.8,0.13,0.29,12.9,0.0,0.0,0.0,0.39,0.39,0.15,-0.07,-0.07,16.04,25.2,63.6,217.96,49.42,9.33,12.93,72.2,3.93,7.04,55.8,0.65,1.8,36.4,0.0,0.16,1.15,0.65,0.16,0.0,1.8,25.2,24.38,0.82,0.0,0.16,9.16,0.49,0.65,0.0,0.0,0.0,0.0,12.27,8.18,4.75,2.95,15.87,2.62,0.33,1.15,16.04,0.16,0.49,1.8,1.31,1.96,1.8,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.82,0.16,0.49,0.33,0.16,0.65,25.0,0.49,17.67,5.89,33.3,1.31,7.53,8.84,0.65,0.0,0.0,0.65,0.0,0.98,0.0,0.0,40.75,0.0,2.13,16.85,23.56,7.53,39.93,1.15,1.8,63.6,1.31,0.16,26.67,80.02,32.07,1.8,0.49,0.16,5.24,3.11,64.15,31.58,49.2,9.0,0.16,0.0,0.0,2.78,1.64,0.98,0.65,0.0,0.82,0.0,0.0,0.0,5.73,2.45,4.58,34.9
Adam Zrelák,350000,27,1.83,Centre-Forward,Striker,left,1.32602739726027,Warta Poznan,Bundesliga,0.19,0.1,0.19,0.0,0.0,0.38,0.0,0.36,0.36,0.06,0.42,0.19,1.43,0.57,40.0,0.13,0.33,9.3,0.0,0.0,0.0,0.36,0.36,0.25,-0.17,-0.17,10.52,17.5,60.1,145.76,16.64,6.41,10.23,62.6,2.87,5.26,54.5,0.57,0.96,60.0,0.1,0.06,0.67,0.86,0.29,0.0,0.57,17.5,15.88,1.63,0.0,0.0,4.11,0.0,0.29,0.0,0.0,0.0,0.0,7.65,5.07,4.78,7.27,3.44,3.73,0.0,1.15,10.52,0.0,0.38,0.29,0.77,1.15,1.05,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,1.15,1.05,0.19,0.86,0.1,0.38,1.05,36.4,0.67,31.85,6.79,21.3,4.3,19.03,8.51,1.15,0.19,0.0,0.96,0.29,1.43,0.96,0.0,27.35,0.86,2.39,12.72,12.62,3.83,25.73,0.1,0.29,33.3,0.1,0.0,11.76,27.93,6.6,0.48,0.1,0.1,3.06,0.67,44.86,17.98,40.1,7.36,0.38,0.0,0.0,1.91,0.86,0.96,0.29,0.29,1.05,0.0,0.0,0.0,3.35,2.49,5.16,32.5
Adama Niane,600000,28,1.83,Centre-Forward,Striker,right,0.326027397260274,USL Dunkerque,Ligue 1,0.33,0.08,0.25,0.08,0.08,0.25,0.0,0.46,0.4,0.04,0.44,0.33,2.87,0.96,33.3,0.09,0.26,16.7,0.04,0.08,0.08,0.46,0.4,0.14,-0.13,-0.15,14.64,22.42,65.3,200.42,30.78,8.57,12.14,70.5,4.16,6.57,63.3,0.75,1.5,50.0,0.08,0.04,0.67,0.54,0.29,0.08,0.79,22.42,20.79,1.62,0.04,0.0,6.03,0.42,0.42,0.0,0.0,0.0,0.0,15.22,3.2,3.99,2.54,15.64,2.45,0.04,0.71,14.64,0.04,0.58,0.79,0.96,1.83,1.16,0.0,0.12,0.21,0.25,0.08,0.21,0.12,0.0,0.0,0.0,0.08,0.0,0.62,0.33,0.29,0.17,0.17,0.17,0.87,19.0,0.71,19.3,4.95,25.6,2.41,9.03,7.86,0.79,0.17,0.0,0.62,0.42,1.04,0.46,0.0,35.73,0.87,4.03,15.51,18.3,4.78,34.1,0.71,1.46,48.6,0.83,0.04,21.75,83.72,42.67,2.25,0.67,0.46,3.83,2.0,48.33,24.7,51.1,10.4,0.25,0.0,0.0,1.58,1.16,1.29,0.42,0.42,0.33,0.08,0.0,0.0,4.95,1.21,3.24,27.1
