Player_Names,Player_valuation,Age,Height,Position,Gen_Pos,Foot,Y_Contract_Left,Actual_Club,Data_League,Goals,Assists,Non.Penalty.Goals,Penalty.Kicks.Made,Penalty.Kicks.Attempted,Yellow.Cards,Red.Cards,xG,npxG,xA,npxG.xA,Goals.1,Shots.Total,Shots.on.target,Shots.on.target..,Goals.Shot,Goals.Shot.on.target,Average.Shot.Distance,Shots.from.free.kicks,Penalty.Kicks.Made.1,Penalty.Kicks.Attempted.1,xG.1,npxG.1,npxG.Sh,Goals...xG,Non.Penalty.Goals...npxG,Passes.Completed,Passes.Attempted,Pass.Completion..,Total.Passing.Distance,Progressive.Passing.Distance,Passes.Completed..Short.,Passes.Attempted..Short.,Pass.Completion....Short.,Passes.Completed..Medium.,Passes.Attempted..Medium.,Pass.Completion....Medium.,Passes.Completed..Long.,Passes.Attempted..Long.,Pass.Completion....Long.,Assists.1,xA.1,Key.Passes,Passes.into.Final.Third,Passes.into.Penalty.Area,Crosses.into.Penalty.Area,Progressive.Passes,Passes.Attempted.1,Live.ball.passes,Dead.ball.passes,Passes.from.Free.Kicks,Through.Balls,Passes.Under.Pressure,Switches,Crosses,Corner.Kicks,Inswinging.Corner.Kicks,Outswinging.Corner.Kicks,Straight.Corner.Kicks,Ground.passes,Low.Passes,High.Passes,Passes.Attempted..Left.,Passes.Attempted..Right.,Passes.Attempted..Head.,Throw.Ins.taken,Passes.Attempted..Other.,Passes.Completed.1,Passes.Offside,Passes.Out.of.Bounds,Passes.Intercepted,Passes.Blocked,Shot.Creating.Actions,SCA..PassLive.,SCA..PassDead.,SCA..Drib.,SCA..Sh.,SCA..Fld.,SCA..Def.,Goal.Creating.Actions,GCA..PassLive.,GCA..PassDead.,GCA..Drib.,GCA..Sh.,GCA..Fld.,GCA..Def.,Tackles,Tackles.Won,Tackles..Def.3rd.,Tackles..Mid.3rd.,Tackles..Att.3rd.,Dribblers.Tackled,Dribbles.Contested,X..of.dribblers.tackled,Dribbled.Past,Pressures,Successful.Pressures,Successful.Pressure..,Pressures..Def.3rd.,Pressures..Mid.3rd.,Pressures..Att.3rd.,Blocks,Shots.Blocked,Shots.Saved,Passes.Blocked.1,Interceptions,Tkl.Int,Clearances,Errors,Touches,Touches..Def.Pen.,Touches..Def.3rd.,Touches..Mid.3rd.,Touches..Att.3rd.,Touches..Att.Pen.,Touches..Live.Ball.,Dribbles.Completed,Dribbles.Attempted,Successful.Dribble..,Players.Dribbled.Past,Nutmegs,Carries,Total.Carrying.Distance,Progressive.Carrying.Distance,Progressive.Carries,Carries.into.Final.Third,Carries.into.Penalty.Area,Miscontrols,Dispossessed,Pass.Targets,Passes.Received,Passes.Received..,Progressive.Passes.Rec,Yellow.Cards.1,Red.Cards.1,Second.Yellow.Card,Fouls.Committed,Fouls.Drawn,Offsides,Crosses.1,Interceptions.1,Tackles.Won.1,Penalty.Kicks.Won,Penalty.Kicks.Conceded,Own.Goals,Ball.Recoveries,Aerials.won,Aerials.lost,X..of.Aerials.Won
Abdou Diallo,25000000,25,1.87,Centre-Back,Centre-Back,left,2.32876712328767,Paris Saint-Germain,Ligue 1,0.0,0.05,0.0,0.0,0.0,0.11,0.0,0.02,0.02,0.03,0.05,0.0,0.16,0.05,33.3,0.0,0.0,11.3,0.0,0.0,0.0,0.02,0.02,0.1,-0.02,-0.02,60.47,68.12,88.8,1048.37,406.4,28.79,30.63,94.0,25.25,27.68,91.2,5.64,8.33,67.7,0.05,0.03,0.26,3.59,0.69,0.26,4.69,68.12,60.79,7.33,1.37,0.11,6.43,1.37,1.27,0.0,0.0,0.0,0.0,52.67,8.86,6.59,53.78,6.22,1.32,5.96,0.11,60.47,0.05,0.53,1.63,0.84,0.53,0.47,0.0,0.05,0.0,0.0,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,2.58,1.74,1.42,0.79,0.37,1.05,1.9,55.6,0.84,12.44,4.17,33.5,5.01,5.43,2.0,1.58,0.32,0.0,1.27,1.95,4.53,2.16,0.05,78.45,5.91,27.57,41.12,15.13,0.63,71.18,1.69,2.79,60.4,1.85,0.0,54.67,256.24,150.21,5.06,1.58,0.16,1.0,0.79,56.41,54.62,96.8,0.9,0.11,0.0,0.0,1.42,0.32,0.05,1.27,1.95,1.74,0.0,0.0,0.0,7.01,1.16,0.47,71.0
Abdoulaye Ba,500000,31,1.97,Centre-Back,Centre-Back,right,0.326027397260274,FC Arouca,La Liga,0.04,0.0,0.04,0.0,0.0,0.17,0.09,0.05,0.05,0.0,0.05,0.04,0.38,0.17,44.4,0.11,0.25,8.0,0.0,0.0,0.0,0.05,0.05,0.13,0.0,0.0,36.51,44.23,82.5,837.68,292.22,9.04,10.02,90.2,18.98,20.82,91.2,8.27,12.84,64.5,0.0,0.0,0.04,1.19,0.0,0.0,1.19,44.23,42.44,1.79,1.71,0.0,5.97,1.62,0.0,0.0,0.0,0.0,0.0,31.18,4.99,8.06,5.72,34.81,2.43,0.09,0.3,36.51,0.04,1.41,0.34,0.47,0.26,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,1.19,1.66,0.3,0.09,0.94,1.58,59.5,0.64,8.15,2.22,27.2,5.67,2.26,0.21,1.96,0.81,0.04,1.15,1.11,3.16,7.68,0.21,57.2,9.64,37.19,21.24,1.07,0.47,55.58,0.13,0.26,50.0,0.17,0.0,32.46,157.22,66.2,0.73,0.04,0.0,0.3,0.04,32.12,31.18,97.1,0.38,0.17,0.09,0.0,0.94,0.73,0.04,0.0,1.11,1.19,0.0,0.13,0.0,10.49,2.64,0.81,76.5
Adam Webster,18000000,27,1.9,Centre-Back,Centre-Back,right,4.32876712328767,Brighton & Hove Albion,Premier League,0.15,0.0,0.15,0.0,0.0,0.25,0.0,0.06,0.06,0.01,0.07,0.15,0.55,0.15,27.3,0.27,1.0,9.6,0.0,0.0,0.0,0.06,0.06,0.13,0.09,0.09,61.1,72.12,84.7,1324.36,465.18,16.78,18.73,89.6,33.66,36.56,92.1,10.12,15.48,65.4,0.0,0.01,0.05,5.51,0.1,0.0,4.11,72.12,70.47,1.65,0.9,0.0,8.71,2.1,0.2,0.0,0.0,0.0,0.0,55.49,5.06,11.57,15.68,50.18,3.51,0.75,0.25,61.1,0.05,1.2,1.6,0.9,0.55,0.5,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,1.3,0.8,0.85,0.35,0.1,0.55,1.35,40.7,0.8,7.96,3.11,39.0,4.51,2.9,0.55,2.35,1.0,0.0,1.35,1.9,3.21,4.81,0.1,83.39,8.81,44.17,40.82,6.41,0.85,81.79,0.35,0.45,77.8,0.35,0.05,55.69,343.12,219.22,5.01,1.6,0.1,0.35,0.25,60.2,59.35,98.6,0.1,0.25,0.0,0.0,1.1,0.35,0.0,0.2,1.9,0.8,0.0,0.0,0.0,10.82,3.06,1.2,71.8
Adama Soumaoro,4000000,29,1.86,Centre-Back,Centre-Back,right,2.32876712328767,Bologna FC 1909,Serie A,0.04,0.0,0.04,0.0,0.0,0.32,0.04,0.07,0.07,0.0,0.07,0.04,0.42,0.07,16.7,0.08,0.5,7.5,0.0,0.0,0.0,0.07,0.07,0.16,-0.03,-0.03,42.75,46.72,91.5,816.23,241.4,15.04,16.42,91.6,21.94,23.08,95.1,5.17,6.23,83.0,0.0,0.0,0.04,1.84,0.04,0.0,2.27,46.72,43.64,3.08,2.65,0.0,5.1,0.57,0.07,0.0,0.0,0.0,0.0,38.05,4.18,4.49,3.5,38.29,2.65,0.42,0.32,42.75,0.07,0.42,0.46,0.35,0.53,0.46,0.0,0.0,0.04,0.0,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,1.1,0.71,0.78,0.25,0.07,0.25,0.53,46.7,0.28,8.56,3.22,37.6,4.85,3.26,0.46,1.56,0.88,0.0,0.67,1.56,2.65,3.72,0.0,55.35,6.76,26.26,29.02,2.97,0.74,52.45,0.18,0.25,71.4,0.18,0.0,31.96,157.74,78.39,2.12,0.42,0.04,0.32,0.11,35.0,33.9,96.9,0.18,0.32,0.04,0.0,1.34,0.6,0.04,0.07,1.56,0.71,0.0,0.11,0.04,8.95,2.9,0.78,78.8
Adil Rami,250000,36,1.91,Centre-Back,Centre-Back,right,0.326027397260274,ESTAC Troyes,Ligue 1,0.25,0.0,0.25,0.0,0.0,0.08,0.0,0.07,0.07,0.0,0.07,0.25,0.42,0.25,60.0,0.6,1.0,6.6,0.0,0.0,0.0,0.07,0.07,0.16,0.18,0.18,31.99,38.2,83.7,730.49,267.4,10.24,11.42,89.7,14.52,16.04,90.6,6.97,10.07,69.2,0.0,0.0,0.08,1.6,0.08,0.0,1.6,38.2,36.69,1.51,1.18,0.0,4.45,2.69,0.0,0.0,0.0,0.0,0.0,27.96,3.19,7.05,4.45,31.4,1.09,0.34,0.08,31.99,0.17,1.6,0.5,0.5,0.42,0.34,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34,1.01,0.84,0.42,0.08,0.84,1.09,76.9,0.25,6.97,2.43,34.9,4.11,2.69,0.17,1.34,0.67,0.0,0.67,1.51,2.85,3.36,0.0,46.09,7.47,28.96,17.38,2.35,0.76,44.66,0.34,0.5,66.7,0.42,0.0,27.71,139.87,71.61,1.26,0.42,0.0,0.5,0.17,30.73,29.55,96.2,0.0,0.08,0.0,0.0,0.76,0.42,0.0,0.0,1.51,1.01,0.0,0.0,0.0,7.14,1.85,0.84,68.8
Ahmed Hegazi,4000000,31,1.93,Centre-Back,Centre-Back,right,1.32602739726027,Al-Ittihad Jeddah,Premier League,0.05,0.0,0.05,0.0,0.0,0.11,0.0,0.05,0.05,0.01,0.06,0.05,0.48,0.11,22.2,0.11,0.5,9.9,0.0,0.0,0.0,0.05,0.05,0.09,0.01,0.01,22.62,30.73,73.6,550.31,236.48,5.5,6.65,82.8,10.5,12.41,84.6,6.38,10.84,58.8,0.0,0.01,0.11,1.81,0.24,0.08,1.7,30.73,29.58,1.14,1.06,0.0,3.93,1.04,0.29,0.0,0.0,0.0,0.0,14.7,4.25,11.78,4.04,22.59,2.82,0.08,0.16,22.62,0.19,0.9,0.51,0.64,0.32,0.24,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.96,1.33,0.43,0.0,0.66,1.22,54.3,0.56,9.41,2.84,30.2,7.23,1.86,0.32,2.18,1.2,0.0,0.98,2.31,4.07,8.51,0.08,45.51,9.57,29.82,15.84,2.23,0.93,44.39,0.53,0.66,80.0,0.56,0.03,20.65,123.44,69.21,1.41,0.16,0.0,0.21,0.35,20.63,19.35,93.8,0.24,0.11,0.0,0.0,0.72,0.43,0.05,0.29,2.31,0.96,0.0,0.0,0.0,8.9,3.43,2.13,61.7
Aïssa Mandi,6000000,30,1.84,Centre-Back,Centre-Back,right,3.32876712328767,Villarreal CF,La Liga,0.05,0.05,0.05,0.0,0.0,0.16,0.0,0.11,0.11,0.01,0.11,0.05,0.43,0.16,37.5,0.13,0.33,9.0,0.0,0.0,0.0,0.11,0.11,0.25,-0.05,-0.05,57.0,60.83,93.7,1250.9,400.72,15.17,16.07,94.4,30.92,32.09,96.4,10.59,11.92,88.8,0.05,0.01,0.11,2.29,0.11,0.0,2.61,60.83,58.6,2.24,2.13,0.0,4.95,1.97,0.0,0.0,0.0,0.0,0.0,52.69,3.46,4.68,6.17,52.21,1.44,0.05,0.16,57.0,0.0,0.43,0.64,0.43,0.21,0.11,0.0,0.0,0.05,0.05,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,1.33,0.75,0.8,0.48,0.05,0.27,0.53,50.0,0.27,5.38,1.97,36.6,3.19,1.76,0.43,1.44,0.8,0.11,0.64,1.01,2.34,3.62,0.05,69.03,9.26,36.09,35.02,1.97,0.64,66.85,0.05,0.11,50.0,0.05,0.0,47.26,233.81,124.17,2.66,0.43,0.0,0.21,0.11,51.84,51.25,98.9,0.0,0.16,0.0,0.0,0.75,0.43,0.05,0.0,1.01,0.75,0.0,0.0,0.05,7.19,1.92,0.96,66.7
Alessandro Bastoni,60000000,22,1.9,Centre-Back,Centre-Back,left,2.32876712328767,Inter Milan,Serie A,0.03,0.05,0.03,0.0,0.0,0.16,0.0,0.02,0.02,0.05,0.06,0.03,0.32,0.05,16.7,0.08,0.5,17.2,0.0,0.0,0.0,0.02,0.02,0.06,0.01,0.01,61.94,68.95,89.8,1219.78,354.5,23.26,24.77,93.9,28.46,30.45,93.5,8.97,11.36,79.0,0.05,0.05,0.35,4.54,0.64,0.19,3.64,68.95,64.51,4.43,2.07,0.05,8.12,2.26,0.69,0.05,0.0,0.0,0.0,53.55,6.24,9.16,55.43,9.19,1.83,1.25,0.11,61.94,0.29,0.58,1.17,1.22,1.19,1.09,0.0,0.05,0.0,0.03,0.03,0.13,0.13,0.0,0.0,0.0,0.0,0.0,1.38,0.85,0.85,0.45,0.08,0.56,1.09,51.2,0.53,10.83,3.82,35.3,4.99,4.59,1.25,1.41,0.53,0.0,0.88,1.57,2.95,2.89,0.08,77.47,10.35,32.02,39.29,11.42,0.9,73.51,0.29,0.53,55.0,0.32,0.08,53.84,259.33,160.96,5.5,1.46,0.16,0.48,0.5,58.06,56.63,97.5,1.09,0.16,0.0,0.0,1.22,1.19,0.0,0.69,1.57,0.85,0.0,0.03,0.0,8.47,1.99,1.22,62.0
Alessandro Buongiorno,4000000,22,1.94,Centre-Back,Centre-Back,left,3.32876712328767,Torino FC,Serie A,0.0,0.07,0.0,0.0,0.0,0.41,0.0,0.05,0.05,0.04,0.09,0.0,0.41,0.07,16.7,0.0,0.0,7.0,0.0,0.0,0.0,0.05,0.05,0.12,-0.05,-0.05,33.14,40.8,81.2,614.68,176.75,13.62,15.25,89.3,14.77,17.35,85.2,4.0,6.71,59.6,0.07,0.04,0.2,2.85,0.07,0.0,1.83,40.8,39.24,1.56,1.29,0.14,4.47,0.41,0.27,0.0,0.0,0.0,0.0,29.07,3.8,7.93,29.55,5.49,3.05,0.27,0.14,33.14,0.07,1.36,0.88,0.88,0.47,0.34,0.0,0.0,0.07,0.07,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,1.49,0.95,0.75,0.61,0.14,0.68,1.22,55.6,0.54,12.4,3.73,30.1,5.9,5.63,0.88,1.63,0.61,0.0,1.02,2.64,4.13,3.66,0.07,51.57,5.42,22.16,28.53,4.74,1.02,50.22,0.14,0.27,50.0,0.14,0.0,28.53,158.25,84.17,2.71,0.61,0.0,0.47,0.27,31.45,30.29,96.3,0.2,0.41,0.0,0.0,2.17,1.22,0.07,0.27,2.64,0.95,0.0,0.0,0.0,9.15,3.66,2.17,62.8
Alessio Romagnoli,20000000,27,1.85,Centre-Back,Centre-Back,left,0.326027397260274,AC Milan,Serie A,0.05,0.05,0.05,0.0,0.0,0.18,0.05,0.05,0.05,0.01,0.06,0.05,0.63,0.23,35.7,0.07,0.2,11.6,0.0,0.0,0.0,0.05,0.05,0.08,0.0,0.0,51.45,58.42,88.1,1034.8,339.73,14.8,16.56,89.3,28.33,30.23,93.7,6.92,9.59,72.2,0.05,0.01,0.23,2.67,0.18,0.0,3.3,58.42,55.29,3.12,2.17,0.0,5.25,0.68,0.09,0.0,0.0,0.0,0.0,44.75,4.66,9.0,45.97,7.69,2.13,0.18,0.36,51.45,0.14,0.72,0.77,0.63,0.54,0.5,0.0,0.0,0.05,0.0,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.0,1.99,1.0,1.13,0.77,0.09,0.68,0.95,71.4,0.27,9.1,3.21,35.3,4.12,4.43,0.54,1.49,0.72,0.05,0.77,1.58,3.57,3.76,0.0,67.29,8.28,35.07,32.99,2.67,1.13,64.25,0.09,0.09,100.0,0.09,0.0,41.36,205.79,91.67,1.9,0.23,0.0,0.09,0.05,47.15,45.57,96.6,0.32,0.18,0.05,0.0,1.09,0.72,0.14,0.09,1.58,1.0,0.0,0.05,0.0,9.23,3.3,1.36,70.9
