ï»¿Player_SN,Player_LN,Player Valuation,scouting_period,Age,Height,Gen_Pos,Position,Foot,Data_League,Goals,Assists,Non.Penalty.Goals,Penalty.Kicks.Made,Penalty.Kicks.Attempted,Yellow.Cards,Red.Cards,xG,npxG,xA,npxG.xA,Goals.1,Shots.Total,Shots.on.target,Shots.on.target..,Goals.Shot,Goals.Shot.on.target,Average.Shot.Distance,Shots.from.free.kicks,Penalty.Kicks.Made.1,Penalty.Kicks.Attempted.1,xG.1,npxG.1,npxG.Sh,Goals...xG,Non.Penalty.Goals...npxG,Passes.Completed,Passes.Attempted,Pass.Completion..,Total.Passing.Distance,Progressive.Passing.Distance,Passes.Completed..Short.,Passes.Attempted..Short.,Pass.Completion....Short.,Passes.Completed..Medium.,Passes.Attempted..Medium.,Pass.Completion....Medium.,Passes.Completed..Long.,Passes.Attempted..Long.,Pass.Completion....Long.,Assists.1,xA.1,Key.Passes,Passes.into.Final.Third,Passes.into.Penalty.Area,Crosses.into.Penalty.Area,Progressive.Passes,Passes.Attempted.1,Live.ball.passes,Dead.ball.passes,Passes.from.Free.Kicks,Through.Balls,Passes.Under.Pressure,Switches,Crosses,Corner.Kicks,Inswinging.Corner.Kicks,Outswinging.Corner.Kicks,Straight.Corner.Kicks,Ground.passes,Low.Passes,High.Passes,Passes.Attempted..Left.,Passes.Attempted..Right.,Passes.Attempted..Head.,Throw.Ins.taken,Passes.Attempted..Other.,Passes.Completed.1,Passes.Offside,Passes.Out.of.Bounds,Passes.Intercepted,Passes.Blocked,Shot.Creating.Actions,SCA..PassLive.,SCA..PassDead.,SCA..Drib.,SCA..Sh.,SCA..Fld.,SCA..Def.,Goal.Creating.Actions,GCA..PassLive.,GCA..PassDead.,GCA..Drib.,GCA..Sh.,GCA..Fld.,GCA..Def.,Tackles,Tackles.Won,Tackles..Def.3rd.,Tackles..Mid.3rd.,Tackles..Att.3rd.,Dribblers.Tackled,Dribbles.Contested,X..of.dribblers.tackled,Dribbled.Past,Pressures,Successful.Pressures,Successful.Pressure..,Pressures..Def.3rd.,Pressures..Mid.3rd.,Pressures..Att.3rd.,Blocks,Shots.Blocked,Shots.Saved,Passes.Blocked.1,Interceptions,Tkl.Int,Clearances,Errors,Touches,Touches..Def.Pen.,Touches..Def.3rd.,Touches..Mid.3rd.,Touches..Att.3rd.,Touches..Att.Pen.,Touches..Live.Ball.,Dribbles.Completed,Dribbles.Attempted,Successful.Dribble..,Players.Dribbled.Past,Nutmegs,Carries,Total.Carrying.Distance,Progressive.Carrying.Distance,Progressive.Carries,Carries.into.Final.Third,Carries.into.Penalty.Area,Miscontrols,Dispossessed,Pass.Targets,Passes.Received,Passes.Received..,Progressive.Passes.Rec,Yellow.Cards.1,Red.Cards.1,Second.Yellow.Card,Fouls.Committed,Fouls.Drawn,Offsides,Crosses.1,Interceptions.1,Tackles.Won.1,Penalty.Kicks.Won,Penalty.Kicks.Conceded,Own.Goals,Ball.Recoveries,Aerials.won,Aerials.lost,X..of.Aerials.Won
Aaron Cresswell,Aaron William Cresswell,4000000,2021-2022,33.0,1.7,Full-Back,Left-Back,left,Premier League,0.04,0.13,0.04,0.0,0.0,0.04,0.0,0.03,0.03,0.12,0.15,0.04,0.54,0.09,16.7,0.08,0.5,21.0,0.27,0.0,0.0,0.03,0.03,0.06,0.01,0.01,54.47,68.55,79.5,982.01,427.16,24.45,26.52,92.2,23.46,27.01,86.9,5.88,12.74,46.1,0.13,0.12,1.44,4.22,0.85,0.31,5.7,68.55,55.86,12.7,1.93,0.0,6.77,1.75,2.06,2.2,0.54,1.66,0.0,41.41,12.29,14.85,53.3,3.99,1.57,8.57,0.27,54.47,0.31,1.03,2.2,1.93,2.02,1.08,0.85,0.0,0.09,0.0,0.0,0.22,0.09,0.13,0.0,0.0,0.0,0.0,1.17,0.67,0.85,0.22,0.09,0.58,1.08,54.2,0.49,6.73,2.24,33.3,3.5,2.38,0.85,1.57,0.54,0.0,1.03,1.53,2.69,2.29,0.0,76.41,3.9,21.18,37.6,21.8,1.08,63.66,0.13,0.58,23.1,0.13,0.13,45.4,194.94,98.84,3.77,1.7,0.09,0.22,0.36,49.67,47.6,95.8,0.9,0.04,0.0,0.0,0.72,0.45,0.09,2.06,1.53,0.67,0.0,0.04,0.0,8.26,1.21,0.94,56.3
Aaron Cresswell,Aaron William Cresswell,5833333,2020-2021,32.0,1.7,Full-Back,Left-Back,left,Premier League,0.0,0.23,0.0,0.0,0.0,0.09,0.0,0.03,0.03,0.17,0.2,0.0,0.54,0.11,21.1,0.0,0.0,24.6,0.31,0.0,0.0,0.03,0.03,0.05,-0.03,-0.03,43.75,58.51,74.8,876.83,419.17,18.6,20.9,89.0,17.49,20.9,83.7,7.15,14.71,48.6,0.23,0.17,1.7,4.23,0.68,0.48,3.41,58.51,45.91,12.61,2.92,0.06,4.49,2.38,2.58,2.33,0.62,1.45,0.17,31.34,10.36,16.81,45.62,3.35,1.39,7.35,0.11,43.75,0.65,0.99,1.36,1.87,2.73,1.36,1.16,0.03,0.11,0.06,0.0,0.4,0.14,0.17,0.0,0.06,0.03,0.0,0.88,0.37,0.43,0.4,0.06,0.4,0.97,41.2,0.57,6.53,1.9,29.1,3.46,2.56,0.51,1.36,0.4,0.0,0.97,1.02,1.9,2.78,0.0,65.5,5.17,21.78,29.9,16.86,0.51,52.84,0.17,0.43,40.0,0.23,0.06,35.94,152.94,74.3,2.75,1.14,0.09,0.2,0.26,38.78,37.42,96.5,0.85,0.09,0.0,0.0,0.43,0.51,0.0,2.58,1.02,0.37,0.0,0.0,0.0,8.72,1.08,0.85,55.9
Aaron Cresswell,Aaron William Cresswell,7500000,2019-2020,31.0,1.7,Full-Back,Left-Back,left,Premier League,0.1,0.0,0.1,0.0,0.0,0.23,0.0,0.04,0.04,0.06,0.1,0.1,0.59,0.17,27.8,0.17,0.6,20.1,0.23,0.0,0.0,0.04,0.04,0.07,0.06,0.06,40.96,55.48,73.8,713.86,353.2,20.43,22.41,91.2,15.61,19.77,79.0,4.32,10.4,41.6,0.0,0.06,0.76,3.76,0.73,0.5,4.06,55.48,42.64,12.84,1.49,0.1,7.99,1.25,2.31,0.63,0.36,0.17,0.0,26.27,11.85,17.36,39.64,2.67,1.35,10.73,0.03,40.96,0.2,1.35,0.63,2.54,1.52,1.09,0.2,0.07,0.03,0.13,0.0,0.07,0.03,0.0,0.03,0.0,0.0,0.0,1.58,0.96,0.83,0.59,0.17,0.79,1.95,40.7,1.16,11.72,3.89,33.2,6.14,4.29,1.29,2.11,0.33,0.0,1.78,0.5,2.08,3.04,0.07,65.05,3.56,18.15,31.16,18.55,0.86,52.18,0.53,1.25,42.1,0.63,0.07,35.51,140.1,67.72,3.0,1.19,0.1,0.3,0.43,37.59,34.55,91.9,1.42,0.23,0.0,0.0,0.76,0.73,0.07,2.31,0.5,0.96,0.0,0.0,0.0,9.74,1.68,1.12,60.0
Aaron Cresswell,Aaron William Cresswell,10000000,2018-2019,30.0,1.7,Full-Back,Left-Back,left,Premier League,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.02,0.02,0.06,0.08,0.0,0.62,0.0,0.0,0.0,,23.6,0.11,0.0,0.0,0.02,0.02,0.04,-0.02,-0.02,47.58,60.38,78.8,786.61,322.5,25.2,27.81,90.6,17.22,20.62,83.5,4.02,8.38,48.0,0.06,0.06,0.91,3.23,0.91,0.28,3.51,60.38,48.03,12.35,1.02,0.0,7.87,1.02,2.66,0.51,0.06,0.34,0.0,35.74,13.42,11.21,44.24,2.83,1.7,10.82,0.23,47.58,0.11,1.02,1.42,2.78,1.64,1.08,0.34,0.0,0.17,0.0,0.06,0.11,0.0,0.11,0.0,0.0,0.0,0.0,1.81,0.96,0.85,0.74,0.23,0.68,1.7,40.0,1.02,12.63,4.25,33.6,7.08,3.68,1.87,2.61,0.34,0.0,2.27,1.47,3.29,3.12,0.06,71.71,4.64,19.82,34.04,21.35,1.93,59.53,0.4,0.74,53.8,0.4,0.17,40.16,170.82,93.29,4.76,1.47,0.4,0.57,0.79,45.03,40.21,89.3,2.15,0.06,0.0,0.0,0.17,0.79,0.06,2.66,1.47,0.96,0.0,0.0,0.0,9.12,1.36,1.02,57.1
Aaron Cresswell,Aaron William Cresswell,12000000,2017-2018,29.0,1.7,Full-Back,Left-Back,left,Premier League,0.03,0.21,0.03,0.0,0.0,0.21,0.0,0.02,0.02,0.08,0.11,0.03,0.62,0.18,28.6,0.05,0.17,28.1,0.23,0.0,0.0,0.02,0.02,0.04,0.01,0.01,35.89,50.06,71.7,689.71,299.47,16.42,18.24,90.0,13.84,17.21,80.4,5.37,13.17,40.8,0.21,0.08,1.03,3.43,0.62,0.41,2.82,50.06,39.35,10.7,2.58,0.03,6.42,2.43,2.73,1.96,1.03,0.44,0.26,26.19,8.56,15.31,38.94,2.26,1.79,6.16,0.15,35.89,0.44,1.29,1.14,1.52,1.82,1.03,0.62,0.03,0.06,0.09,0.0,0.26,0.18,0.09,0.0,0.0,0.0,0.0,1.11,0.53,0.44,0.53,0.15,0.5,0.94,53.1,0.44,10.5,3.37,32.1,5.31,3.61,1.58,1.67,0.56,0.0,1.11,1.52,2.64,3.9,0.0,60.12,3.67,17.51,30.09,15.34,0.5,49.38,0.15,0.5,29.4,0.23,0.0,31.44,132.4,67.45,2.96,1.32,0.06,0.5,0.56,34.34,32.08,93.4,0.91,0.21,0.0,0.0,0.73,0.5,0.09,2.73,1.52,0.53,0.0,0.0,0.0,8.12,2.02,1.67,54.8
Aaron Hickey,Aaron Buchanan Hickey,12000000,2021-2022,21.0,1.85,Full-Back,Left-Back,both,Serie A,0.17,0.04,0.17,0.0,0.0,0.25,0.0,0.03,0.03,0.03,0.06,0.17,0.8,0.51,63.2,0.21,0.33,21.9,0.0,0.0,0.0,0.03,0.03,0.04,0.14,0.14,33.64,40.99,82.1,522.61,152.65,18.11,19.88,91.1,13.04,15.91,82.0,1.82,3.46,52.4,0.04,0.03,0.59,0.93,0.42,0.17,1.39,40.99,32.55,8.44,0.8,0.0,6.25,0.34,1.18,0.0,0.0,0.0,0.0,27.27,7.81,5.91,19.55,12.41,1.1,7.64,0.08,33.64,0.08,0.25,1.01,0.93,1.27,1.1,0.04,0.04,0.0,0.04,0.04,0.13,0.13,0.0,0.0,0.0,0.0,0.0,1.65,0.8,0.84,0.46,0.34,0.51,0.97,52.2,0.46,13.8,3.8,27.5,6.37,4.85,2.58,2.2,0.46,0.0,1.73,1.27,2.91,1.31,0.0,51.71,3.04,16.59,22.67,15.66,0.97,43.56,1.06,1.82,58.1,1.27,0.04,32.93,168.48,89.87,3.97,1.14,0.38,0.84,0.76,35.33,30.18,85.4,2.41,0.25,0.0,0.0,1.56,2.53,0.13,1.18,1.27,0.8,0.0,0.0,0.0,6.08,0.55,1.14,32.5
Aaron Hickey,Aaron Buchanan Hickey,3275000,2020-2021,20.0,1.85,Full-Back,Left-Back,both,Serie A,0.0,0.0,0.0,0.0,0.0,0.36,0.12,0.01,0.01,0.04,0.05,0.0,0.36,0.12,33.3,0.0,0.0,28.1,0.12,0.0,0.0,0.01,0.01,0.03,-0.01,-0.01,40.25,47.97,83.9,724.27,234.74,16.98,18.64,91.1,19.0,22.2,85.6,3.8,5.7,66.7,0.0,0.04,0.47,2.85,0.47,0.12,2.85,47.97,38.35,9.62,1.31,0.0,5.94,0.59,0.71,0.24,0.12,0.0,0.0,31.58,7.96,8.43,25.29,13.06,1.07,8.07,0.24,40.25,0.24,0.59,0.83,1.42,0.83,0.71,0.12,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,1.54,0.71,1.19,0.24,0.12,0.71,2.02,35.3,1.31,11.16,3.92,35.1,5.34,4.04,1.78,2.02,0.24,0.0,1.78,1.42,2.97,1.78,0.0,59.96,3.56,19.0,29.33,16.5,1.19,50.7,0.95,1.78,53.3,1.19,0.0,38.23,229.27,113.03,4.04,2.14,0.24,1.19,1.54,35.74,33.25,93.0,1.9,0.36,0.12,0.0,1.42,1.78,0.0,0.71,1.42,0.71,0.0,0.0,0.0,9.38,0.36,0.47,42.9
AarÃ³n MartÃ­n,AarÃ³n MartÃ­n Caricol,5000000,2021-2022,26.0,1.8,Full-Back,Left-Back,left,Bundesliga,0.05,0.05,0.05,0.0,0.0,0.21,0.0,0.04,0.04,0.17,0.22,0.05,0.84,0.21,25.0,0.06,0.25,21.4,0.21,0.0,0.0,0.04,0.04,0.05,0.02,0.02,30.79,44.29,69.5,600.63,246.64,13.39,15.24,87.9,11.97,14.92,80.2,5.06,12.6,40.2,0.05,0.17,2.16,2.27,1.16,0.79,3.16,44.29,34.27,10.02,1.16,0.05,5.43,2.21,3.27,3.85,1.85,1.53,0.11,23.15,7.96,13.18,35.91,2.32,0.69,5.01,0.11,30.79,0.21,0.37,2.0,1.69,2.85,1.58,1.11,0.0,0.11,0.05,0.0,0.11,0.05,0.05,0.0,0.0,0.0,0.0,2.21,1.21,1.27,0.69,0.26,0.84,1.79,47.1,0.95,14.92,5.11,34.3,5.48,6.7,2.74,1.32,0.21,0.0,1.11,1.27,3.48,1.9,0.0,53.62,1.74,14.08,23.78,18.82,1.05,43.44,1.16,1.95,59.5,1.32,0.0,30.63,142.3,75.61,2.58,1.0,0.0,0.74,0.53,33.27,29.58,88.9,1.37,0.21,0.0,0.0,1.32,0.69,0.0,3.27,1.27,1.21,0.0,0.0,0.0,6.43,0.53,1.21,30.3
AarÃ³n MartÃ­n,AarÃ³n MartÃ­n Caricol,4750000,2020-2021,25.0,1.8,Full-Back,Left-Back,left,La Liga,0.0,0.18,0.0,0.0,0.0,0.06,0.0,0.01,0.01,0.07,0.08,0.0,0.35,0.06,16.7,0.0,0.0,22.4,0.0,0.0,0.0,0.01,0.01,0.03,-0.01,-0.01,40.38,50.38,80.2,689.32,220.97,19.58,21.39,91.5,16.42,19.93,82.4,3.45,7.01,49.2,0.18,0.07,0.41,1.81,0.53,0.23,2.63,50.38,40.85,9.53,1.17,0.06,4.62,0.53,2.57,0.0,0.0,0.0,0.0,30.92,10.46,9.0,37.75,3.27,0.64,8.36,0.0,40.38,0.06,0.7,1.23,1.46,0.76,0.58,0.0,0.0,0.06,0.06,0.06,0.18,0.18,0.0,0.0,0.0,0.0,0.0,2.05,0.7,1.05,0.88,0.12,0.76,2.1,36.1,1.34,11.63,2.92,25.1,4.91,5.44,1.29,1.52,0.23,0.0,1.29,0.99,3.04,2.92,0.0,60.14,3.04,18.12,29.63,15.37,0.99,50.79,0.88,1.4,62.5,0.88,0.0,36.88,153.99,81.88,4.73,1.58,0.23,0.35,0.64,40.09,36.0,89.8,2.4,0.06,0.0,0.0,1.58,0.99,0.18,2.57,0.99,0.7,0.0,0.0,0.0,6.25,0.99,1.58,38.6
AarÃ³n MartÃ­n,AarÃ³n MartÃ­n Caricol,13166666,2019-2020,24.0,1.8,Full-Back,Left-Back,left,Bundesliga,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.01,0.01,0.17,0.18,0.0,0.45,0.15,33.3,0.0,0.0,24.4,0.05,0.0,0.0,0.01,0.01,0.03,-0.01,-0.01,33.25,45.8,72.6,597.2,240.67,15.62,17.43,89.6,13.41,17.58,76.3,3.97,9.44,42.0,0.0,0.17,1.56,1.96,0.9,0.6,2.71,45.8,32.29,13.51,2.06,0.05,5.73,1.36,2.96,2.86,1.1,1.41,0.35,23.0,9.39,13.41,33.3,2.26,1.1,8.59,0.15,33.25,0.2,0.6,0.9,1.51,2.46,1.36,1.0,0.05,0.0,0.05,0.0,0.1,0.05,0.0,0.0,0.0,0.05,0.0,1.05,0.75,0.6,0.25,0.2,0.5,1.36,37.0,0.85,10.95,3.06,28.0,4.92,4.77,1.26,1.91,0.15,0.0,1.76,0.7,1.76,2.16,0.0,54.29,2.51,14.56,24.61,18.83,0.65,41.13,1.21,2.01,60.0,1.31,0.05,29.73,180.15,97.63,5.47,1.46,0.15,0.65,0.6,30.64,26.47,86.4,1.91,0.1,0.0,0.0,0.95,0.7,0.1,2.96,0.7,0.75,0.0,0.0,0.0,8.09,0.85,1.26,40.5
