ï»¿Player_SN,Player_LN,Player Valuation,scouting_period,Age,Height,Gen_Pos,Position,Foot,Data_League,Goals,Assists,Non.Penalty.Goals,Penalty.Kicks.Made,Penalty.Kicks.Attempted,Yellow.Cards,Red.Cards,xG,npxG,xA,npxG.xA,Goals.1,Shots.Total,Shots.on.target,Shots.on.target..,Goals.Shot,Goals.Shot.on.target,Average.Shot.Distance,Shots.from.free.kicks,Penalty.Kicks.Made.1,Penalty.Kicks.Attempted.1,xG.1,npxG.1,npxG.Sh,Goals...xG,Non.Penalty.Goals...npxG,Passes.Completed,Passes.Attempted,Pass.Completion..,Total.Passing.Distance,Progressive.Passing.Distance,Passes.Completed..Short.,Passes.Attempted..Short.,Pass.Completion....Short.,Passes.Completed..Medium.,Passes.Attempted..Medium.,Pass.Completion....Medium.,Passes.Completed..Long.,Passes.Attempted..Long.,Pass.Completion....Long.,Assists.1,xA.1,Key.Passes,Passes.into.Final.Third,Passes.into.Penalty.Area,Crosses.into.Penalty.Area,Progressive.Passes,Passes.Attempted.1,Live.ball.passes,Dead.ball.passes,Passes.from.Free.Kicks,Through.Balls,Passes.Under.Pressure,Switches,Crosses,Corner.Kicks,Inswinging.Corner.Kicks,Outswinging.Corner.Kicks,Straight.Corner.Kicks,Ground.passes,Low.Passes,High.Passes,Passes.Attempted..Left.,Passes.Attempted..Right.,Passes.Attempted..Head.,Throw.Ins.taken,Passes.Attempted..Other.,Passes.Completed.1,Passes.Offside,Passes.Out.of.Bounds,Passes.Intercepted,Passes.Blocked,Shot.Creating.Actions,SCA..PassLive.,SCA..PassDead.,SCA..Drib.,SCA..Sh.,SCA..Fld.,SCA..Def.,Goal.Creating.Actions,GCA..PassLive.,GCA..PassDead.,GCA..Drib.,GCA..Sh.,GCA..Fld.,GCA..Def.,Tackles,Tackles.Won,Tackles..Def.3rd.,Tackles..Mid.3rd.,Tackles..Att.3rd.,Dribblers.Tackled,Dribbles.Contested,X..of.dribblers.tackled,Dribbled.Past,Pressures,Successful.Pressures,Successful.Pressure..,Pressures..Def.3rd.,Pressures..Mid.3rd.,Pressures..Att.3rd.,Blocks,Shots.Blocked,Shots.Saved,Passes.Blocked.1,Interceptions,Tkl.Int,Clearances,Errors,Touches,Touches..Def.Pen.,Touches..Def.3rd.,Touches..Mid.3rd.,Touches..Att.3rd.,Touches..Att.Pen.,Touches..Live.Ball.,Dribbles.Completed,Dribbles.Attempted,Successful.Dribble..,Players.Dribbled.Past,Nutmegs,Carries,Total.Carrying.Distance,Progressive.Carrying.Distance,Progressive.Carries,Carries.into.Final.Third,Carries.into.Penalty.Area,Miscontrols,Dispossessed,Pass.Targets,Passes.Received,Passes.Received..,Progressive.Passes.Rec,Yellow.Cards.1,Red.Cards.1,Second.Yellow.Card,Fouls.Committed,Fouls.Drawn,Offsides,Crosses.1,Interceptions.1,Tackles.Won.1,Penalty.Kicks.Won,Penalty.Kicks.Conceded,Own.Goals,Ball.Recoveries,Aerials.won,Aerials.lost,X..of.Aerials.Won
Aaron Lennon,Aaron Justin Lennon,1000000,2021-2022,36.0,1.65,Winger,Right Winger,right,Premier League,0.17,0.0,0.17,0.0,0.0,0.17,0.0,0.06,0.06,0.03,0.08,0.17,0.59,0.17,28.6,0.29,1.0,22.7,0.0,0.0,0.0,0.06,0.06,0.09,0.11,0.11,14.43,20.8,69.4,217.41,49.82,8.89,10.48,84.8,4.28,6.29,68.0,1.01,2.68,37.5,0.0,0.03,0.34,0.59,0.25,0.08,1.01,20.8,20.38,0.42,0.0,0.0,3.86,0.5,1.76,0.0,0.0,0.0,0.0,13.34,3.1,4.36,1.51,17.87,0.59,0.25,0.0,14.43,0.25,0.42,0.67,1.17,1.68,0.92,0.0,0.25,0.0,0.5,0.0,0.34,0.08,0.0,0.08,0.0,0.17,0.0,2.26,1.09,0.59,1.09,0.59,0.59,2.26,25.9,1.68,22.56,5.62,24.9,6.29,9.14,7.13,1.85,0.25,0.0,1.59,0.75,3.02,0.84,0.0,31.54,1.43,5.28,13.5,14.59,2.18,31.12,0.84,2.18,38.5,1.09,0.08,20.38,100.32,50.66,2.77,0.92,0.84,1.26,1.01,26.25,18.96,72.2,2.77,0.17,0.0,0.0,1.43,1.17,0.34,1.76,0.75,1.09,0.0,0.0,0.0,5.12,0.75,1.09,40.9
Aaron Lennon,Aaron Justin Lennon,2700000,2019-2020,34.0,1.65,Winger,Right Winger,right,Premier League,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.02,0.02,0.0,0.18,0.0,0.0,0.0,,17.7,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,16.69,23.77,70.2,260.2,62.96,9.8,11.79,83.1,5.26,6.35,82.9,1.09,3.08,35.3,0.0,0.02,0.36,1.09,0.36,0.18,1.45,23.77,23.41,0.36,0.0,0.0,5.81,0.91,1.63,0.18,0.18,0.0,0.0,16.51,3.81,3.45,2.0,20.32,0.73,0.18,0.0,16.69,0.0,0.54,0.36,1.81,1.27,1.09,0.0,0.0,0.0,0.18,0.0,0.18,0.18,0.0,0.0,0.0,0.0,0.0,2.72,1.63,1.27,0.73,0.73,1.63,2.54,64.3,0.91,25.95,4.9,18.9,6.71,12.16,7.08,1.45,0.36,0.0,1.09,1.45,4.17,1.09,0.0,34.29,2.18,7.08,14.33,14.88,1.09,33.93,1.09,1.45,75.0,1.09,0.0,22.68,118.13,67.14,3.45,0.36,0.54,1.27,0.91,28.31,20.87,73.7,2.54,0.73,0.0,0.0,2.0,1.27,0.0,1.63,1.45,1.63,0.0,0.0,0.0,5.44,0.54,1.45,27.3
Aaron Lennon,Aaron Justin Lennon,5000000,2018-2019,33.0,1.65,Winger,Right Winger,right,Premier League,0.07,0.07,0.07,0.0,0.0,0.07,0.0,0.06,0.06,0.05,0.1,0.07,0.3,0.15,50.0,0.25,0.5,14.3,0.0,0.0,0.0,0.06,0.06,0.19,0.01,0.01,17.11,22.89,74.8,263.11,53.78,9.56,11.63,82.2,5.7,6.89,82.8,1.26,2.44,51.5,0.07,0.05,0.52,0.59,0.37,0.15,1.41,22.89,22.44,0.44,0.07,0.0,3.41,0.22,1.26,0.0,0.0,0.0,0.0,15.78,3.85,3.26,2.15,18.89,1.41,0.37,0.07,17.11,0.07,0.37,0.81,1.41,1.33,0.74,0.0,0.15,0.0,0.44,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,2.22,1.11,0.74,1.26,0.22,0.59,1.85,32.0,1.26,20.15,5.41,26.8,6.0,9.48,4.67,2.37,0.07,0.0,2.3,0.89,3.11,0.52,0.0,32.15,1.33,5.7,15.56,12.67,1.63,31.85,0.59,1.41,42.1,0.59,0.07,20.89,114.67,56.52,3.41,0.81,0.52,0.81,0.81,26.81,18.89,70.4,2.96,0.07,0.0,0.0,1.04,1.26,0.0,1.26,0.89,1.11,0.0,0.07,0.0,6.3,0.07,0.96,7.1
Aaron Lennon,Aaron Justin Lennon,5000000,2017-2018,32.0,1.65,Winger,Right Winger,right,Premier League,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.04,0.04,0.09,0.13,0.0,0.66,0.24,35.7,0.0,0.0,16.1,0.0,0.0,0.0,0.04,0.04,0.07,-0.04,-0.04,16.77,23.88,70.2,259.45,73.42,9.8,12.1,80.9,5.7,7.58,75.2,1.04,2.17,47.8,0.09,0.09,0.61,0.94,0.75,0.33,1.84,23.88,22.94,0.94,0.05,0.0,5.27,0.33,1.27,0.0,0.0,0.0,0.0,15.16,4.62,4.1,2.64,19.22,0.8,0.85,0.14,16.77,0.05,0.52,0.71,2.12,1.6,1.08,0.0,0.09,0.28,0.14,0.0,0.33,0.19,0.0,0.0,0.09,0.05,0.0,1.74,0.94,0.75,0.85,0.14,0.47,1.98,23.8,1.51,20.2,4.66,23.1,5.79,9.61,4.8,2.26,0.28,0.0,1.98,0.94,2.68,0.89,0.0,35.18,1.22,6.26,15.07,15.82,2.73,34.29,0.89,2.12,42.2,0.94,0.14,22.42,105.68,64.9,3.86,0.71,0.94,0.85,1.98,30.19,21.38,70.8,3.49,0.09,0.0,0.0,1.13,1.08,0.05,1.27,0.94,0.94,0.09,0.0,0.0,6.12,0.61,1.27,32.5
Abdessamad Ezzalzouli,Abdessamad Ezzalzouli,4500000,2021-2022,21.0,1.77,Winger,Left Winger,right,La Liga,0.16,0.0,0.16,0.0,0.0,0.62,0.0,0.2,0.2,0.09,0.29,0.16,2.48,0.47,18.8,0.06,0.33,16.2,0.0,0.0,0.0,0.2,0.2,0.08,-0.05,-0.05,21.41,29.33,73.0,276.67,43.76,16.29,18.93,86.1,3.26,5.28,61.8,1.09,2.33,46.7,0.0,0.09,0.78,0.31,0.47,0.16,1.4,29.33,28.55,0.78,0.16,0.0,5.43,0.62,3.26,0.16,0.0,0.0,0.0,21.88,3.88,3.57,4.34,23.28,0.62,0.47,0.31,21.41,0.0,0.0,1.71,1.4,1.71,0.93,0.0,0.31,0.16,0.16,0.16,0.16,0.0,0.0,0.0,0.16,0.0,0.0,2.33,1.55,1.4,0.62,0.31,0.78,1.24,62.5,0.47,15.67,5.12,32.7,4.34,6.05,5.28,0.93,0.0,0.0,0.93,1.71,4.03,0.0,0.0,47.48,0.0,7.14,15.83,30.26,9.31,46.71,4.5,7.29,61.7,4.66,0.31,42.36,282.26,192.72,9.16,2.64,3.57,3.72,3.41,46.09,35.53,77.1,7.76,0.62,0.0,0.0,2.64,2.95,0.31,3.26,1.71,1.55,0.0,0.0,0.0,5.74,0.47,2.17,17.6
Abdoul Camara,Abdoul Razzagui Camara,1000000,2017-2018,29.0,1.78,Winger,Left Winger,left,Ligue 1,0.2,0.1,0.2,0.0,0.0,0.0,0.0,0.13,0.13,0.08,0.21,0.2,1.93,0.61,31.6,0.11,0.33,19.6,0.1,0.0,0.0,0.13,0.13,0.07,0.07,0.07,22.6,31.72,71.2,334.56,80.37,13.07,16.22,80.6,7.2,10.14,71.0,1.42,3.34,42.4,0.1,0.08,0.91,0.91,0.91,0.3,2.03,31.72,30.51,1.22,0.1,0.0,7.7,0.61,2.43,0.51,0.0,0.0,0.0,23.82,1.72,6.18,25.03,4.46,1.72,0.0,0.2,22.6,0.1,1.42,1.22,1.52,2.03,1.42,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.91,0.41,0.41,0.3,0.2,0.51,0.91,55.6,0.41,10.84,1.93,17.8,3.04,5.27,2.53,0.51,0.0,0.0,0.51,0.71,1.62,0.1,0.0,41.86,0.3,8.21,15.71,21.79,3.75,40.54,2.03,2.74,74.1,2.23,0.0,32.94,225.1,130.03,7.3,1.11,1.52,1.32,2.74,39.43,31.42,79.7,5.98,0.0,0.0,0.0,0.81,1.11,0.2,2.43,0.71,0.41,0.0,0.0,0.0,4.76,0.3,0.2,60.0
Abdoul Kader Bamba,Abdoul Kader Bamba,2000000,2020-2021,28.0,1.77,Winger,Right Winger,right,Ligue 1,0.29,0.1,0.29,0.0,0.1,0.2,0.0,0.27,0.2,0.18,0.37,0.29,1.37,0.59,42.9,0.21,0.5,18.7,0.1,0.0,0.1,0.27,0.2,0.14,0.02,0.1,36.41,48.48,75.1,605.56,171.76,19.83,22.48,88.2,12.46,16.19,77.0,3.24,6.48,50.0,0.1,0.18,2.26,2.45,0.98,0.2,3.34,48.48,43.68,4.81,2.26,0.1,7.85,1.08,1.96,1.67,0.29,0.88,0.49,35.33,6.28,6.87,4.42,41.61,0.98,0.69,0.2,36.41,0.2,0.88,1.28,2.55,4.12,2.65,0.69,0.39,0.0,0.29,0.1,0.29,0.2,0.0,0.1,0.0,0.0,0.0,1.86,1.28,0.69,0.79,0.39,0.59,1.47,40.0,0.88,15.11,4.91,32.5,4.02,7.75,3.34,1.28,0.0,0.0,1.28,0.69,2.55,0.29,0.0,61.73,0.49,7.66,29.74,28.56,3.73,57.51,3.53,5.59,63.2,3.83,0.2,47.21,225.05,132.2,6.97,1.28,1.57,2.06,1.86,56.14,43.87,78.1,7.16,0.2,0.0,0.0,1.08,4.22,0.0,1.96,0.69,1.28,0.0,0.0,0.0,8.74,0.79,1.08,42.1
Abdoul Kader Bamba,Abdoul Kader Bamba,1475000,2019-2020,27.0,1.77,Winger,Right Winger,right,Ligue 1,0.06,0.18,0.06,0.0,0.0,0.31,0.0,0.12,0.12,0.29,0.4,0.06,1.16,0.55,47.4,0.05,0.11,20.2,0.0,0.0,0.0,0.12,0.12,0.1,-0.06,-0.06,35.01,44.2,79.2,537.0,167.92,19.74,22.32,88.5,12.02,14.53,82.7,2.33,4.9,47.5,0.18,0.29,2.33,2.02,1.35,0.31,4.05,44.2,41.14,3.07,1.04,0.12,10.48,1.23,1.9,1.41,0.74,0.49,0.06,33.05,4.78,6.38,3.99,37.64,1.35,0.55,0.37,35.01,0.06,0.43,0.86,1.53,4.35,2.57,0.55,0.37,0.18,0.67,0.0,0.37,0.12,0.06,0.06,0.06,0.06,0.0,1.72,1.04,0.49,0.74,0.49,0.92,2.39,38.5,1.47,18.76,5.21,27.8,4.9,8.64,5.21,1.47,0.12,0.06,1.35,1.23,2.94,0.31,0.0,58.86,0.55,8.03,30.72,25.44,3.07,56.46,3.37,6.01,56.1,3.68,0.06,49.29,261.72,168.41,9.75,2.45,1.47,2.45,2.45,54.07,43.16,79.8,5.58,0.31,0.0,0.0,1.35,3.49,0.18,1.9,1.23,1.04,0.0,0.0,0.0,7.91,0.49,0.98,33.3
Adam MaruÅ¡iÄ,Adam MaruÅ¡iÄ,8250000,2021-2022,30.0,1.85,Winger,Right Midfield,right,Serie A,0.0,0.0,0.0,0.0,0.0,0.26,0.04,0.0,0.0,0.02,0.02,0.0,0.17,0.0,0.0,0.0,,25.9,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,56.02,64.22,87.2,888.83,320.65,29.93,32.24,92.8,21.73,25.0,86.9,3.36,5.1,65.8,0.0,0.02,0.22,3.53,0.31,0.13,2.31,64.22,56.28,7.94,1.09,0.0,6.02,0.35,0.74,0.0,0.0,0.0,0.0,46.85,9.29,8.07,9.16,44.24,2.7,6.85,0.35,56.02,0.13,0.57,1.31,0.96,0.44,0.44,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0,1.13,0.65,0.52,0.44,0.17,0.52,1.4,37.5,0.87,7.15,1.96,27.4,2.88,3.01,1.27,1.79,0.35,0.0,1.44,2.01,3.14,2.14,0.0,72.55,4.49,26.13,38.26,12.61,0.52,64.83,0.61,1.05,58.3,0.61,0.04,48.73,210.36,106.19,4.19,1.44,0.13,0.74,0.83,50.56,48.21,95.3,1.05,0.26,0.04,0.04,1.13,0.44,0.0,0.74,2.01,0.65,0.0,0.0,0.0,8.33,1.44,0.92,61.1
Adam MaruÅ¡iÄ,Adam MaruÅ¡iÄ,7500000,2020-2021,29.0,1.85,Winger,Right Midfield,right,Serie A,0.06,0.09,0.06,0.0,0.0,0.09,0.0,0.06,0.06,0.07,0.13,0.06,0.82,0.36,44.4,0.07,0.17,14.5,0.0,0.0,0.0,0.06,0.06,0.08,0.0,0.0,41.02,49.13,83.5,751.89,229.46,17.99,20.24,88.9,16.99,19.24,88.3,5.22,7.77,67.2,0.09,0.07,0.97,2.06,0.85,0.52,2.73,49.13,43.15,5.98,0.76,0.06,5.28,1.27,1.52,0.0,0.0,0.0,0.0,33.2,8.34,7.59,4.49,36.26,2.18,5.22,0.39,41.02,0.09,0.42,1.0,1.21,1.76,1.52,0.03,0.03,0.15,0.0,0.03,0.18,0.15,0.0,0.0,0.03,0.0,0.0,1.52,0.85,0.88,0.55,0.09,0.58,1.24,46.3,0.67,9.22,2.76,29.9,4.16,3.46,1.61,1.7,0.18,0.0,1.52,1.46,2.97,2.0,0.03,58.02,3.37,18.36,27.64,16.69,2.0,52.22,0.82,1.64,50.0,0.85,0.03,36.9,223.6,120.37,4.86,1.49,0.3,0.55,0.7,42.82,37.66,88.0,3.19,0.09,0.0,0.0,0.67,0.61,0.12,1.52,1.46,0.85,0.0,0.03,0.03,7.04,1.3,0.76,63.2
