ï»¿Player_SN,Player_LN,Player Valuation,scouting_period,Age,Height,Gen_Pos,Position,Foot,Data_League,Goals,Assists,Non.Penalty.Goals,Penalty.Kicks.Made,Penalty.Kicks.Attempted,Yellow.Cards,Red.Cards,xG,npxG,xA,npxG.xA,Goals.1,Shots.Total,Shots.on.target,Shots.on.target..,Goals.Shot,Goals.Shot.on.target,Average.Shot.Distance,Shots.from.free.kicks,Penalty.Kicks.Made.1,Penalty.Kicks.Attempted.1,xG.1,npxG.1,npxG.Sh,Goals...xG,Non.Penalty.Goals...npxG,Passes.Completed,Passes.Attempted,Pass.Completion..,Total.Passing.Distance,Progressive.Passing.Distance,Passes.Completed..Short.,Passes.Attempted..Short.,Pass.Completion....Short.,Passes.Completed..Medium.,Passes.Attempted..Medium.,Pass.Completion....Medium.,Passes.Completed..Long.,Passes.Attempted..Long.,Pass.Completion....Long.,Assists.1,xA.1,Key.Passes,Passes.into.Final.Third,Passes.into.Penalty.Area,Crosses.into.Penalty.Area,Progressive.Passes,Passes.Attempted.1,Live.ball.passes,Dead.ball.passes,Passes.from.Free.Kicks,Through.Balls,Passes.Under.Pressure,Switches,Crosses,Corner.Kicks,Inswinging.Corner.Kicks,Outswinging.Corner.Kicks,Straight.Corner.Kicks,Ground.passes,Low.Passes,High.Passes,Passes.Attempted..Left.,Passes.Attempted..Right.,Passes.Attempted..Head.,Throw.Ins.taken,Passes.Attempted..Other.,Passes.Completed.1,Passes.Offside,Passes.Out.of.Bounds,Passes.Intercepted,Passes.Blocked,Shot.Creating.Actions,SCA..PassLive.,SCA..PassDead.,SCA..Drib.,SCA..Sh.,SCA..Fld.,SCA..Def.,Goal.Creating.Actions,GCA..PassLive.,GCA..PassDead.,GCA..Drib.,GCA..Sh.,GCA..Fld.,GCA..Def.,Tackles,Tackles.Won,Tackles..Def.3rd.,Tackles..Mid.3rd.,Tackles..Att.3rd.,Dribblers.Tackled,Dribbles.Contested,X..of.dribblers.tackled,Dribbled.Past,Pressures,Successful.Pressures,Successful.Pressure..,Pressures..Def.3rd.,Pressures..Mid.3rd.,Pressures..Att.3rd.,Blocks,Shots.Blocked,Shots.Saved,Passes.Blocked.1,Interceptions,Tkl.Int,Clearances,Errors,Touches,Touches..Def.Pen.,Touches..Def.3rd.,Touches..Mid.3rd.,Touches..Att.3rd.,Touches..Att.Pen.,Touches..Live.Ball.,Dribbles.Completed,Dribbles.Attempted,Successful.Dribble..,Players.Dribbled.Past,Nutmegs,Carries,Total.Carrying.Distance,Progressive.Carrying.Distance,Progressive.Carries,Carries.into.Final.Third,Carries.into.Penalty.Area,Miscontrols,Dispossessed,Pass.Targets,Passes.Received,Passes.Received..,Progressive.Passes.Rec,Yellow.Cards.1,Red.Cards.1,Second.Yellow.Card,Fouls.Committed,Fouls.Drawn,Offsides,Crosses.1,Interceptions.1,Tackles.Won.1,Penalty.Kicks.Won,Penalty.Kicks.Conceded,Own.Goals,Ball.Recoveries,Aerials.won,Aerials.lost,X..of.Aerials.Won
Aaron Connolly,Aaron Anthony Connolly,7000000,2020-2021,22.0,1.75,Striker,Centre-Forward,right,Premier League,0.23,0.11,0.23,0.0,0.0,0.0,0.0,0.4,0.4,0.02,0.42,0.23,2.62,0.91,34.8,0.09,0.25,13.7,0.0,0.0,0.0,0.4,0.4,0.15,-0.17,-0.17,8.99,11.49,78.2,130.51,18.77,5.12,6.37,80.4,2.96,3.41,86.7,0.46,0.57,80.0,0.11,0.02,0.57,0.23,0.11,0.0,0.34,11.49,10.35,1.14,0.0,0.0,2.5,0.11,0.23,0.0,0.0,0.0,0.0,7.28,2.96,1.25,1.25,8.42,0.57,0.0,0.34,8.99,0.0,0.0,0.23,0.46,1.37,0.8,0.0,0.34,0.0,0.23,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.8,0.57,0.23,0.46,0.11,0.11,0.57,20.0,0.46,14.11,4.55,32.3,0.8,6.6,6.71,1.02,0.11,0.0,0.91,0.0,0.8,0.11,0.0,22.87,0.11,1.59,9.56,13.2,4.32,21.73,0.91,1.14,80.0,0.91,0.0,14.11,74.53,44.03,1.93,0.91,0.46,3.3,1.71,40.62,16.27,40.1,7.28,0.0,0.0,0.0,0.8,1.82,0.91,0.23,0.0,0.57,0.11,0.0,0.0,3.19,1.25,3.41,26.8
Aaron Connolly,Aaron Anthony Connolly,3666666,2019-2020,21.0,1.75,Striker,Centre-Forward,right,Premier League,0.21,0.07,0.21,0.0,0.0,0.0,0.0,0.23,0.23,0.02,0.25,0.21,2.72,0.93,34.2,0.08,0.23,15.9,0.0,0.0,0.0,0.23,0.23,0.08,-0.01,-0.01,9.01,11.66,77.3,124.41,17.31,5.44,6.58,82.6,2.22,2.79,79.5,0.5,0.79,63.6,0.07,0.02,0.43,0.43,0.14,0.0,0.72,11.66,10.59,1.07,0.0,0.07,3.58,0.0,0.5,0.0,0.0,0.0,0.0,6.44,3.72,1.5,1.93,7.66,0.93,0.07,0.43,9.01,0.0,0.07,0.29,0.72,1.79,0.5,0.0,0.21,0.21,0.64,0.21,0.36,0.07,0.0,0.07,0.07,0.14,0.0,0.86,0.57,0.07,0.36,0.43,0.21,0.86,25.0,0.64,16.74,4.94,29.5,1.0,6.73,9.01,0.57,0.07,0.0,0.5,0.36,1.22,0.07,0.0,24.97,0.14,1.5,10.66,14.24,4.36,23.9,0.43,1.14,37.5,0.43,0.07,16.31,86.07,47.0,2.79,0.64,0.86,3.0,2.43,38.28,16.81,43.9,7.08,0.0,0.0,0.0,1.07,2.65,1.0,0.5,0.36,0.57,0.14,0.0,0.0,3.86,1.0,3.43,22.6
Aaron Leya Iseka,Aaron Leya Iseka,2333333,2020-2021,24.0,1.82,Striker,Centre-Forward,right,Ligue 1,0.36,0.0,0.18,0.18,0.27,0.36,0.0,0.42,0.21,0.06,0.28,0.36,1.61,0.54,33.3,0.11,0.33,14.8,0.0,0.18,0.27,0.42,0.21,0.13,-0.06,-0.04,13.48,17.77,75.9,202.59,30.36,8.13,9.91,82.0,3.75,5.09,73.7,1.07,1.52,70.6,0.0,0.06,1.07,0.89,0.27,0.0,0.8,17.77,17.05,0.71,0.0,0.27,5.0,0.18,0.36,0.0,0.0,0.0,0.0,11.52,3.39,2.86,1.7,12.77,0.8,0.0,0.71,13.48,0.09,0.36,0.54,0.54,1.88,1.25,0.0,0.27,0.0,0.36,0.0,0.09,0.0,0.0,0.09,0.0,0.0,0.0,0.8,0.45,0.27,0.27,0.27,0.27,0.89,30.0,0.63,10.8,2.32,21.5,0.36,5.0,5.45,0.54,0.27,0.0,0.27,0.18,0.98,0.36,0.0,28.48,0.98,2.95,16.07,11.52,3.13,27.5,1.25,2.05,60.9,1.43,0.0,18.3,75.8,38.39,2.68,1.07,0.89,2.86,1.79,48.48,22.5,46.4,5.54,0.36,0.0,0.0,2.5,1.16,0.18,0.36,0.18,0.45,0.0,0.0,0.0,2.77,2.41,4.2,36.5
Aaron Leya Iseka,Aaron Leya Iseka,2250000,2019-2020,23.0,1.82,Striker,Centre-Forward,right,Ligue 1,0.23,0.0,0.12,0.12,0.23,0.23,0.0,0.57,0.39,0.02,0.41,0.23,2.9,0.93,32.0,0.04,0.13,14.1,0.0,0.12,0.23,0.57,0.39,0.13,-0.34,-0.28,16.45,21.2,77.6,217.88,29.19,10.77,12.86,83.8,4.29,5.91,72.5,0.58,1.04,55.6,0.0,0.02,0.46,1.27,0.23,0.0,1.16,21.2,18.76,2.43,0.0,0.0,7.18,0.35,0.35,0.0,0.0,0.0,0.0,14.13,4.63,2.43,2.08,15.87,1.04,0.12,0.35,16.45,0.0,0.46,0.23,0.58,2.32,1.51,0.0,0.12,0.12,0.46,0.12,0.12,0.0,0.0,0.0,0.0,0.12,0.0,0.58,0.58,0.0,0.35,0.23,0.23,0.35,66.7,0.12,15.87,3.24,20.4,1.16,8.46,6.25,0.7,0.12,0.0,0.58,0.23,0.81,0.81,0.0,34.75,0.58,1.97,19.34,15.98,4.52,32.08,0.81,1.51,53.8,1.04,0.0,20.73,81.08,42.05,2.08,0.81,0.7,2.66,3.36,46.22,25.37,54.9,9.5,0.23,0.0,0.0,2.43,1.16,0.7,0.35,0.23,0.58,0.12,0.0,0.0,3.59,2.32,4.4,34.5
Aaron Leya Iseka,Aaron Leya Iseka,2875000,2018-2019,22.0,1.82,Striker,Centre-Forward,right,Ligue 1,0.25,0.0,0.25,0.0,0.0,0.12,0.06,0.26,0.26,0.04,0.31,0.25,1.87,0.75,40.0,0.13,0.33,12.5,0.0,0.0,0.0,0.26,0.26,0.14,-0.01,-0.01,13.28,16.64,79.8,184.18,30.35,7.79,9.29,83.9,4.11,5.05,81.5,0.56,0.75,75.0,0.0,0.04,0.69,0.69,0.31,0.0,0.93,16.64,15.64,1.0,0.0,0.12,4.18,0.12,0.12,0.0,0.0,0.0,0.0,11.66,3.3,1.68,2.56,11.47,1.37,0.06,0.25,13.28,0.06,0.19,0.44,0.69,1.5,1.31,0.0,0.12,0.0,0.06,0.0,0.12,0.06,0.0,0.06,0.0,0.0,0.0,0.19,0.12,0.06,0.06,0.06,0.0,0.19,0.0,0.19,16.02,3.49,21.8,1.25,8.16,6.61,0.44,0.12,0.0,0.31,0.06,0.25,0.62,0.0,26.36,0.87,1.87,12.78,12.78,3.3,25.37,1.0,1.5,66.7,1.06,0.0,19.63,52.98,23.25,1.37,0.37,0.44,2.87,2.06,41.57,20.07,48.3,8.1,0.12,0.06,0.0,1.56,1.06,0.44,0.12,0.06,0.12,0.0,0.0,0.0,3.12,1.31,2.43,35.0
AbdÃ³n Prats,AbdÃ³n Prats Bastidas,1500000,2021-2022,30.0,1.81,Striker,Centre-Forward,left,La Liga,0.19,0.0,0.19,0.0,0.0,0.38,0.0,0.3,0.3,0.06,0.36,0.19,3.01,0.75,25.0,0.06,0.25,15.9,0.38,0.0,0.0,0.3,0.3,0.1,-0.11,-0.11,15.97,22.55,70.8,232.05,46.03,9.77,12.03,81.3,3.95,5.26,75.0,1.13,1.88,60.0,0.0,0.06,0.94,1.69,0.38,0.0,1.5,22.55,19.92,2.63,0.0,0.0,6.95,0.56,0.56,0.0,0.0,0.0,0.0,12.03,6.2,4.32,12.03,4.51,2.07,0.0,1.13,15.97,0.0,0.38,1.69,1.5,2.82,1.88,0.0,0.0,0.0,0.56,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.38,0.0,0.0,0.38,0.19,0.56,33.3,0.38,11.46,3.95,34.4,0.0,3.19,8.27,0.56,0.0,0.0,0.56,0.38,0.75,0.75,0.0,35.32,0.75,3.01,17.1,16.53,5.45,32.32,1.5,2.25,66.7,1.5,0.0,19.35,55.05,20.1,1.5,0.56,0.38,1.88,3.19,48.1,24.99,52.0,7.14,0.38,0.0,0.0,1.5,2.25,0.38,0.56,0.38,0.38,0.0,0.0,0.0,4.32,3.95,4.89,44.7
Abdul Majeed Waris,Abdul Majeed Waris,2250000,2020-2021,30.0,1.72,Striker,Centre-Forward,right,Ligue 1,0.16,0.0,0.0,0.16,0.16,0.0,0.0,0.26,0.15,0.0,0.15,0.16,1.47,0.33,22.2,0.0,0.0,19.0,0.0,0.16,0.16,0.26,0.15,0.1,-0.1,-0.15,17.28,22.83,75.7,260.05,35.87,10.27,12.39,82.9,5.38,6.36,84.6,1.14,2.12,53.8,0.0,0.0,0.0,0.65,0.16,0.16,0.82,22.83,22.66,0.16,0.0,0.0,2.77,0.65,1.47,0.0,0.0,0.0,0.0,16.3,4.4,2.12,2.45,18.59,0.98,0.0,0.65,17.28,0.16,0.49,0.49,1.47,0.98,0.16,0.0,0.0,0.33,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.0,0.0,0.16,0.0,0.65,0.0,0.65,8.97,2.45,27.3,2.61,4.08,2.28,0.82,0.16,0.0,0.65,0.49,0.65,0.49,0.0,35.71,0.65,4.4,17.12,17.61,3.75,35.38,1.3,2.45,53.3,1.3,0.16,27.72,151.79,101.25,5.54,2.45,0.98,1.79,2.93,42.72,27.88,65.3,7.66,0.0,0.0,0.0,1.3,3.1,0.33,1.47,0.49,0.16,0.0,0.0,0.0,4.89,0.33,1.47,18.2
Abdul Majeed Waris,Abdul Majeed Waris,3000000,2018-2019,28.0,1.72,Striker,Centre-Forward,right,Ligue 1,0.2,0.12,0.16,0.04,0.04,0.12,0.0,0.22,0.19,0.1,0.29,0.2,1.48,0.56,37.8,0.11,0.29,17.9,0.0,0.04,0.04,0.22,0.19,0.13,-0.02,-0.03,17.67,24.88,71.0,271.64,70.16,10.34,13.1,78.9,5.69,7.73,73.6,1.2,2.64,45.5,0.12,0.1,0.88,1.0,0.64,0.12,1.6,24.88,23.64,1.24,0.04,0.24,7.21,0.52,1.12,0.6,0.12,0.04,0.04,18.75,3.37,2.76,2.2,21.36,0.56,0.2,0.36,17.67,0.08,0.6,0.8,1.48,2.72,1.64,0.16,0.28,0.12,0.52,0.0,0.28,0.12,0.0,0.0,0.0,0.16,0.0,0.96,0.68,0.32,0.36,0.28,0.32,1.12,28.6,0.8,14.11,4.05,28.7,3.01,6.93,4.17,0.72,0.08,0.0,0.64,0.36,1.32,0.24,0.0,38.03,0.16,4.25,15.75,22.08,4.41,36.79,1.6,3.17,50.6,1.8,0.2,30.69,165.17,96.45,4.69,1.68,0.96,2.72,2.64,46.12,29.17,63.2,10.02,0.12,0.0,0.0,0.6,3.01,0.44,1.12,0.36,0.68,0.12,0.0,0.0,4.37,0.28,1.04,21.2
Aboubakar Kamara,Aboubakar Kamara,2000000,2020-2021,26.0,1.77,Striker,Centre-Forward,right,Ligue 1,0.16,0.0,0.16,0.0,0.0,0.16,0.16,0.13,0.13,0.11,0.24,0.16,1.78,0.48,27.3,0.09,0.33,18.2,0.0,0.0,0.0,0.13,0.13,0.07,0.03,0.03,18.26,24.4,74.8,275.82,52.19,9.69,11.63,83.3,5.49,7.59,72.3,1.29,2.75,47.1,0.0,0.11,1.29,0.65,0.81,0.48,1.45,24.4,23.27,1.13,0.0,0.0,8.56,0.65,1.62,0.0,0.0,0.0,0.0,15.51,5.66,3.23,4.2,17.61,0.81,0.32,0.0,18.26,0.0,0.48,0.48,0.81,2.91,1.62,0.0,0.48,0.32,0.48,0.0,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.48,0.48,0.16,0.16,0.16,0.0,0.97,0.0,0.97,18.26,3.39,18.6,1.62,9.37,7.27,0.16,0.0,0.0,0.16,0.16,0.65,0.48,0.0,37.81,0.32,2.75,19.23,18.9,2.91,36.68,2.26,3.88,58.3,2.26,0.0,28.92,138.8,69.8,3.39,1.13,0.32,2.42,3.07,49.12,29.08,59.2,6.14,0.16,0.16,0.0,2.42,3.07,0.16,1.62,0.16,0.48,0.0,0.0,0.0,5.33,1.94,3.55,35.3
Aboubakar Kamara,Aboubakar Kamara,3583333,2018-2019,24.0,1.77,Striker,Centre-Forward,right,Premier League,0.39,0.0,0.26,0.13,0.26,0.26,0.0,0.48,0.29,0.09,0.36,0.39,2.47,1.04,42.1,0.11,0.25,19.0,0.0,0.13,0.26,0.48,0.29,0.11,-0.09,-0.03,22.86,32.47,70.4,347.92,70.26,13.12,16.49,79.5,7.66,9.74,78.7,1.69,4.29,39.4,0.0,0.09,1.3,1.17,0.26,0.13,1.82,32.47,31.43,1.04,0.13,0.0,5.19,0.78,1.82,0.0,0.0,0.0,0.0,23.51,4.81,4.16,5.06,24.03,1.17,0.65,0.39,22.86,0.13,0.65,2.6,2.34,2.86,2.47,0.0,0.13,0.13,0.13,0.0,0.13,0.0,0.0,0.0,0.0,0.13,0.0,1.3,0.78,0.13,1.17,0.0,0.39,1.17,33.3,0.78,19.61,4.94,25.2,4.55,9.74,5.32,1.56,0.0,0.0,1.56,0.78,2.08,0.78,0.0,47.4,1.04,5.32,17.14,28.83,4.68,46.36,2.08,4.16,50.0,2.6,0.0,35.45,173.64,95.84,5.58,1.69,1.17,3.38,1.69,50.65,33.9,66.9,9.74,0.26,0.0,0.0,2.99,0.65,0.91,1.82,0.78,0.78,0.13,0.0,0.0,7.01,1.69,2.6,39.4
