ï»¿Player_SN,Player_LN,avg_playerankIndex,Player Valuation,scouting_period,Age,Gen_Pos,Height,Position,Foot,Data_League,Goals,Assists,Non.Penalty.Goals,Penalty.Kicks.Made,Penalty.Kicks.Attempted,Yellow.Cards,Red.Cards,xG,npxG,xA,npxG.xA,Shots.Total,Shots.on.target,Shots.on.target..,Goals.Shot,Goals.Shot.on.target,Average.Shot.Distance,Shots.from.free.kicks,npxG.Sh,Goals...xG,Non.Penalty.Goals...npxG,Passes.Completed,Passes.Attempted,Pass.Completion..,Total.Passing.Distance,Progressive.Passing.Distance,Passes.Completed..Short.,Passes.Attempted..Short.,Pass.Completion....Short.,Passes.Completed..Medium.,Passes.Attempted..Medium.,Pass.Completion....Medium.,Passes.Completed..Long.,Passes.Attempted..Long.,Pass.Completion....Long.,Key.Passes,Passes.into.Final.Third,Passes.into.Penalty.Area,Crosses.into.Penalty.Area,Progressive.Passes,Live.ball.passes,Dead.ball.passes,Passes.from.Free.Kicks,Through.Balls,Passes.Under.Pressure,Switches,Crosses,Corner.Kicks,Inswinging.Corner.Kicks,Outswinging.Corner.Kicks,Straight.Corner.Kicks,Ground.passes,Low.Passes,High.Passes,Passes.Attempted..Left.,Passes.Attempted..Right.,Passes.Attempted..Head.,Throw.Ins.taken,Passes.Attempted..Other.,Passes.Offside,Passes.Out.of.Bounds,Passes.Intercepted,Passes.Blocked,Shot.Creating.Actions,SCA..PassLive.,SCA..PassDead.,SCA..Drib.,SCA..Sh.,SCA..Fld.,SCA..Def.,Goal.Creating.Actions,GCA..PassLive.,GCA..PassDead.,GCA..Drib.,GCA..Sh.,GCA..Fld.,GCA..Def.,Tackles,Tackles.Won,Tackles..Def.3rd.,Tackles..Mid.3rd.,Tackles..Att.3rd.,Dribblers.Tackled,Dribbles.Contested,X..of.dribblers.tackled,Dribbled.Past,Pressures,Successful.Pressures,Successful.Pressure..,Pressures..Def.3rd.,Pressures..Mid.3rd.,Pressures..Att.3rd.,Blocks,Shots.Blocked,Shots.Saved,Passes.Blocked.1,Interceptions,Tkl.Int,Clearances,Errors,Touches,Touches..Def.Pen.,Touches..Def.3rd.,Touches..Mid.3rd.,Touches..Att.3rd.,Touches..Att.Pen.,Touches..Live.Ball.,Dribbles.Completed,Dribbles.Attempted,Successful.Dribble..,Players.Dribbled.Past,Nutmegs,Carries,Total.Carrying.Distance,Progressive.Carrying.Distance,Progressive.Carries,Carries.into.Final.Third,Carries.into.Penalty.Area,Miscontrols,Dispossessed,Pass.Targets,Passes.Received,Passes.Received..,Progressive.Passes.Rec,Second.Yellow.Card,Fouls.Committed,Fouls.Drawn,Offsides,Penalty.Kicks.Won,Penalty.Kicks.Conceded,Own.Goals,Ball.Recoveries,Aerials.won,Aerials.lost,X..of.Aerials.Won,longName
Aaron Hunt,Aaron Hunt,0.1584219444491401,1500000,2017-2018,32.0,Midfielder,1.83,Attacking Midfield,left,Bundesliga,0.13,0.08,0.08,0.04,0.04,0.04,0.0,0.12,0.09,0.23,0.32,1.13,0.25,22.2,0.07,0.33,23.4,0.42,0.08,0.01,0.0,36.83,51.26,71.8,704.36,221.66,16.93,20.02,84.6,12.18,15.68,77.7,6.88,12.64,54.5,2.71,3.46,1.29,0.21,4.05,40.75,10.51,4.0,0.46,10.22,2.79,2.75,5.13,1.46,1.71,0.58,28.03,9.84,13.39,41.66,5.71,1.75,0.96,0.38,0.21,1.21,1.21,2.04,4.25,2.25,1.79,0.04,0.04,0.08,0.04,0.25,0.21,0.04,0.0,0.0,0.0,0.0,1.25,0.92,0.5,0.67,0.08,0.21,1.54,13.5,1.33,20.19,5.63,27.9,4.25,10.89,5.05,1.25,0.08,0.0,1.17,0.58,1.84,0.88,0.0,61.52,1.17,6.26,30.32,28.53,2.84,51.09,0.88,1.5,58.3,0.96,0.17,37.2,188.17,85.04,4.55,1.92,0.29,1.88,1.75,49.05,37.24,75.9,7.26,0.0,1.25,2.0,0.21,0.0,0.0,0.0,8.88,0.92,1.54,37.3,Aaron Hunt
Aaron Mooy,Aaron Frank Mooy,0.1738382429518952,10750000,2019-2020,30.0,Midfielder,1.74,Central Midfield,right,Premier League,0.09,0.09,0.09,0.0,0.0,0.13,0.04,0.09,0.09,0.15,0.23,1.42,0.35,24.2,0.06,0.25,19.8,0.0,0.06,0.0,0.0,35.61,46.4,76.7,617.74,178.79,18.91,21.15,89.4,11.74,14.03,83.7,4.19,8.63,48.5,1.68,3.45,1.34,0.3,4.14,42.82,3.58,0.99,0.17,9.88,2.03,2.29,2.29,0.99,0.91,0.3,29.09,7.77,9.54,7.94,36.69,1.04,0.26,0.13,0.3,0.6,0.82,1.86,3.02,2.2,0.52,0.13,0.09,0.09,0.0,0.3,0.17,0.04,0.09,0.0,0.0,0.0,1.86,1.34,0.56,0.82,0.47,0.35,1.94,17.8,1.6,18.17,5.4,29.7,4.79,8.55,4.83,2.07,0.3,0.04,1.77,0.78,2.63,1.25,0.0,58.66,1.73,8.76,26.89,27.63,1.81,55.21,1.6,2.2,72.5,1.68,0.0,41.78,244.06,120.22,6.13,2.33,0.39,1.3,2.33,47.65,40.01,84.0,6.0,0.04,0.69,0.82,0.0,0.0,0.0,0.0,8.16,0.6,1.21,33.3,Aaron Mooy
Aaron Mooy,Aaron Frank Mooy,0.1625688646447461,14000000,2018-2019,29.0,Midfielder,1.74,Central Midfield,right,Premier League,0.12,0.04,0.08,0.04,0.04,0.15,0.0,0.1,0.07,0.1,0.17,1.51,0.5,33.3,0.05,0.15,23.0,0.31,0.05,0.02,0.01,41.33,54.85,75.4,740.09,238.21,20.32,23.68,85.8,14.56,17.58,82.9,5.45,10.89,50.0,1.58,5.14,1.0,0.31,4.52,49.83,5.02,1.74,0.08,10.74,2.86,2.05,2.9,0.73,1.27,0.31,36.08,5.91,12.86,13.83,38.82,1.39,0.27,0.08,0.46,0.97,1.89,1.82,2.86,1.58,0.97,0.08,0.15,0.0,0.08,0.08,0.04,0.04,0.0,0.0,0.0,0.0,2.7,1.82,0.85,1.43,0.42,0.81,2.43,33.3,1.62,22.44,6.37,28.4,5.83,12.21,4.4,1.89,0.31,0.04,1.58,1.16,3.86,1.04,0.0,66.9,1.04,8.85,35.77,26.3,1.58,61.61,1.12,1.82,61.7,1.27,0.0,45.46,222.45,96.41,5.02,2.05,0.27,1.35,1.58,49.56,42.33,85.4,3.82,0.0,1.31,0.58,0.04,0.0,0.0,0.0,11.05,0.58,1.08,34.9,Aaron Mooy
Aaron Mooy,Aaron Frank Mooy,0.1632526886843207,8666666,2017-2018,28.0,Midfielder,1.74,Central Midfield,right,Premier League,0.12,0.09,0.09,0.03,0.03,0.12,0.0,0.08,0.05,0.09,0.14,0.82,0.18,21.4,0.11,0.5,22.0,0.09,0.06,0.04,0.04,45.81,60.66,75.5,819.04,232.44,22.98,25.71,89.4,15.85,19.9,79.6,5.75,11.65,49.4,1.41,4.9,0.79,0.26,4.78,55.67,4.99,2.55,0.03,12.3,2.93,2.49,2.26,1.03,0.62,0.15,37.94,8.3,14.41,14.88,42.37,2.26,0.15,0.12,0.18,1.12,1.76,1.76,2.14,1.58,0.47,0.0,0.0,0.03,0.06,0.15,0.12,0.03,0.0,0.0,0.0,0.0,3.11,1.64,1.12,1.61,0.38,0.97,2.14,45.2,1.17,19.22,5.66,29.5,5.63,10.45,3.14,1.73,0.23,0.06,1.5,1.35,4.46,2.05,0.0,73.24,1.91,12.94,41.29,23.33,0.94,68.31,0.73,1.38,53.2,0.76,0.0,45.25,220.82,93.61,4.2,1.35,0.18,0.94,1.76,50.12,45.13,90.0,2.49,0.0,1.0,0.62,0.06,0.0,0.0,0.0,13.38,1.03,1.23,45.5,Aaron Mooy
Aaron Ramsey,Aaron James Ramsey,0.1877883730448933,18666666,2020-2021,31.0,Midfielder,1.82,Central Midfield,both,Serie A,0.17,0.33,0.17,0.0,0.0,0.17,0.0,0.41,0.41,0.3,0.71,1.9,0.83,43.5,0.09,0.2,13.8,0.0,0.22,-0.25,-0.25,51.74,60.5,85.5,883.14,211.9,25.21,28.1,89.7,20.25,23.31,86.9,5.21,7.02,74.1,2.48,4.88,1.82,0.33,4.88,58.51,1.98,0.83,0.33,8.93,1.24,1.57,0.58,0.17,0.25,0.0,46.45,7.77,6.28,11.74,46.12,1.57,0.33,0.33,0.41,0.33,1.65,1.16,4.79,3.8,0.41,0.17,0.08,0.25,0.08,0.58,0.41,0.0,0.0,0.0,0.08,0.08,1.98,1.32,0.66,1.16,0.17,0.41,1.98,20.8,1.57,18.6,6.03,32.4,4.46,8.93,5.21,1.16,0.17,0.0,0.99,0.5,2.48,0.74,0.08,71.24,1.41,10.08,36.86,29.09,5.87,69.42,0.99,1.57,63.2,0.99,0.08,51.16,269.5,121.57,6.53,1.82,0.74,1.98,0.83,67.85,58.02,85.5,9.34,0.0,2.31,1.74,0.25,0.08,0.0,0.0,6.03,0.58,1.32,30.4,Aaron Ramsey
Aaron Ramsey,Aaron James Ramsey,0.1801393753826173,34333333,2019-2020,30.0,Midfielder,1.82,Central Midfield,both,Serie A,0.26,0.09,0.26,0.0,0.0,0.17,0.0,0.23,0.23,0.14,0.37,2.31,0.77,33.3,0.11,0.33,17.3,0.0,0.1,0.03,0.03,55.58,63.88,87.0,821.73,149.34,32.28,35.88,90.0,17.9,19.7,90.9,3.51,5.31,66.1,1.54,4.88,0.43,0.09,3.0,62.08,1.8,0.86,0.09,11.13,1.03,1.11,0.26,0.09,0.09,0.09,49.07,9.33,5.48,10.1,49.92,1.8,0.6,0.6,0.17,1.11,1.03,0.86,3.77,3.43,0.0,0.17,0.0,0.17,0.0,0.34,0.26,0.0,0.0,0.0,0.09,0.0,2.4,1.63,0.69,1.11,0.6,0.6,2.14,28.0,1.54,19.61,5.57,28.4,3.43,8.65,7.54,1.8,0.26,0.0,1.54,0.77,3.17,0.6,0.0,77.41,1.28,8.99,37.85,34.34,5.22,75.96,1.37,1.97,69.6,1.37,0.0,54.12,218.53,102.16,4.97,1.71,0.51,2.31,1.46,72.79,61.57,84.6,9.08,0.0,1.8,1.71,0.17,0.0,0.0,0.0,7.71,1.2,0.69,63.6,Aaron Ramsey
Aaron Ramsey,Aaron James Ramsey,0.1897596031127612,40000000,2018-2019,29.0,Midfielder,1.82,Central Midfield,both,Premier League,0.27,0.41,0.27,0.0,0.0,0.0,0.0,0.22,0.22,0.16,0.39,2.3,0.88,38.2,0.12,0.31,16.2,0.0,0.1,0.05,0.05,44.29,53.55,82.7,758.95,177.84,21.44,24.61,87.1,17.11,19.81,86.3,4.46,5.82,76.7,1.69,3.85,1.22,0.27,4.46,51.8,1.76,0.61,0.27,10.41,1.56,1.35,0.07,0.0,0.0,0.0,40.77,6.36,6.42,8.25,42.19,1.35,1.01,0.07,0.34,0.68,2.03,2.1,3.04,2.57,0.0,0.14,0.2,0.07,0.07,0.68,0.61,0.0,0.07,0.0,0.0,0.0,2.43,1.35,0.61,1.01,0.81,0.74,2.16,34.4,1.42,23.53,5.88,25.0,4.33,11.83,7.37,0.88,0.07,0.0,0.81,0.68,3.11,0.2,0.0,66.06,0.61,8.11,35.63,26.91,5.34,64.51,0.68,1.22,55.6,0.81,0.07,52.27,269.19,140.78,6.83,2.5,0.47,2.03,2.98,63.97,51.73,80.9,9.53,0.0,1.62,1.42,0.34,0.0,0.0,0.0,7.71,0.74,1.76,29.7,Aaron Ramsey
Aaron Ramsey,Aaron James Ramsey,0.2037943796554475,42500000,2017-2018,28.0,Midfielder,1.82,Central Midfield,both,Premier League,0.34,0.39,0.34,0.0,0.0,0.0,0.0,0.3,0.3,0.23,0.54,2.68,1.22,45.5,0.13,0.28,16.4,0.0,0.11,0.04,0.04,51.24,61.04,83.9,900.24,222.22,23.5,26.52,88.6,20.87,23.89,87.3,5.46,7.7,70.9,1.37,4.44,1.8,0.15,5.85,59.68,1.37,0.83,0.24,9.9,1.12,0.63,0.0,0.0,0.0,0.0,46.56,7.56,6.92,9.99,48.17,1.51,0.54,0.39,0.34,0.68,2.39,1.17,2.78,2.34,0.0,0.1,0.05,0.24,0.05,0.63,0.54,0.0,0.0,0.0,0.1,0.0,1.66,1.22,0.73,0.78,0.15,0.54,2.1,25.6,1.56,19.7,5.66,28.7,4.24,10.34,5.12,0.93,0.2,0.0,0.73,1.22,2.88,0.54,0.0,73.76,1.17,10.04,41.83,27.55,5.31,72.74,1.37,2.15,63.6,1.56,0.05,53.87,286.04,142.12,7.9,2.54,0.63,2.49,1.76,69.23,58.75,84.9,9.8,0.0,1.85,1.8,0.0,0.1,0.0,0.0,8.73,0.68,1.37,33.3,Aaron Ramsey
Abdelhamid Sabiri,Abdelhamid Sabiri,0.1857601587681051,1550000,2019-2020,24.0,Midfielder,1.86,Attacking Midfield,right,Bundesliga,0.34,0.09,0.26,0.09,0.09,0.52,0.0,0.23,0.16,0.03,0.2,3.26,1.2,36.8,0.08,0.21,24.4,0.86,0.05,0.11,0.09,30.14,37.87,79.6,620.3,166.0,13.14,15.11,86.9,10.22,11.94,85.6,5.75,8.67,66.3,0.6,3.44,0.26,0.0,3.09,36.24,1.63,1.46,0.0,9.19,1.98,0.09,0.0,0.0,0.0,0.0,24.22,6.01,7.64,4.81,29.28,1.8,0.17,0.09,0.0,0.69,0.52,1.12,2.23,1.37,0.09,0.26,0.09,0.34,0.09,0.26,0.17,0.0,0.09,0.0,0.0,0.0,1.89,1.46,0.69,1.12,0.09,0.6,1.98,30.4,1.37,17.35,4.98,28.7,4.98,9.1,3.26,1.37,0.34,0.0,1.03,0.69,2.58,1.63,0.0,53.33,3.09,12.88,31.69,11.85,1.46,51.36,2.83,4.64,61.1,3.01,0.17,37.87,150.72,65.52,2.32,0.34,0.09,1.72,2.06,42.25,36.33,86.0,3.61,0.0,2.75,2.49,0.0,0.0,0.0,0.0,8.5,2.06,2.23,48.0,Abdelhamid Sabiri
Abdoulaye DoucourÃ©,Abdoulaye DoucourÃ©,0.1840886519423958,25000000,2020-2021,29.0,Midfielder,1.83,Central Midfield,right,Premier League,0.07,0.11,0.07,0.0,0.0,0.22,0.0,0.08,0.08,0.08,0.16,0.66,0.18,27.8,0.11,0.4,16.8,0.0,0.12,0.0,0.0,42.22,49.11,86.0,737.76,150.79,19.05,21.66,87.9,17.76,19.67,90.3,4.31,5.42,79.6,0.66,2.54,0.77,0.04,2.39,48.56,0.55,0.44,0.11,7.55,0.63,0.37,0.04,0.0,0.0,0.0,38.57,6.59,3.94,5.97,39.57,2.21,0.07,0.18,0.07,0.22,1.11,1.22,1.51,1.33,0.04,0.04,0.04,0.0,0.07,0.18,0.18,0.0,0.0,0.0,0.0,0.0,2.06,1.55,1.11,0.7,0.26,0.63,1.66,37.8,1.03,20.04,5.82,29.0,8.4,8.07,3.57,1.58,0.33,0.0,1.25,1.29,3.35,1.07,0.04,58.17,2.28,17.06,32.42,12.82,1.44,57.69,0.63,1.03,60.7,0.66,0.07,35.66,179.78,89.89,2.98,1.22,0.04,1.11,1.11,44.32,39.2,88.4,2.91,0.0,1.25,0.59,0.0,0.0,0.0,0.0,11.2,1.36,0.96,58.7,Abdoulaye DoucourÃ©
