ï»¿Player_SN,Player_LN,avg_playerankIndex,Player Valuation,scouting_period,Age,Gen_Pos,Height,Position,Foot,Data_League,Goals,Assists,Non.Penalty.Goals,Penalty.Kicks.Made,Penalty.Kicks.Attempted,Yellow.Cards,Red.Cards,xG,npxG,xA,npxG.xA,Shots.Total,Shots.on.target,Shots.on.target..,Goals.Shot,Goals.Shot.on.target,Average.Shot.Distance,Shots.from.free.kicks,npxG.Sh,Goals...xG,Non.Penalty.Goals...npxG,Passes.Completed,Passes.Attempted,Pass.Completion..,Total.Passing.Distance,Progressive.Passing.Distance,Passes.Completed..Short.,Passes.Attempted..Short.,Pass.Completion....Short.,Passes.Completed..Medium.,Passes.Attempted..Medium.,Pass.Completion....Medium.,Passes.Completed..Long.,Passes.Attempted..Long.,Pass.Completion....Long.,Key.Passes,Passes.into.Final.Third,Passes.into.Penalty.Area,Crosses.into.Penalty.Area,Progressive.Passes,Live.ball.passes,Dead.ball.passes,Passes.from.Free.Kicks,Through.Balls,Passes.Under.Pressure,Switches,Crosses,Corner.Kicks,Inswinging.Corner.Kicks,Outswinging.Corner.Kicks,Straight.Corner.Kicks,Ground.passes,Low.Passes,High.Passes,Passes.Attempted..Left.,Passes.Attempted..Right.,Passes.Attempted..Head.,Throw.Ins.taken,Passes.Attempted..Other.,Passes.Offside,Passes.Out.of.Bounds,Passes.Intercepted,Passes.Blocked,Shot.Creating.Actions,SCA..PassLive.,SCA..PassDead.,SCA..Drib.,SCA..Sh.,SCA..Fld.,SCA..Def.,Goal.Creating.Actions,GCA..PassLive.,GCA..PassDead.,GCA..Drib.,GCA..Sh.,GCA..Fld.,GCA..Def.,Tackles,Tackles.Won,Tackles..Def.3rd.,Tackles..Mid.3rd.,Tackles..Att.3rd.,Dribblers.Tackled,Dribbles.Contested,X..of.dribblers.tackled,Dribbled.Past,Pressures,Successful.Pressures,Successful.Pressure..,Pressures..Def.3rd.,Pressures..Mid.3rd.,Pressures..Att.3rd.,Blocks,Shots.Blocked,Shots.Saved,Passes.Blocked.1,Interceptions,Tkl.Int,Clearances,Errors,Touches,Touches..Def.Pen.,Touches..Def.3rd.,Touches..Mid.3rd.,Touches..Att.3rd.,Touches..Att.Pen.,Touches..Live.Ball.,Dribbles.Completed,Dribbles.Attempted,Successful.Dribble..,Players.Dribbled.Past,Nutmegs,Carries,Total.Carrying.Distance,Progressive.Carrying.Distance,Progressive.Carries,Carries.into.Final.Third,Carries.into.Penalty.Area,Miscontrols,Dispossessed,Pass.Targets,Passes.Received,Passes.Received..,Progressive.Passes.Rec,Second.Yellow.Card,Fouls.Committed,Fouls.Drawn,Offsides,Penalty.Kicks.Won,Penalty.Kicks.Conceded,Own.Goals,Ball.Recoveries,Aerials.won,Aerials.lost,X..of.Aerials.Won,longName
Aaron Lennon,Aaron Justin Lennon,0.1656930331769194,2700000,2019-2020,34.0,Winger,1.65,Right Winger,right,Premier League,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.02,0.02,0.18,0.0,0.0,0.0,,17.7,0.0,0.02,0.0,0.0,16.69,23.77,70.2,260.2,62.96,9.8,11.79,83.1,5.26,6.35,82.9,1.09,3.08,35.3,0.36,1.09,0.36,0.18,1.45,23.41,0.36,0.0,0.0,5.81,0.91,1.63,0.18,0.18,0.0,0.0,16.51,3.81,3.45,2.0,20.32,0.73,0.18,0.0,0.0,0.54,0.36,1.81,1.27,1.09,0.0,0.0,0.0,0.18,0.0,0.18,0.18,0.0,0.0,0.0,0.0,0.0,2.72,1.63,1.27,0.73,0.73,1.63,2.54,64.3,0.91,25.95,4.9,18.9,6.71,12.16,7.08,1.45,0.36,0.0,1.09,1.45,4.17,1.09,0.0,34.29,2.18,7.08,14.33,14.88,1.09,33.93,1.09,1.45,75.0,1.09,0.0,22.68,118.13,67.14,3.45,0.36,0.54,1.27,0.91,28.31,20.87,73.7,2.54,0.0,2.0,1.27,0.0,0.0,0.0,0.0,5.44,0.54,1.45,27.3,Aaron Lennon
Aaron Lennon,Aaron Justin Lennon,0.1762553017324887,5000000,2018-2019,33.0,Winger,1.65,Right Winger,right,Premier League,0.07,0.07,0.07,0.0,0.0,0.07,0.0,0.06,0.06,0.05,0.1,0.3,0.15,50.0,0.25,0.5,14.3,0.0,0.19,0.01,0.01,17.11,22.89,74.8,263.11,53.78,9.56,11.63,82.2,5.7,6.89,82.8,1.26,2.44,51.5,0.52,0.59,0.37,0.15,1.41,22.44,0.44,0.07,0.0,3.41,0.22,1.26,0.0,0.0,0.0,0.0,15.78,3.85,3.26,2.15,18.89,1.41,0.37,0.07,0.07,0.37,0.81,1.41,1.33,0.74,0.0,0.15,0.0,0.44,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,2.22,1.11,0.74,1.26,0.22,0.59,1.85,32.0,1.26,20.15,5.41,26.8,6.0,9.48,4.67,2.37,0.07,0.0,2.3,0.89,3.11,0.52,0.0,32.15,1.33,5.7,15.56,12.67,1.63,31.85,0.59,1.41,42.1,0.59,0.07,20.89,114.67,56.52,3.41,0.81,0.52,0.81,0.81,26.81,18.89,70.4,2.96,0.0,1.04,1.26,0.0,0.0,0.07,0.0,6.3,0.07,0.96,7.1,Aaron Lennon
Aaron Lennon,Aaron Justin Lennon,0.173325304335796,5000000,2017-2018,32.0,Winger,1.65,Right Winger,right,Premier League,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.04,0.04,0.09,0.13,0.66,0.24,35.7,0.0,0.0,16.1,0.0,0.07,-0.04,-0.04,16.77,23.88,70.2,259.45,73.42,9.8,12.1,80.9,5.7,7.58,75.2,1.04,2.17,47.8,0.61,0.94,0.75,0.33,1.84,22.94,0.94,0.05,0.0,5.27,0.33,1.27,0.0,0.0,0.0,0.0,15.16,4.62,4.1,2.64,19.22,0.8,0.85,0.14,0.05,0.52,0.71,2.12,1.6,1.08,0.0,0.09,0.28,0.14,0.0,0.33,0.19,0.0,0.0,0.09,0.05,0.0,1.74,0.94,0.75,0.85,0.14,0.47,1.98,23.8,1.51,20.2,4.66,23.1,5.79,9.61,4.8,2.26,0.28,0.0,1.98,0.94,2.68,0.89,0.0,35.18,1.22,6.26,15.07,15.82,2.73,34.29,0.89,2.12,42.2,0.94,0.14,22.42,105.68,64.9,3.86,0.71,0.94,0.85,1.98,30.19,21.38,70.8,3.49,0.0,1.13,1.08,0.05,0.09,0.0,0.0,6.12,0.61,1.27,32.5,Aaron Lennon
Abdoul Kader Bamba,Abdoul Kader Bamba,0.1727227916267854,2000000,2020-2021,28.0,Winger,1.77,Right Winger,right,Ligue 1,0.29,0.1,0.29,0.0,0.1,0.2,0.0,0.27,0.2,0.18,0.37,1.37,0.59,42.9,0.21,0.5,18.7,0.1,0.14,0.02,0.1,36.41,48.48,75.1,605.56,171.76,19.83,22.48,88.2,12.46,16.19,77.0,3.24,6.48,50.0,2.26,2.45,0.98,0.2,3.34,43.68,4.81,2.26,0.1,7.85,1.08,1.96,1.67,0.29,0.88,0.49,35.33,6.28,6.87,4.42,41.61,0.98,0.69,0.2,0.2,0.88,1.28,2.55,4.12,2.65,0.69,0.39,0.0,0.29,0.1,0.29,0.2,0.0,0.1,0.0,0.0,0.0,1.86,1.28,0.69,0.79,0.39,0.59,1.47,40.0,0.88,15.11,4.91,32.5,4.02,7.75,3.34,1.28,0.0,0.0,1.28,0.69,2.55,0.29,0.0,61.73,0.49,7.66,29.74,28.56,3.73,57.51,3.53,5.59,63.2,3.83,0.2,47.21,225.05,132.2,6.97,1.28,1.57,2.06,1.86,56.14,43.87,78.1,7.16,0.0,1.08,4.22,0.0,0.0,0.0,0.0,8.74,0.79,1.08,42.1,Abdoul Kader Bamba
Abdoul Kader Bamba,Abdoul Kader Bamba,0.1783865663838142,1475000,2019-2020,27.0,Winger,1.77,Right Winger,right,Ligue 1,0.06,0.18,0.06,0.0,0.0,0.31,0.0,0.12,0.12,0.29,0.4,1.16,0.55,47.4,0.05,0.11,20.2,0.0,0.1,-0.06,-0.06,35.01,44.2,79.2,537.0,167.92,19.74,22.32,88.5,12.02,14.53,82.7,2.33,4.9,47.5,2.33,2.02,1.35,0.31,4.05,41.14,3.07,1.04,0.12,10.48,1.23,1.9,1.41,0.74,0.49,0.06,33.05,4.78,6.38,3.99,37.64,1.35,0.55,0.37,0.06,0.43,0.86,1.53,4.35,2.57,0.55,0.37,0.18,0.67,0.0,0.37,0.12,0.06,0.06,0.06,0.06,0.0,1.72,1.04,0.49,0.74,0.49,0.92,2.39,38.5,1.47,18.76,5.21,27.8,4.9,8.64,5.21,1.47,0.12,0.06,1.35,1.23,2.94,0.31,0.0,58.86,0.55,8.03,30.72,25.44,3.07,56.46,3.37,6.01,56.1,3.68,0.06,49.29,261.72,168.41,9.75,2.45,1.47,2.45,2.45,54.07,43.16,79.8,5.58,0.0,1.35,3.49,0.18,0.0,0.0,0.0,7.91,0.49,0.98,33.3,Abdoul Kader Bamba
Adam MaruÅ¡iÄ,Adam MaruÅ¡iÄ,0.1813429838564494,7500000,2020-2021,29.0,Winger,1.85,Right Midfield,right,Serie A,0.06,0.09,0.06,0.0,0.0,0.09,0.0,0.06,0.06,0.07,0.13,0.82,0.36,44.4,0.07,0.17,14.5,0.0,0.08,0.0,0.0,41.02,49.13,83.5,751.89,229.46,17.99,20.24,88.9,16.99,19.24,88.3,5.22,7.77,67.2,0.97,2.06,0.85,0.52,2.73,43.15,5.98,0.76,0.06,5.28,1.27,1.52,0.0,0.0,0.0,0.0,33.2,8.34,7.59,4.49,36.26,2.18,5.22,0.39,0.09,0.42,1.0,1.21,1.76,1.52,0.03,0.03,0.15,0.0,0.03,0.18,0.15,0.0,0.0,0.03,0.0,0.0,1.52,0.85,0.88,0.55,0.09,0.58,1.24,46.3,0.67,9.22,2.76,29.9,4.16,3.46,1.61,1.7,0.18,0.0,1.52,1.46,2.97,2.0,0.03,58.02,3.37,18.36,27.64,16.69,2.0,52.22,0.82,1.64,50.0,0.85,0.03,36.9,223.6,120.37,4.86,1.49,0.3,0.55,0.7,42.82,37.66,88.0,3.19,0.0,0.67,0.61,0.12,0.0,0.03,0.03,7.04,1.3,0.76,63.2,Adam MaruÅ¡iÄ
Adam MaruÅ¡iÄ,Adam MaruÅ¡iÄ,0.1833305508747517,6250000,2019-2020,28.0,Winger,1.85,Right Midfield,right,Serie A,0.19,0.1,0.19,0.0,0.0,0.29,0.0,0.15,0.15,0.05,0.2,1.05,0.57,54.5,0.18,0.33,12.0,0.0,0.14,0.04,0.04,32.29,38.03,84.9,561.88,149.24,15.76,17.58,89.7,12.61,14.43,87.4,3.25,4.11,79.1,0.76,0.48,0.76,0.48,0.67,30.96,7.07,0.38,0.0,4.01,0.67,1.53,0.0,0.0,0.0,0.0,23.12,9.36,5.54,3.15,24.94,2.48,6.69,0.1,0.0,0.19,0.67,1.34,1.53,1.05,0.1,0.19,0.1,0.1,0.0,0.38,0.29,0.0,0.1,0.0,0.0,0.0,1.43,0.76,0.86,0.48,0.1,0.57,1.53,37.5,0.96,13.85,3.92,28.3,5.06,5.73,3.06,2.01,0.19,0.0,1.82,0.76,2.2,1.15,0.0,47.48,2.77,14.81,16.72,18.06,2.87,40.61,0.86,1.72,50.0,1.15,0.1,29.9,122.68,59.71,2.29,0.96,0.19,0.57,1.05,32.01,28.28,88.4,3.06,0.0,1.43,1.24,0.0,0.0,0.0,0.0,6.31,1.15,1.34,46.2,Adam MaruÅ¡iÄ
Adam MaruÅ¡iÄ,Adam MaruÅ¡iÄ,0.1726813762882809,8500000,2018-2019,27.0,Winger,1.85,Right Midfield,right,Serie A,0.04,0.04,0.04,0.0,0.0,0.09,0.04,0.06,0.06,0.07,0.13,0.77,0.3,38.9,0.06,0.14,16.3,0.0,0.08,-0.02,-0.02,34.24,41.87,81.8,585.92,199.78,16.58,17.95,92.4,14.37,17.74,81.0,2.77,4.39,63.1,0.98,1.58,0.98,0.47,2.98,34.92,6.95,0.21,0.09,7.33,1.02,2.17,0.04,0.0,0.0,0.0,26.43,7.21,8.23,3.33,28.74,2.3,6.69,0.21,0.09,0.38,0.68,1.32,1.83,1.62,0.04,0.09,0.0,0.09,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0,1.58,1.02,0.6,0.68,0.3,0.72,1.36,53.1,0.64,15.39,4.39,28.5,6.4,6.18,2.81,1.79,0.13,0.0,1.66,0.72,2.3,1.15,0.0,51.16,1.75,12.19,21.87,20.46,2.09,44.25,1.49,2.69,55.6,1.58,0.21,33.55,165.76,106.37,4.95,1.53,0.43,0.77,0.98,36.54,30.78,84.2,3.45,0.0,1.36,0.81,0.09,0.0,0.0,0.0,7.55,1.02,0.98,51.1,Adam MaruÅ¡iÄ
Adam MaruÅ¡iÄ,Adam MaruÅ¡iÄ,0.1754575509890698,7500000,2017-2018,26.0,Winger,1.85,Right Midfield,right,Serie A,0.11,0.18,0.11,0.0,0.0,0.11,0.04,0.11,0.11,0.11,0.22,1.36,0.46,34.2,0.08,0.23,16.8,0.0,0.08,-0.01,-0.01,33.0,42.63,77.4,543.1,173.29,16.55,20.05,82.6,14.2,17.27,82.2,1.96,3.6,54.5,1.36,1.14,1.11,0.46,2.57,35.42,7.21,0.18,0.0,7.67,0.75,3.0,0.0,0.0,0.0,0.0,25.22,8.63,8.78,4.35,28.54,1.93,7.03,0.18,0.04,0.39,0.82,2.46,2.53,2.0,0.11,0.18,0.18,0.07,0.0,0.39,0.21,0.0,0.04,0.11,0.04,0.0,1.03,0.71,0.75,0.21,0.07,0.46,1.14,40.6,0.68,11.91,3.42,28.7,4.03,5.32,2.57,1.46,0.07,0.0,1.39,0.64,1.68,0.64,0.0,51.65,1.61,13.77,17.66,23.15,4.03,44.48,1.07,2.28,46.9,1.14,0.18,34.28,169.08,102.88,5.32,1.28,1.11,1.0,1.03,36.24,30.68,84.6,5.17,0.0,1.07,0.61,0.21,0.04,0.0,0.0,8.88,0.75,0.32,70.0,Adam MaruÅ¡iÄ
Adam Ounas,Adam Ounas,0.1950954025596952,8000000,2020-2021,25.0,Winger,1.72,Right Winger,left,Serie A,0.24,0.24,0.24,0.0,0.0,0.06,0.0,0.19,0.19,0.27,0.46,1.85,0.6,32.3,0.13,0.4,17.2,0.0,0.1,0.05,0.05,28.19,36.73,76.7,570.7,141.9,10.99,12.96,84.8,11.59,14.03,82.6,5.02,7.88,63.6,1.67,2.57,2.15,0.36,4.54,34.4,2.33,0.66,0.12,6.45,2.27,2.27,1.19,0.48,0.3,0.06,25.02,5.37,6.33,29.74,5.43,0.84,0.12,0.12,0.06,0.9,0.54,1.37,3.4,2.39,0.24,0.54,0.06,0.18,0.0,0.54,0.36,0.06,0.12,0.0,0.0,0.0,0.6,0.3,0.3,0.18,0.12,0.24,0.96,25.0,0.72,13.8,2.51,18.2,3.58,6.45,3.76,1.13,0.12,0.0,1.02,0.84,1.43,0.3,0.0,50.29,0.3,6.63,28.19,22.46,3.46,48.14,3.94,5.67,69.5,4.06,0.18,41.86,241.33,151.09,6.09,3.05,1.02,1.79,3.23,47.54,37.45,78.8,5.79,0.0,0.96,2.87,0.6,0.0,0.0,0.0,6.81,0.66,1.37,32.4,Adam Ounas
