ï»¿Player_SN,Player_LN,avg_playerankIndex,Player Valuation,scouting_period,Age,Gen_Pos,Height,Position,Foot,Data_League,Goals,Assists,Non.Penalty.Goals,Penalty.Kicks.Made,Penalty.Kicks.Attempted,Yellow.Cards,Red.Cards,xG,npxG,xA,npxG.xA,Shots.Total,Shots.on.target,Shots.on.target..,Goals.Shot,Goals.Shot.on.target,Average.Shot.Distance,Shots.from.free.kicks,npxG.Sh,Goals...xG,Non.Penalty.Goals...npxG,Passes.Completed,Passes.Attempted,Pass.Completion..,Total.Passing.Distance,Progressive.Passing.Distance,Passes.Completed..Short.,Passes.Attempted..Short.,Pass.Completion....Short.,Passes.Completed..Medium.,Passes.Attempted..Medium.,Pass.Completion....Medium.,Passes.Completed..Long.,Passes.Attempted..Long.,Pass.Completion....Long.,Key.Passes,Passes.into.Final.Third,Passes.into.Penalty.Area,Crosses.into.Penalty.Area,Progressive.Passes,Live.ball.passes,Dead.ball.passes,Passes.from.Free.Kicks,Through.Balls,Passes.Under.Pressure,Switches,Crosses,Corner.Kicks,Inswinging.Corner.Kicks,Outswinging.Corner.Kicks,Straight.Corner.Kicks,Ground.passes,Low.Passes,High.Passes,Passes.Attempted..Left.,Passes.Attempted..Right.,Passes.Attempted..Head.,Throw.Ins.taken,Passes.Attempted..Other.,Passes.Offside,Passes.Out.of.Bounds,Passes.Intercepted,Passes.Blocked,Shot.Creating.Actions,SCA..PassLive.,SCA..PassDead.,SCA..Drib.,SCA..Sh.,SCA..Fld.,SCA..Def.,Goal.Creating.Actions,GCA..PassLive.,GCA..PassDead.,GCA..Drib.,GCA..Sh.,GCA..Fld.,GCA..Def.,Tackles,Tackles.Won,Tackles..Def.3rd.,Tackles..Mid.3rd.,Tackles..Att.3rd.,Dribblers.Tackled,Dribbles.Contested,X..of.dribblers.tackled,Dribbled.Past,Pressures,Successful.Pressures,Successful.Pressure..,Pressures..Def.3rd.,Pressures..Mid.3rd.,Pressures..Att.3rd.,Blocks,Shots.Blocked,Shots.Saved,Passes.Blocked.1,Interceptions,Tkl.Int,Clearances,Errors,Touches,Touches..Def.Pen.,Touches..Def.3rd.,Touches..Mid.3rd.,Touches..Att.3rd.,Touches..Att.Pen.,Touches..Live.Ball.,Dribbles.Completed,Dribbles.Attempted,Successful.Dribble..,Players.Dribbled.Past,Nutmegs,Carries,Total.Carrying.Distance,Progressive.Carrying.Distance,Progressive.Carries,Carries.into.Final.Third,Carries.into.Penalty.Area,Miscontrols,Dispossessed,Pass.Targets,Passes.Received,Passes.Received..,Progressive.Passes.Rec,Second.Yellow.Card,Fouls.Committed,Fouls.Drawn,Offsides,Penalty.Kicks.Won,Penalty.Kicks.Conceded,Own.Goals,Ball.Recoveries,Aerials.won,Aerials.lost,X..of.Aerials.Won,longName
Aaron Leya Iseka,Aaron Leya Iseka,0.1784246853246904,2333333,2020-2021,24.0,Striker,1.82,Centre-Forward,right,Ligue 1,0.36,0.0,0.18,0.18,0.27,0.36,0.0,0.42,0.21,0.06,0.28,1.61,0.54,33.3,0.11,0.33,14.8,0.0,0.13,-0.06,-0.04,13.48,17.77,75.9,202.59,30.36,8.13,9.91,82.0,3.75,5.09,73.7,1.07,1.52,70.6,1.07,0.89,0.27,0.0,0.8,17.05,0.71,0.0,0.27,5.0,0.18,0.36,0.0,0.0,0.0,0.0,11.52,3.39,2.86,1.7,12.77,0.8,0.0,0.71,0.09,0.36,0.54,0.54,1.88,1.25,0.0,0.27,0.0,0.36,0.0,0.09,0.0,0.0,0.09,0.0,0.0,0.0,0.8,0.45,0.27,0.27,0.27,0.27,0.89,30.0,0.63,10.8,2.32,21.5,0.36,5.0,5.45,0.54,0.27,0.0,0.27,0.18,0.98,0.36,0.0,28.48,0.98,2.95,16.07,11.52,3.13,27.5,1.25,2.05,60.9,1.43,0.0,18.3,75.8,38.39,2.68,1.07,0.89,2.86,1.79,48.48,22.5,46.4,5.54,0.0,2.5,1.16,0.18,0.0,0.0,0.0,2.77,2.41,4.2,36.5,Aaron Leya Iseka
Aaron Leya Iseka,Aaron Leya Iseka,0.1749730032603396,2250000,2019-2020,23.0,Striker,1.82,Centre-Forward,right,Ligue 1,0.23,0.0,0.12,0.12,0.23,0.23,0.0,0.57,0.39,0.02,0.41,2.9,0.93,32.0,0.04,0.13,14.1,0.0,0.13,-0.34,-0.28,16.45,21.2,77.6,217.88,29.19,10.77,12.86,83.8,4.29,5.91,72.5,0.58,1.04,55.6,0.46,1.27,0.23,0.0,1.16,18.76,2.43,0.0,0.0,7.18,0.35,0.35,0.0,0.0,0.0,0.0,14.13,4.63,2.43,2.08,15.87,1.04,0.12,0.35,0.0,0.46,0.23,0.58,2.32,1.51,0.0,0.12,0.12,0.46,0.12,0.12,0.0,0.0,0.0,0.0,0.12,0.0,0.58,0.58,0.0,0.35,0.23,0.23,0.35,66.7,0.12,15.87,3.24,20.4,1.16,8.46,6.25,0.7,0.12,0.0,0.58,0.23,0.81,0.81,0.0,34.75,0.58,1.97,19.34,15.98,4.52,32.08,0.81,1.51,53.8,1.04,0.0,20.73,81.08,42.05,2.08,0.81,0.7,2.66,3.36,46.22,25.37,54.9,9.5,0.0,2.43,1.16,0.7,0.12,0.0,0.0,3.59,2.32,4.4,34.5,Aaron Leya Iseka
Aaron Leya Iseka,Aaron Leya Iseka,0.1783665074180341,2875000,2018-2019,22.0,Striker,1.82,Centre-Forward,right,Ligue 1,0.25,0.0,0.25,0.0,0.0,0.12,0.06,0.26,0.26,0.04,0.31,1.87,0.75,40.0,0.13,0.33,12.5,0.0,0.14,-0.01,-0.01,13.28,16.64,79.8,184.18,30.35,7.79,9.29,83.9,4.11,5.05,81.5,0.56,0.75,75.0,0.69,0.69,0.31,0.0,0.93,15.64,1.0,0.0,0.12,4.18,0.12,0.12,0.0,0.0,0.0,0.0,11.66,3.3,1.68,2.56,11.47,1.37,0.06,0.25,0.06,0.19,0.44,0.69,1.5,1.31,0.0,0.12,0.0,0.06,0.0,0.12,0.06,0.0,0.06,0.0,0.0,0.0,0.19,0.12,0.06,0.06,0.06,0.0,0.19,0.0,0.19,16.02,3.49,21.8,1.25,8.16,6.61,0.44,0.12,0.0,0.31,0.06,0.25,0.62,0.0,26.36,0.87,1.87,12.78,12.78,3.3,25.37,1.0,1.5,66.7,1.06,0.0,19.63,52.98,23.25,1.37,0.37,0.44,2.87,2.06,41.57,20.07,48.3,8.1,0.0,1.56,1.06,0.44,0.0,0.0,0.0,3.12,1.31,2.43,35.0,Aaron Leya Iseka
Abdul Majeed Waris,Abdul Majeed Waris,0.1740234853942426,2250000,2020-2021,30.0,Striker,1.72,Centre-Forward,right,Ligue 1,0.16,0.0,0.0,0.16,0.16,0.0,0.0,0.26,0.15,0.0,0.15,1.47,0.33,22.2,0.0,0.0,19.0,0.0,0.1,-0.1,-0.15,17.28,22.83,75.7,260.05,35.87,10.27,12.39,82.9,5.38,6.36,84.6,1.14,2.12,53.8,0.0,0.65,0.16,0.16,0.82,22.66,0.16,0.0,0.0,2.77,0.65,1.47,0.0,0.0,0.0,0.0,16.3,4.4,2.12,2.45,18.59,0.98,0.0,0.65,0.16,0.49,0.49,1.47,0.98,0.16,0.0,0.0,0.33,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.0,0.0,0.16,0.0,0.65,0.0,0.65,8.97,2.45,27.3,2.61,4.08,2.28,0.82,0.16,0.0,0.65,0.49,0.65,0.49,0.0,35.71,0.65,4.4,17.12,17.61,3.75,35.38,1.3,2.45,53.3,1.3,0.16,27.72,151.79,101.25,5.54,2.45,0.98,1.79,2.93,42.72,27.88,65.3,7.66,0.0,1.3,3.1,0.33,0.0,0.0,0.0,4.89,0.33,1.47,18.2,Abdul Majeed Waris
Abdul Majeed Waris,Abdul Majeed Waris,0.185326590292932,3000000,2018-2019,28.0,Striker,1.72,Centre-Forward,right,Ligue 1,0.2,0.12,0.16,0.04,0.04,0.12,0.0,0.22,0.19,0.1,0.29,1.48,0.56,37.8,0.11,0.29,17.9,0.0,0.13,-0.02,-0.03,17.67,24.88,71.0,271.64,70.16,10.34,13.1,78.9,5.69,7.73,73.6,1.2,2.64,45.5,0.88,1.0,0.64,0.12,1.6,23.64,1.24,0.04,0.24,7.21,0.52,1.12,0.6,0.12,0.04,0.04,18.75,3.37,2.76,2.2,21.36,0.56,0.2,0.36,0.08,0.6,0.8,1.48,2.72,1.64,0.16,0.28,0.12,0.52,0.0,0.28,0.12,0.0,0.0,0.0,0.16,0.0,0.96,0.68,0.32,0.36,0.28,0.32,1.12,28.6,0.8,14.11,4.05,28.7,3.01,6.93,4.17,0.72,0.08,0.0,0.64,0.36,1.32,0.24,0.0,38.03,0.16,4.25,15.75,22.08,4.41,36.79,1.6,3.17,50.6,1.8,0.2,30.69,165.17,96.45,4.69,1.68,0.96,2.72,2.64,46.12,29.17,63.2,10.02,0.0,0.6,3.01,0.44,0.12,0.0,0.0,4.37,0.28,1.04,21.2,Abdul Majeed Waris
Aboubakar Kamara,Aboubakar Kamara,0.1708582052152876,2000000,2020-2021,26.0,Striker,1.77,Centre-Forward,right,Ligue 1,0.16,0.0,0.16,0.0,0.0,0.16,0.16,0.13,0.13,0.11,0.24,1.78,0.48,27.3,0.09,0.33,18.2,0.0,0.07,0.03,0.03,18.26,24.4,74.8,275.82,52.19,9.69,11.63,83.3,5.49,7.59,72.3,1.29,2.75,47.1,1.29,0.65,0.81,0.48,1.45,23.27,1.13,0.0,0.0,8.56,0.65,1.62,0.0,0.0,0.0,0.0,15.51,5.66,3.23,4.2,17.61,0.81,0.32,0.0,0.0,0.48,0.48,0.81,2.91,1.62,0.0,0.48,0.32,0.48,0.0,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.48,0.48,0.16,0.16,0.16,0.0,0.97,0.0,0.97,18.26,3.39,18.6,1.62,9.37,7.27,0.16,0.0,0.0,0.16,0.16,0.65,0.48,0.0,37.81,0.32,2.75,19.23,18.9,2.91,36.68,2.26,3.88,58.3,2.26,0.0,28.92,138.8,69.8,3.39,1.13,0.32,2.42,3.07,49.12,29.08,59.2,6.14,0.0,2.42,3.07,0.16,0.0,0.0,0.0,5.33,1.94,3.55,35.3,Aboubakar Kamara
Aboubakar Kamara,Aboubakar Kamara,0.1824793566747654,3583333,2018-2019,24.0,Striker,1.77,Centre-Forward,right,Premier League,0.39,0.0,0.26,0.13,0.26,0.26,0.0,0.48,0.29,0.09,0.36,2.47,1.04,42.1,0.11,0.25,19.0,0.0,0.11,-0.09,-0.03,22.86,32.47,70.4,347.92,70.26,13.12,16.49,79.5,7.66,9.74,78.7,1.69,4.29,39.4,1.3,1.17,0.26,0.13,1.82,31.43,1.04,0.13,0.0,5.19,0.78,1.82,0.0,0.0,0.0,0.0,23.51,4.81,4.16,5.06,24.03,1.17,0.65,0.39,0.13,0.65,2.6,2.34,2.86,2.47,0.0,0.13,0.13,0.13,0.0,0.13,0.0,0.0,0.0,0.0,0.13,0.0,1.3,0.78,0.13,1.17,0.0,0.39,1.17,33.3,0.78,19.61,4.94,25.2,4.55,9.74,5.32,1.56,0.0,0.0,1.56,0.78,2.08,0.78,0.0,47.4,1.04,5.32,17.14,28.83,4.68,46.36,2.08,4.16,50.0,2.6,0.0,35.45,173.64,95.84,5.58,1.69,1.17,3.38,1.69,50.65,33.9,66.9,9.74,0.0,2.99,0.65,0.91,0.13,0.0,0.0,7.01,1.69,2.6,39.4,Aboubakar Kamara
ÃdÃ¡m Szalai,Szalai ÃdÃ¡m Csaba,0.1693424850770359,730000,2020-2021,34.0,Striker,1.93,Centre-Forward,right,Bundesliga,0.12,0.0,0.12,0.0,0.0,0.12,0.0,0.27,0.27,0.07,0.33,1.84,0.74,40.0,0.07,0.17,14.1,0.0,0.14,-0.15,-0.15,13.87,25.78,53.8,206.15,62.86,7.98,14.0,57.0,3.32,6.02,55.1,1.23,2.33,52.6,0.61,1.47,0.37,0.0,1.96,25.17,0.61,0.0,0.12,8.84,0.49,0.86,0.0,0.0,0.0,0.0,10.56,9.82,5.4,3.81,14.0,3.07,0.12,0.49,0.0,0.61,0.98,2.09,1.47,1.11,0.0,0.0,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.86,0.37,0.25,0.25,0.12,0.74,16.7,0.61,16.21,5.16,31.8,1.72,7.37,7.12,0.49,0.12,0.0,0.37,0.37,1.23,0.25,0.0,40.03,0.49,3.81,16.94,20.75,6.38,39.41,1.47,2.21,66.7,1.6,0.25,23.57,64.34,29.1,1.35,0.49,0.25,4.17,2.95,62.13,29.22,47.0,7.0,0.0,2.7,2.09,0.49,0.0,0.0,0.0,6.63,4.91,7.24,40.4,ÃdÃ¡m Szalai
ÃdÃ¡m Szalai,Szalai ÃdÃ¡m Csaba,0.1759502651682437,1800000,2019-2020,33.0,Striker,1.93,Centre-Forward,right,Bundesliga,0.08,0.08,0.08,0.0,0.0,0.08,0.0,0.38,0.38,0.08,0.46,2.43,0.86,35.5,0.03,0.09,11.5,0.0,0.16,-0.3,-0.3,15.54,24.17,64.3,215.7,46.14,9.02,13.26,68.0,4.32,7.14,60.4,0.94,1.8,52.2,1.1,1.26,0.16,0.0,1.33,22.6,1.57,0.0,0.16,8.0,0.55,0.63,0.0,0.0,0.0,0.0,10.75,9.02,4.39,2.82,13.34,2.82,0.08,1.8,0.0,0.39,0.63,0.94,2.51,1.88,0.0,0.24,0.24,0.16,0.0,0.39,0.31,0.0,0.0,0.08,0.0,0.0,0.55,0.31,0.0,0.47,0.08,0.08,0.55,14.3,0.47,17.34,4.47,25.8,1.41,8.16,7.77,0.86,0.16,0.0,0.71,0.31,0.86,1.1,0.0,37.9,1.18,3.22,17.34,18.52,6.51,36.33,1.1,1.8,60.9,1.1,0.08,22.28,57.2,24.87,1.57,0.39,0.31,3.53,2.12,49.51,28.48,57.5,10.28,0.0,1.88,1.88,0.55,0.0,0.0,0.0,4.08,4.24,5.34,44.3,ÃdÃ¡m Szalai
ÃdÃ¡m Szalai,Szalai ÃdÃ¡m Csaba,0.1889046041635027,3250000,2018-2019,32.0,Striker,1.93,Centre-Forward,right,Bundesliga,0.33,0.17,0.33,0.0,0.0,0.17,0.0,0.47,0.47,0.13,0.6,3.37,1.05,31.1,0.1,0.32,12.0,0.0,0.14,-0.14,-0.14,16.48,22.74,72.5,224.59,46.91,10.12,12.83,78.9,4.04,6.03,67.0,1.27,1.94,65.7,1.27,1.0,0.5,0.0,1.6,21.24,1.49,0.06,0.06,4.7,0.11,0.33,0.0,0.0,0.0,0.0,13.11,6.64,2.99,3.43,13.72,2.16,0.0,2.38,0.22,0.5,0.39,0.77,3.26,2.32,0.11,0.17,0.5,0.17,0.0,0.39,0.17,0.0,0.06,0.17,0.0,0.0,0.83,0.55,0.11,0.44,0.28,0.06,0.5,11.1,0.44,17.09,4.26,24.9,1.0,8.02,8.08,0.72,0.22,0.0,0.5,0.22,1.05,0.66,0.0,35.29,0.61,2.88,17.26,16.87,5.92,33.8,0.77,1.49,51.9,0.94,0.11,22.57,68.04,28.27,1.22,0.55,0.11,3.26,1.55,43.92,25.94,59.1,9.74,0.0,1.71,1.88,0.55,0.0,0.0,0.0,4.54,1.55,1.83,45.9,ÃdÃ¡m Szalai
