Player_Names,Player_valuation,Age,Height,Position,Gen_Pos,Foot,Y_Contract_Left,Actual_Club,Data_League,Goals,Assists,Non.Penalty.Goals,Penalty.Kicks.Made,Penalty.Kicks.Attempted,Yellow.Cards,Red.Cards,xG,npxG,xA,npxG.xA,Goals.1,Shots.Total,Shots.on.target,Shots.on.target..,Goals.Shot,Goals.Shot.on.target,Average.Shot.Distance,Shots.from.free.kicks,Penalty.Kicks.Made.1,Penalty.Kicks.Attempted.1,xG.1,npxG.1,npxG.Sh,Goals...xG,Non.Penalty.Goals...npxG,Passes.Completed,Passes.Attempted,Pass.Completion..,Total.Passing.Distance,Progressive.Passing.Distance,Passes.Completed..Short.,Passes.Attempted..Short.,Pass.Completion....Short.,Passes.Completed..Medium.,Passes.Attempted..Medium.,Pass.Completion....Medium.,Passes.Completed..Long.,Passes.Attempted..Long.,Pass.Completion....Long.,Assists.1,xA.1,Key.Passes,Passes.into.Final.Third,Passes.into.Penalty.Area,Crosses.into.Penalty.Area,Progressive.Passes,Passes.Attempted.1,Live.ball.passes,Dead.ball.passes,Passes.from.Free.Kicks,Through.Balls,Passes.Under.Pressure,Switches,Crosses,Corner.Kicks,Inswinging.Corner.Kicks,Outswinging.Corner.Kicks,Straight.Corner.Kicks,Ground.passes,Low.Passes,High.Passes,Passes.Attempted..Left.,Passes.Attempted..Right.,Passes.Attempted..Head.,Throw.Ins.taken,Passes.Attempted..Other.,Passes.Completed.1,Passes.Offside,Passes.Out.of.Bounds,Passes.Intercepted,Passes.Blocked,Shot.Creating.Actions,SCA..PassLive.,SCA..PassDead.,SCA..Drib.,SCA..Sh.,SCA..Fld.,SCA..Def.,Goal.Creating.Actions,GCA..PassLive.,GCA..PassDead.,GCA..Drib.,GCA..Sh.,GCA..Fld.,GCA..Def.,Tackles,Tackles.Won,Tackles..Def.3rd.,Tackles..Mid.3rd.,Tackles..Att.3rd.,Dribblers.Tackled,Dribbles.Contested,X..of.dribblers.tackled,Dribbled.Past,Pressures,Successful.Pressures,Successful.Pressure..,Pressures..Def.3rd.,Pressures..Mid.3rd.,Pressures..Att.3rd.,Blocks,Shots.Blocked,Shots.Saved,Passes.Blocked.1,Interceptions,Tkl.Int,Clearances,Errors,Touches,Touches..Def.Pen.,Touches..Def.3rd.,Touches..Mid.3rd.,Touches..Att.3rd.,Touches..Att.Pen.,Touches..Live.Ball.,Dribbles.Completed,Dribbles.Attempted,Successful.Dribble..,Players.Dribbled.Past,Nutmegs,Carries,Total.Carrying.Distance,Progressive.Carrying.Distance,Progressive.Carries,Carries.into.Final.Third,Carries.into.Penalty.Area,Miscontrols,Dispossessed,Pass.Targets,Passes.Received,Passes.Received..,Progressive.Passes.Rec,Yellow.Cards.1,Red.Cards.1,Second.Yellow.Card,Fouls.Committed,Fouls.Drawn,Offsides,Crosses.1,Interceptions.1,Tackles.Won.1,Penalty.Kicks.Won,Penalty.Kicks.Conceded,Own.Goals,Ball.Recoveries,Aerials.won,Aerials.lost,X..of.Aerials.Won
Aaron Cresswell,4000000,32,1.7,Left-Back,Full-Back,left,1.32602739726027,West Ham United,Premier League,0.03,0.21,0.03,0.0,0.0,0.09,0.0,0.03,0.03,0.17,0.2,0.03,0.51,0.06,11.8,0.06,0.5,22.5,0.27,0.0,0.0,0.03,0.03,0.06,0.0,0.0,52.17,66.38,78.6,969.03,434.44,23.5,25.7,91.4,21.53,25.28,85.2,6.48,13.32,48.7,0.21,0.17,1.78,4.07,1.1,0.39,5.2,66.38,52.82,13.56,2.11,0.0,6.45,2.14,2.38,2.47,0.83,1.46,0.09,38.13,12.7,15.56,50.83,3.93,1.55,8.98,0.24,52.17,0.39,1.1,2.05,1.99,2.53,1.22,1.22,0.0,0.09,0.0,0.0,0.36,0.12,0.21,0.0,0.03,0.0,0.0,1.01,0.57,0.68,0.27,0.06,0.51,1.1,45.9,0.59,6.9,2.35,34.1,3.3,2.8,0.8,1.37,0.42,0.0,0.95,1.46,2.47,2.53,0.0,74.12,4.04,21.0,34.86,22.28,1.01,60.56,0.15,0.59,25.0,0.15,0.06,42.92,186.72,94.37,3.63,1.55,0.09,0.27,0.3,47.02,44.94,95.6,1.04,0.09,0.0,0.0,0.71,0.45,0.06,2.38,1.46,0.57,0.0,0.03,0.0,7.94,1.22,0.77,61.2
Aaron Hickey,13000000,19,1.85,Left-Back,Full-Back,both,2.32876712328767,Bologna FC 1909,Serie A,0.19,0.05,0.19,0.0,0.0,0.24,0.0,0.03,0.03,0.04,0.07,0.19,0.87,0.53,61.1,0.22,0.36,22.4,0.0,0.0,0.0,0.03,0.03,0.04,0.16,0.16,34.53,41.67,82.9,532.91,146.72,19.1,20.84,91.7,12.83,15.68,81.8,1.93,3.52,54.8,0.05,0.04,0.68,0.82,0.48,0.19,1.4,41.67,33.38,8.3,0.82,0.0,6.08,0.39,1.3,0.0,0.0,0.0,0.0,28.31,7.81,5.55,20.26,12.68,1.01,7.48,0.1,34.53,0.1,0.29,1.06,0.72,1.4,1.21,0.05,0.05,0.0,0.05,0.05,0.14,0.14,0.0,0.0,0.0,0.0,0.0,1.35,0.63,0.58,0.43,0.34,0.39,0.77,50.0,0.39,13.02,3.62,27.8,5.88,4.53,2.6,2.12,0.48,0.0,1.64,1.21,2.56,1.3,0.0,52.43,2.99,16.25,23.01,16.45,1.06,44.47,1.16,1.98,58.5,1.35,0.05,34.15,172.33,93.28,4.1,1.06,0.43,0.92,0.77,36.32,31.45,86.6,2.65,0.24,0.0,0.0,1.4,2.6,0.1,1.3,1.21,0.63,0.0,0.0,0.0,6.08,0.48,1.06,31.3
Aarón Martín,5000000,24,1.8,Left-Back,Full-Back,left,1.32602739726027,1.FSV Mainz 05,Bundesliga,0.03,0.14,0.03,0.0,0.0,0.14,0.0,0.03,0.03,0.14,0.17,0.03,0.68,0.14,20.0,0.05,0.25,22.5,0.14,0.0,0.0,0.03,0.03,0.04,0.01,0.01,33.77,45.97,73.5,620.63,229.21,15.64,17.58,89.0,12.95,16.32,79.3,4.5,10.29,43.7,0.14,0.14,1.57,2.08,0.92,0.61,2.69,45.97,36.67,9.3,1.06,0.07,5.35,1.6,3.27,2.28,1.02,0.99,0.03,25.93,8.59,11.45,36.12,2.79,0.78,5.96,0.07,33.77,0.17,0.51,1.81,1.6,2.15,1.33,0.68,0.0,0.07,0.03,0.03,0.17,0.14,0.03,0.0,0.0,0.0,0.0,2.28,1.06,1.3,0.78,0.2,0.82,1.87,43.6,1.06,13.84,4.23,30.5,5.49,6.17,2.18,1.4,0.24,0.0,1.16,1.23,3.51,2.32,0.0,55.48,2.32,15.81,25.25,17.62,1.09,46.18,0.89,1.53,57.8,0.99,0.0,32.65,151.44,81.48,3.61,1.3,0.1,0.51,0.58,35.2,31.52,89.5,1.7,0.14,0.0,0.0,1.64,0.82,0.1,3.27,1.23,1.06,0.0,0.0,0.0,6.61,0.65,1.3,33.3
Aaron Wan-Bissaka,38000000,24,1.83,Right-Back,Full-Back,right,2.32876712328767,Manchester United,Premier League,0.0,0.08,0.0,0.0,0.0,0.13,0.03,0.01,0.01,0.06,0.07,0.0,0.22,0.08,37.5,0.0,0.0,15.0,0.0,0.0,0.0,0.01,0.01,0.04,-0.01,-0.01,52.03,60.52,86.0,798.74,263.78,28.94,31.37,92.3,19.02,21.53,88.4,2.72,4.66,58.4,0.08,0.06,0.81,2.34,0.86,0.4,3.07,60.52,51.66,8.87,0.7,0.03,7.14,0.81,1.62,0.0,0.0,0.0,0.0,44.0,11.1,5.42,3.1,47.26,1.37,8.16,0.13,52.03,0.05,0.43,1.86,1.56,1.67,1.35,0.05,0.11,0.05,0.03,0.08,0.13,0.11,0.0,0.0,0.03,0.0,0.0,2.29,1.32,1.32,0.54,0.43,0.43,0.89,48.5,0.46,11.99,3.69,30.8,5.25,4.34,2.4,2.64,0.54,0.03,2.1,2.59,4.88,2.86,0.0,73.02,4.04,24.31,32.98,20.53,1.13,64.32,1.81,2.64,68.4,1.83,0.16,46.54,228.69,132.76,5.12,1.81,0.13,0.62,1.0,47.75,44.25,92.7,1.81,0.13,0.03,0.0,0.86,0.81,0.03,1.62,2.59,1.32,0.0,0.03,0.0,8.19,0.86,1.19,42.1
Abdoulaye Bamba,600000,31,1.82,Right-Back,Full-Back,right,1.32602739726027,SCO Angers,Ligue 1,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.09,0.1,0.0,0.07,0.07,100.0,0.0,0.0,15.6,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,44.77,58.46,76.6,761.56,365.88,22.85,25.12,91.0,17.64,22.45,78.6,3.74,8.62,43.4,0.0,0.09,0.8,2.67,0.94,0.53,3.61,58.46,45.7,12.76,0.87,0.07,6.55,0.4,2.47,0.0,0.0,0.0,0.0,34.48,9.96,14.03,1.74,42.43,1.74,11.89,0.13,44.77,0.07,0.94,1.4,2.2,1.4,1.2,0.07,0.07,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,1.14,1.34,0.6,0.13,0.67,1.34,50.0,0.67,11.43,4.01,35.1,6.41,3.34,1.67,1.6,0.07,0.0,1.54,1.2,3.27,2.81,0.07,66.75,2.54,20.71,34.28,14.57,0.53,54.19,0.33,0.8,41.7,0.47,0.07,38.49,132.83,68.95,2.27,1.14,0.13,0.53,0.4,41.76,38.35,91.8,1.67,0.13,0.0,0.0,1.0,0.6,0.0,2.47,1.2,1.14,0.0,0.07,0.0,8.02,0.67,0.74,47.6
Achraf Hakimi,70000000,23,1.81,Right-Back,Full-Back,right,4.32876712328767,Paris Saint-Germain,Ligue 1,0.11,0.2,0.11,0.0,0.0,0.14,0.03,0.06,0.06,0.17,0.23,0.11,0.75,0.25,33.3,0.15,0.44,17.3,0.03,0.0,0.0,0.06,0.06,0.08,0.05,0.05,55.74,62.8,88.8,840.77,254.0,31.61,33.98,93.0,20.1,22.44,89.6,2.76,3.82,72.3,0.2,0.17,1.14,2.31,1.51,0.5,3.79,62.8,54.8,8.0,0.67,0.03,6.63,0.61,2.29,0.08,0.03,0.0,0.0,48.47,10.68,3.65,6.47,47.8,0.95,7.25,0.08,55.74,0.11,0.39,1.92,1.11,1.92,1.53,0.06,0.17,0.03,0.11,0.03,0.31,0.25,0.0,0.03,0.0,0.03,0.0,2.37,1.28,1.37,0.7,0.31,1.03,2.65,38.9,1.62,16.0,4.57,28.6,6.91,4.96,4.13,1.34,0.14,0.0,1.2,1.28,3.65,1.03,0.0,72.38,2.73,20.68,28.63,27.2,3.29,64.61,1.14,2.03,56.2,1.25,0.08,50.92,230.31,140.84,6.44,1.67,0.86,1.03,1.17,57.42,52.37,91.2,4.32,0.14,0.03,0.0,0.72,0.89,0.22,2.29,1.28,1.28,0.06,0.0,0.0,4.77,0.42,0.84,33.3
Achraf Lazaar,300000,30,1.84,Left-Back,Full-Back,left,1.32602739726027,Portimonense SC,Serie A,0.19,0.0,0.19,0.0,0.0,0.0,0.0,0.06,0.06,0.08,0.13,0.19,1.13,0.75,66.7,0.17,0.25,19.5,0.0,0.0,0.0,0.06,0.06,0.05,0.13,0.13,22.59,32.57,69.4,359.81,89.25,12.62,14.69,85.9,7.53,10.36,72.7,2.26,6.21,36.4,0.0,0.08,0.56,0.94,0.94,0.75,0.56,32.57,28.81,3.77,0.0,0.0,6.03,1.88,3.2,0.56,0.19,0.0,0.19,18.26,6.03,8.28,20.9,7.53,0.38,3.2,0.0,22.59,0.0,0.94,0.38,1.69,1.32,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,1.88,2.07,0.38,0.0,0.75,2.82,26.7,2.07,20.52,5.65,27.5,9.41,5.65,5.46,1.32,0.19,0.0,1.13,0.56,3.01,1.88,0.0,47.64,2.82,12.43,20.9,18.64,1.51,43.87,2.82,5.84,48.4,3.2,0.0,34.08,125.21,70.8,3.39,1.51,0.19,0.94,3.01,35.21,29.94,85.0,2.82,0.0,0.0,0.0,2.45,0.75,0.0,3.2,0.56,1.88,0.0,0.0,0.0,6.21,1.13,0.75,60.0
Adam Smith,2000000,30,1.74,Right-Back,Full-Back,right,1.32602739726027,AFC Bournemouth,Premier League,0.0,0.04,0.0,0.0,0.0,0.31,0.0,0.03,0.03,0.04,0.07,0.0,0.18,0.04,25.0,0.0,0.0,17.9,0.0,0.0,0.0,0.03,0.03,0.14,-0.03,-0.03,37.01,46.47,79.6,600.48,222.35,19.71,21.77,90.5,14.06,16.91,83.2,2.63,5.65,46.5,0.04,0.04,0.44,2.67,0.44,0.09,2.98,46.47,37.49,8.98,0.92,0.04,7.8,0.57,0.92,0.04,0.04,0.0,0.0,26.15,8.8,11.52,2.93,32.15,2.19,8.01,0.09,37.01,0.13,0.96,0.57,1.66,0.83,0.7,0.0,0.04,0.0,0.09,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,2.28,1.31,1.4,0.66,0.22,1.05,2.41,43.6,1.36,17.78,4.86,27.3,8.01,6.74,3.02,2.45,0.26,0.04,2.19,1.01,3.28,2.32,0.0,58.07,3.07,18.13,28.82,16.07,1.09,49.4,1.14,2.28,50.0,1.31,0.18,34.42,227.43,131.96,5.69,1.8,0.31,1.01,0.92,34.95,32.32,92.5,1.66,0.31,0.0,0.0,1.31,1.88,0.09,0.92,1.01,1.31,0.0,0.09,0.0,8.5,1.58,1.31,54.5
Aday,300000,34,1.78,Left-Back,Full-Back,right,,Without Club,La Liga,0.0,0.28,0.0,0.0,0.0,0.28,0.0,0.03,0.03,0.11,0.14,0.0,1.26,0.42,33.3,0.0,0.0,28.4,0.28,0.0,0.0,0.03,0.03,0.02,-0.03,-0.03,32.09,45.35,70.8,680.23,240.56,11.3,12.7,89.0,13.53,17.58,77.0,6.42,13.12,48.9,0.28,0.11,1.95,1.12,1.4,1.4,1.67,45.35,36.0,9.35,2.09,0.0,9.07,3.49,5.72,0.98,0.14,0.0,0.0,23.72,6.28,15.35,5.16,31.81,1.95,6.28,0.14,32.09,0.28,0.42,0.98,1.67,3.49,1.95,0.7,0.42,0.28,0.14,0.0,0.28,0.28,0.0,0.0,0.0,0.0,0.0,1.81,0.98,0.7,0.98,0.14,1.26,2.37,52.9,1.12,12.14,2.93,24.1,4.6,5.16,2.37,1.26,0.14,0.0,1.12,1.12,2.93,1.4,0.0,53.86,2.65,13.12,27.35,19.26,0.98,44.79,1.53,2.09,73.3,1.53,0.0,36.0,264.0,147.49,7.26,3.07,0.56,0.56,0.7,37.26,32.93,88.4,2.79,0.28,0.0,0.0,1.4,1.12,0.0,5.72,1.12,0.98,0.0,0.0,0.0,5.3,0.0,0.56,0.0
Adrien Truffert,11000000,20,1.73,Left-Back,Full-Back,left,3.32876712328767,Stade Rennais FC,Ligue 1,0.19,0.06,0.19,0.0,0.0,0.19,0.0,0.11,0.11,0.08,0.18,0.19,1.25,0.25,20.0,0.15,0.75,21.6,0.0,0.0,0.0,0.11,0.11,0.09,0.08,0.08,53.81,64.54,83.4,886.14,265.99,27.22,30.17,90.2,22.33,25.84,86.4,3.51,6.21,56.6,0.06,0.08,0.69,3.51,1.13,0.5,4.08,64.54,55.44,9.09,0.88,0.06,8.15,0.69,2.26,0.0,0.0,0.0,0.0,45.53,10.41,8.59,46.1,7.34,2.45,8.22,0.0,53.81,0.31,0.56,2.07,2.13,1.82,1.44,0.0,0.13,0.13,0.06,0.06,0.19,0.19,0.0,0.0,0.0,0.0,0.0,1.63,0.82,0.88,0.56,0.19,0.75,1.94,38.7,1.19,16.81,3.89,23.1,5.9,7.28,3.64,2.7,0.38,0.0,2.32,1.51,3.14,2.2,0.06,75.76,2.32,18.56,39.51,23.27,2.13,67.11,0.88,1.82,48.3,1.13,0.06,51.12,277.53,161.94,8.53,2.76,0.69,1.0,0.5,53.25,49.42,92.8,3.51,0.19,0.0,0.0,1.19,0.88,0.0,2.26,1.51,0.82,0.0,0.0,0.0,8.09,0.94,1.25,42.9
Ahmed Elmohamady,800000,34,1.82,Right-Back,Full-Back,right,,Without Club,Premier League,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.05,0.05,0.06,0.12,0.0,0.97,0.11,11.1,0.0,0.0,11.2,0.0,0.0,0.0,0.05,0.05,0.05,-0.05,-0.05,49.77,63.72,78.1,952.35,390.57,20.7,22.53,91.9,21.45,27.57,77.8,7.08,12.12,58.4,0.0,0.06,1.39,3.86,2.79,0.86,5.15,63.72,50.63,13.09,1.82,0.0,7.83,1.61,3.43,0.0,0.0,0.0,0.0,29.93,17.38,16.41,0.75,45.8,4.08,11.26,0.32,49.77,0.11,0.97,1.5,0.97,2.25,1.93,0.11,0.0,0.11,0.0,0.11,0.11,0.0,0.11,0.0,0.0,0.0,0.0,1.93,1.39,1.07,0.43,0.43,0.64,1.07,60.0,0.43,7.94,3.0,37.8,4.18,2.79,0.97,1.61,0.43,0.0,1.18,2.9,4.83,3.43,0.0,73.59,4.61,23.49,30.68,22.85,1.5,60.82,0.43,0.54,80.0,0.43,0.0,36.47,163.59,89.79,4.72,1.61,0.21,0.21,0.75,42.26,39.26,92.9,2.04,0.21,0.0,0.0,0.86,0.21,0.0,3.43,2.9,1.39,0.0,0.0,0.0,10.41,2.9,0.97,75.0
Aihen Muñoz,6000000,24,1.75,Left-Back,Full-Back,left,2.32876712328767,Real Sociedad,La Liga,0.0,0.0,0.0,0.0,0.0,0.25,0.04,0.01,0.01,0.07,0.08,0.0,0.42,0.08,20.0,0.0,0.0,24.8,0.0,0.0,0.0,0.01,0.01,0.02,-0.01,-0.01,40.32,53.52,75.4,738.99,318.46,16.49,18.74,88.0,19.12,23.0,83.1,4.01,9.31,43.0,0.0,0.07,0.71,3.01,0.75,0.46,2.88,53.52,41.7,11.81,1.29,0.04,5.26,1.17,2.46,0.04,0.04,0.0,0.0,29.55,11.15,12.82,35.19,3.97,2.71,10.48,0.08,40.32,0.08,1.38,1.88,2.09,1.38,1.04,0.17,0.04,0.04,0.08,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,2.3,1.13,1.0,1.09,0.21,1.13,1.92,58.7,0.79,13.44,4.59,34.2,5.76,6.05,1.63,1.25,0.17,0.0,1.09,1.67,3.97,2.55,0.04,64.12,2.71,20.08,31.73,16.28,1.0,52.6,0.75,1.84,40.9,0.92,0.13,36.15,162.68,95.09,4.05,1.75,0.33,1.04,0.92,37.44,34.73,92.8,1.92,0.25,0.04,0.04,1.59,0.79,0.0,2.46,1.67,1.13,0.0,0.0,0.0,8.64,1.8,1.8,50.0
Akim Zedadka,2200000,26,1.73,Right-Back,Full-Back,right,0.326027397260274,Clermont Foot 63,Ligue 1,0.0,0.12,0.0,0.0,0.0,0.12,0.0,0.03,0.03,0.05,0.08,0.0,0.81,0.15,19.0,0.0,0.0,24.0,0.0,0.0,0.0,0.03,0.03,0.03,-0.03,-0.03,45.77,56.95,80.4,759.39,272.51,24.05,27.37,87.9,17.24,21.34,80.8,3.6,6.11,58.9,0.12,0.05,0.85,2.16,1.35,0.85,3.21,56.95,44.92,12.02,1.24,0.0,6.42,1.04,2.36,0.0,0.0,0.0,0.0,34.6,12.14,10.21,5.45,38.51,1.66,10.79,0.04,45.77,0.15,0.66,2.67,1.66,1.89,1.55,0.0,0.19,0.08,0.08,0.0,0.23,0.23,0.0,0.0,0.0,0.0,0.0,2.24,1.2,1.04,0.93,0.27,1.08,1.86,58.3,0.77,11.37,4.18,36.7,4.29,5.06,2.01,1.43,0.23,0.0,1.2,2.67,4.91,1.2,0.0,69.7,3.36,21.15,33.25,20.84,1.12,58.3,1.08,2.28,47.5,1.24,0.08,43.96,235.59,135.08,4.99,1.93,0.27,1.43,1.59,44.5,40.24,90.4,2.36,0.12,0.0,0.0,0.81,2.59,0.08,2.36,2.67,1.2,0.0,0.0,0.0,8.81,0.89,0.97,47.9
