Player_Names,Player_valuation,Age,Height,Position,Gen_Pos,Foot,Y_Contract_Left,Actual_Club,Data_League,Goals,Assists,Non.Penalty.Goals,Penalty.Kicks.Made,Penalty.Kicks.Attempted,Yellow.Cards,Red.Cards,xG,npxG,xA,npxG.xA,Goals.1,Shots.Total,Shots.on.target,Shots.on.target..,Goals.Shot,Goals.Shot.on.target,Average.Shot.Distance,Shots.from.free.kicks,Penalty.Kicks.Made.1,Penalty.Kicks.Attempted.1,xG.1,npxG.1,npxG.Sh,Goals...xG,Non.Penalty.Goals...npxG,Passes.Completed,Passes.Attempted,Pass.Completion..,Total.Passing.Distance,Progressive.Passing.Distance,Passes.Completed..Short.,Passes.Attempted..Short.,Pass.Completion....Short.,Passes.Completed..Medium.,Passes.Attempted..Medium.,Pass.Completion....Medium.,Passes.Completed..Long.,Passes.Attempted..Long.,Pass.Completion....Long.,Assists.1,xA.1,Key.Passes,Passes.into.Final.Third,Passes.into.Penalty.Area,Crosses.into.Penalty.Area,Progressive.Passes,Passes.Attempted.1,Live.ball.passes,Dead.ball.passes,Passes.from.Free.Kicks,Through.Balls,Passes.Under.Pressure,Switches,Crosses,Corner.Kicks,Inswinging.Corner.Kicks,Outswinging.Corner.Kicks,Straight.Corner.Kicks,Ground.passes,Low.Passes,High.Passes,Passes.Attempted..Left.,Passes.Attempted..Right.,Passes.Attempted..Head.,Throw.Ins.taken,Passes.Attempted..Other.,Passes.Completed.1,Passes.Offside,Passes.Out.of.Bounds,Passes.Intercepted,Passes.Blocked,Shot.Creating.Actions,SCA..PassLive.,SCA..PassDead.,SCA..Drib.,SCA..Sh.,SCA..Fld.,SCA..Def.,Goal.Creating.Actions,GCA..PassLive.,GCA..PassDead.,GCA..Drib.,GCA..Sh.,GCA..Fld.,GCA..Def.,Tackles,Tackles.Won,Tackles..Def.3rd.,Tackles..Mid.3rd.,Tackles..Att.3rd.,Dribblers.Tackled,Dribbles.Contested,X..of.dribblers.tackled,Dribbled.Past,Pressures,Successful.Pressures,Successful.Pressure..,Pressures..Def.3rd.,Pressures..Mid.3rd.,Pressures..Att.3rd.,Blocks,Shots.Blocked,Shots.Saved,Passes.Blocked.1,Interceptions,Tkl.Int,Clearances,Errors,Touches,Touches..Def.Pen.,Touches..Def.3rd.,Touches..Mid.3rd.,Touches..Att.3rd.,Touches..Att.Pen.,Touches..Live.Ball.,Dribbles.Completed,Dribbles.Attempted,Successful.Dribble..,Players.Dribbled.Past,Nutmegs,Carries,Total.Carrying.Distance,Progressive.Carrying.Distance,Progressive.Carries,Carries.into.Final.Third,Carries.into.Penalty.Area,Miscontrols,Dispossessed,Pass.Targets,Passes.Received,Passes.Received..,Progressive.Passes.Rec,Yellow.Cards.1,Red.Cards.1,Second.Yellow.Card,Fouls.Committed,Fouls.Drawn,Offsides,Crosses.1,Interceptions.1,Tackles.Won.1,Penalty.Kicks.Won,Penalty.Kicks.Conceded,Own.Goals,Ball.Recoveries,Aerials.won,Aerials.lost,X..of.Aerials.Won
Aaron Mooy,5000000,31,1.74,Central Midfield,Midfielder,right,1.41095890410959,Shanghai Port,Premier League,0.09,0.09,0.09,0.0,0.0,0.13,0.04,0.09,0.09,0.15,0.23,0.09,1.42,0.35,24.2,0.06,0.25,19.8,0.0,0.0,0.0,0.09,0.09,0.06,0.0,0.0,35.61,46.4,76.7,617.74,178.79,18.91,21.15,89.4,11.74,14.03,83.7,4.19,8.63,48.5,0.09,0.15,1.68,3.45,1.34,0.3,4.14,46.4,42.82,3.58,0.99,0.17,9.88,2.03,2.29,2.29,0.99,0.91,0.3,29.09,7.77,9.54,7.94,36.69,1.04,0.26,0.13,35.61,0.3,0.6,0.82,1.86,3.02,2.2,0.52,0.13,0.09,0.09,0.0,0.3,0.17,0.04,0.09,0.0,0.0,0.0,1.86,1.34,0.56,0.82,0.47,0.35,1.94,17.8,1.6,18.17,5.4,29.7,4.79,8.55,4.83,2.07,0.3,0.04,1.77,0.78,2.63,1.25,0.0,58.66,1.73,8.76,26.89,27.63,1.81,55.21,1.6,2.2,72.5,1.68,0.0,41.78,244.06,120.22,6.13,2.33,0.39,1.3,2.33,47.65,40.01,84.0,6.0,0.13,0.04,0.04,0.69,0.82,0.0,2.29,0.78,1.34,0.0,0.0,0.0,8.16,0.6,1.21,33.3
Aaron Ramsey,5000000,31,1.82,Central Midfield,Midfielder,both,0.243835616438356,Rangers FC,Serie A,0.17,0.33,0.17,0.0,0.0,0.17,0.0,0.41,0.41,0.3,0.71,0.17,1.9,0.83,43.5,0.09,0.2,13.8,0.0,0.0,0.0,0.41,0.41,0.22,-0.25,-0.25,51.74,60.5,85.5,883.14,211.9,25.21,28.1,89.7,20.25,23.31,86.9,5.21,7.02,74.1,0.33,0.3,2.48,4.88,1.82,0.33,4.88,60.5,58.51,1.98,0.83,0.33,8.93,1.24,1.57,0.58,0.17,0.25,0.0,46.45,7.77,6.28,11.74,46.12,1.57,0.33,0.33,51.74,0.41,0.33,1.65,1.16,4.79,3.8,0.41,0.17,0.08,0.25,0.08,0.58,0.41,0.0,0.0,0.0,0.08,0.08,1.98,1.32,0.66,1.16,0.17,0.41,1.98,20.8,1.57,18.6,6.03,32.4,4.46,8.93,5.21,1.16,0.17,0.0,0.99,0.5,2.48,0.74,0.08,71.24,1.41,10.08,36.86,29.09,5.87,69.42,0.99,1.57,63.2,0.99,0.08,51.16,269.5,121.57,6.53,1.82,0.74,1.98,0.83,67.85,58.02,85.5,9.34,0.17,0.0,0.0,2.31,1.74,0.25,1.57,0.5,1.32,0.08,0.0,0.0,6.03,0.58,1.32,30.4
Abdelhamid Sabiri,2000000,25,1.86,Attacking Midfield,Midfielder,right,0.326027397260274,UC Sampdoria,Bundesliga,0.34,0.09,0.26,0.09,0.09,0.52,0.0,0.23,0.16,0.03,0.2,0.34,3.26,1.2,36.8,0.08,0.21,24.4,0.86,0.09,0.09,0.23,0.16,0.05,0.11,0.09,30.14,37.87,79.6,620.3,166.0,13.14,15.11,86.9,10.22,11.94,85.6,5.75,8.67,66.3,0.09,0.03,0.6,3.44,0.26,0.0,3.09,37.87,36.24,1.63,1.46,0.0,9.19,1.98,0.09,0.0,0.0,0.0,0.0,24.22,6.01,7.64,4.81,29.28,1.8,0.17,0.09,30.14,0.0,0.69,0.52,1.12,2.23,1.37,0.09,0.26,0.09,0.34,0.09,0.26,0.17,0.0,0.09,0.0,0.0,0.0,1.89,1.46,0.69,1.12,0.09,0.6,1.98,30.4,1.37,17.35,4.98,28.7,4.98,9.1,3.26,1.37,0.34,0.0,1.03,0.69,2.58,1.63,0.0,53.33,3.09,12.88,31.69,11.85,1.46,51.36,2.83,4.64,61.1,3.01,0.17,37.87,150.72,65.52,2.32,0.34,0.09,1.72,2.06,42.25,36.33,86.0,3.61,0.52,0.0,0.0,2.75,2.49,0.0,0.09,0.69,1.46,0.0,0.0,0.0,8.5,2.06,2.23,48.0
Abdoulaye Doucouré,25000000,29,1.83,Central Midfield,Midfielder,right,1.32602739726027,Everton FC,Premier League,0.1,0.2,0.1,0.0,0.0,0.2,0.0,0.1,0.1,0.06,0.17,0.1,1.34,0.3,22.2,0.07,0.33,16.4,0.0,0.0,0.0,0.1,0.1,0.08,-0.01,-0.01,32.96,41.13,80.1,584.16,125.53,14.62,17.3,84.5,13.78,16.21,85.0,3.52,4.81,73.2,0.2,0.06,0.59,2.87,0.89,0.05,3.67,41.13,40.44,0.69,0.59,0.1,8.57,0.64,0.25,0.0,0.0,0.0,0.0,30.08,6.15,4.91,4.11,33.3,2.33,0.05,0.05,32.96,0.05,0.64,1.78,1.64,2.13,1.78,0.05,0.05,0.15,0.0,0.1,0.3,0.2,0.0,0.05,0.05,0.0,0.0,2.38,1.54,0.99,1.24,0.15,1.09,2.38,45.8,1.29,22.95,6.69,29.2,8.92,9.86,4.16,1.39,0.15,0.0,1.24,1.78,4.16,1.09,0.0,51.44,2.48,13.38,28.74,12.89,1.83,50.8,0.89,1.78,50.0,0.94,0.0,31.72,165.73,89.5,3.22,1.34,0.2,1.04,0.79,35.48,30.18,85.1,2.28,0.2,0.0,0.0,1.64,0.69,0.05,0.25,1.78,1.54,0.0,0.0,0.0,12.04,1.54,1.44,51.7
Abdoulaye Touré,3500000,28,1.88,Defensive Midfield,Midfielder,right,0.326027397260274,Fatih Karagümrük,Süper Lig,0.12,0.12,0.12,0.0,0.0,0.12,0.0,0.16,0.16,0.11,0.25,0.12,1.56,0.36,23.1,0.08,0.33,20.3,0.0,0.0,0.0,0.16,0.16,0.1,-0.04,-0.04,30.2,36.79,82.1,505.97,103.66,15.22,16.42,92.7,11.62,14.86,78.2,2.76,4.31,63.9,0.12,0.11,0.36,3.0,0.12,0.0,2.52,36.79,36.43,0.36,0.24,0.24,5.75,0.48,0.48,0.0,0.0,0.0,0.0,27.2,5.15,4.43,8.63,24.81,2.52,0.12,0.12,30.2,0.0,1.08,1.8,0.48,1.2,0.96,0.0,0.24,0.0,0.0,0.0,0.24,0.24,0.0,0.0,0.0,0.0,0.0,1.56,0.96,0.96,0.6,0.0,0.72,1.92,37.5,1.2,20.49,5.27,25.7,5.99,11.5,3.0,2.16,0.24,0.0,1.92,1.56,3.12,1.8,0.0,48.54,2.04,9.83,29.6,11.5,1.2,48.18,1.08,2.16,50.0,1.2,0.12,29.36,139.01,53.57,2.88,1.32,0.24,0.6,0.84,35.23,29.84,84.7,0.48,0.12,0.0,0.0,0.72,1.8,0.0,0.48,1.56,0.96,0.0,0.12,0.0,9.95,1.56,1.44,52.0
Adam Bodzek,250000,36,1.84,Defensive Midfield,Midfielder,right,0.326027397260274,Fortuna Düsseldorf,Bundesliga,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.03,0.03,0.01,0.04,0.0,0.4,0.18,44.4,0.0,0.0,17.5,0.0,0.0,0.0,0.03,0.03,0.08,-0.03,-0.03,26.08,31.67,82.4,561.62,134.71,8.53,9.92,86.0,11.93,14.11,84.5,5.23,6.74,77.5,0.0,0.01,0.27,2.5,0.18,0.0,2.5,31.67,30.77,0.89,0.8,0.0,6.79,1.88,0.13,0.0,0.0,0.0,0.0,19.03,6.3,6.34,1.88,25.64,2.68,0.09,0.4,26.08,0.04,0.63,0.45,0.45,0.76,0.67,0.04,0.0,0.0,0.0,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,1.79,1.25,0.85,0.89,0.04,0.71,2.95,24.2,2.23,17.91,5.85,32.7,6.25,10.09,1.56,2.05,0.63,0.0,1.43,0.94,2.72,2.1,0.0,40.15,3.35,14.16,22.33,4.82,0.58,39.31,0.18,0.27,66.7,0.18,0.0,21.48,77.76,36.18,1.16,0.31,0.0,0.45,0.54,23.63,21.39,90.5,0.85,0.45,0.0,0.0,1.74,1.47,0.0,0.13,0.94,1.25,0.0,0.04,0.0,10.27,1.38,1.03,57.4
Adam Lallana,2500000,33,1.72,Attacking Midfield,Midfielder,both,1.32602739726027,Brighton & Hove Albion,Premier League,0.04,0.04,0.04,0.0,0.0,0.16,0.0,0.11,0.11,0.04,0.15,0.04,1.32,0.33,25.0,0.03,0.13,17.8,0.0,0.0,0.0,0.11,0.11,0.08,-0.07,-0.07,49.78,56.77,87.7,793.61,182.76,26.27,28.98,90.6,18.98,20.67,91.8,3.21,4.65,69.0,0.04,0.04,0.54,3.71,1.19,0.0,4.41,56.77,55.87,0.91,0.78,0.08,9.35,0.49,0.45,0.0,0.0,0.0,0.0,44.79,6.92,5.06,15.19,38.87,1.65,0.08,0.33,49.78,0.12,0.82,1.36,0.99,1.73,1.52,0.0,0.04,0.0,0.08,0.08,0.21,0.21,0.0,0.0,0.0,0.0,0.0,2.55,1.69,1.19,1.03,0.33,0.78,2.43,32.2,1.65,18.94,6.42,33.9,7.04,8.44,3.46,1.36,0.33,0.0,1.03,1.4,3.95,0.66,0.0,66.66,2.22,16.84,37.59,16.63,2.43,66.0,0.82,1.4,58.8,0.86,0.0,47.8,199.56,95.52,3.83,1.11,0.33,1.19,1.07,52.7,48.01,91.1,3.99,0.16,0.0,0.0,0.99,1.36,0.04,0.45,1.4,1.69,0.0,0.0,0.0,10.38,0.7,0.78,47.2
Ádám Nagy,2000000,26,1.78,Defensive Midfield,Midfielder,right,3.32876712328767,Pisa Sporting Club,Serie A,0.0,0.0,0.0,0.0,0.0,0.28,0.09,0.02,0.02,0.05,0.06,0.0,0.55,0.18,33.3,0.0,0.0,24.6,0.0,0.0,0.0,0.02,0.02,0.03,-0.02,-0.02,41.35,48.09,86.0,762.18,197.35,17.72,19.38,91.4,17.35,20.03,86.6,5.63,7.38,76.3,0.0,0.05,0.83,4.98,0.37,0.09,4.34,48.09,45.88,2.22,0.55,0.0,5.26,1.11,0.46,0.0,0.0,0.0,0.0,38.31,4.71,5.08,11.72,34.34,1.75,0.0,0.09,41.35,0.28,0.92,0.65,0.92,1.29,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58,2.03,1.2,1.2,0.18,0.74,2.31,32.0,1.57,21.23,5.08,23.9,8.4,10.34,2.49,2.31,0.55,0.0,1.75,1.48,4.06,1.66,0.0,58.34,2.68,17.26,35.54,9.14,0.18,56.22,0.65,1.29,50.0,0.74,0.0,38.12,212.58,105.97,5.17,1.29,0.0,0.65,0.74,36.55,34.25,93.7,1.75,0.28,0.09,0.09,0.92,0.74,0.0,0.46,1.48,2.03,0.0,0.0,0.0,11.82,0.28,0.65,30.0
Adama Traoré1,4500000,26,1.78,Central Midfield,Midfielder,left,0.326027397260274,Hatayspor,Ligue 1,0.09,0.35,0.09,0.0,0.0,0.09,0.0,0.1,0.1,0.36,0.46,0.09,1.48,0.35,23.5,0.06,0.25,24.2,0.61,0.0,0.0,0.1,0.1,0.07,-0.02,-0.02,35.67,44.04,81.0,635.23,182.09,16.83,19.62,85.8,12.73,15.17,83.9,4.97,7.76,64.0,0.35,0.36,2.97,3.49,1.22,0.09,4.1,44.04,38.02,6.02,1.92,0.26,9.07,1.57,1.13,3.14,1.66,0.87,0.44,31.57,6.72,5.76,34.1,7.76,0.78,0.44,0.44,35.67,0.09,0.44,1.74,0.61,4.88,3.23,1.31,0.09,0.0,0.26,0.0,0.35,0.26,0.09,0.0,0.0,0.0,0.0,0.52,0.26,0.09,0.44,0.0,0.17,0.61,28.6,0.44,15.44,3.23,20.9,1.83,9.33,4.27,1.22,0.26,0.0,0.96,0.09,0.61,0.61,0.0,54.33,0.78,6.02,31.13,21.54,0.87,48.31,2.62,3.31,78.9,2.62,0.17,42.03,215.93,100.38,5.41,2.27,0.17,1.57,1.66,46.92,36.98,78.8,4.71,0.09,0.0,0.0,0.7,2.88,0.0,1.13,0.09,0.26,0.0,0.0,0.0,8.02,0.7,2.01,25.8
Adel Taarabt,4000000,32,1.78,Attacking Midfield,Midfielder,right,1.32602739726027,SL Benfica,Serie A,0.11,0.11,0.11,0.0,0.0,0.22,0.06,0.07,0.07,0.22,0.3,0.11,1.78,0.61,34.4,0.06,0.18,20.9,0.0,0.0,0.0,0.07,0.07,0.04,0.04,0.04,31.9,41.43,77.0,544.13,133.22,15.61,19.46,80.2,12.49,15.78,79.2,3.18,4.57,69.5,0.11,0.22,1.95,2.17,1.84,0.17,4.01,41.43,39.2,2.23,0.33,0.28,6.3,0.78,1.78,0.72,0.06,0.28,0.06,29.94,7.42,4.07,3.46,36.13,0.95,0.28,0.5,31.9,0.11,0.89,1.28,1.51,4.18,3.35,0.06,0.45,0.17,0.11,0.06,0.39,0.39,0.0,0.0,0.0,0.0,0.0,0.95,0.61,0.39,0.45,0.11,0.39,1.23,31.8,0.84,13.05,3.4,26.1,1.9,7.08,4.07,0.84,0.17,0.0,0.67,0.61,1.56,0.11,0.0,54.37,0.45,4.46,25.48,29.67,3.74,52.25,3.23,4.52,71.6,3.46,0.5,45.89,242.12,139.63,7.64,2.84,1.39,2.62,2.73,55.48,42.55,76.7,11.71,0.22,0.06,0.0,1.34,1.9,0.84,1.78,0.61,0.61,0.0,0.0,0.0,6.02,0.17,1.62,9.4
