"","X","Player","link_TRM","scouting_period","Age","Height","Position","Foot","Data_League","Goals.Against","Shots.on.Target.Against","Saves","Save.","Wins","Draws","Losses","Clean.Sheets","Clean.Sheet.Percentage","Penalty.Kicks.Attempted","Penalty.Kicks.Allowed","Penalty.Kicks.Saved","Penalty.Kicks.Missed","Save...Penalty.Kicks.","Goals.Against.1","Penalty.Kicks.Allowed.1","Free.Kick.Goals.Against","Corner.Kick.Goals.Against","Own.Goals.Scored.Against.Goalkeeper","PSxG","PSxG.SoT","PSxG.GA","Passes.Completed..Launched.","Passes.Attempted..Launched.","Pass.Completion.Percentage..Launched.","Passes.Attempted","Throws.Attempted","Launch.","Average.Pass.Length","Goal.Kicks","Launch...Goal.Kicks.","Avg..Length.of.Goal.Kicks","Crosses.Faced","Crosses.Stopped","Crosses.Stopped..","Def..Actions.Outside.Pen..Area","Avg..Distance.of.Def..Actions"
"1",1,"Aarón Escandell","https://www.transfermarkt.com/aaron-escandell/profil/spieler/284430","2020-2021",26,1.85,"Goalkeeper","right","La Liga",1.6,4.8,3.2,66.7,0.2,0.2,0.6,0.2,20,0,0,0,0,NA,1.6,0,0,0,0,1.92,0.42,0.32,7.6,22.6,33.6,23.6,2.6,72.9,52.1,6.6,81.8,64.6,9,0.6,6.7,2.4,18
"2",2,"Aaron Ramsdale","https://www.transfermarkt.com/aaron-ramsdale/profil/spieler/427568","2021-2022",25,1.91,"Goalkeeper","right","Premier League",0.92,3.71,2.75,78.7,0.67,0.13,0.21,0.5,50,0.13,0.13,0,0,0,0.92,0.13,0,0,0,0.86,0.2,-0.05,5.79,16.67,34.8,29.29,4.88,42,38,5.79,75.5,59,7.79,0.79,10.2,0.79,15.3
"3",3,"Aaron Ramsdale","https://www.transfermarkt.com/aaron-ramsdale/profil/spieler/427568","2020-2021",24,1.91,"Goalkeeper","right","Premier League",1.66,5.39,3.82,70.7,0.18,0.05,0.76,0.13,13.2,0.11,0.08,0,0.03,0,1.66,0.08,0,0.21,0.08,1.63,0.29,0.05,7.63,22.61,33.8,22.63,3.26,70,52.8,7.39,91.5,69.7,8.84,0.84,9.5,0.58,15.3
"4",4,"Aaron Ramsdale","https://www.transfermarkt.com/aaron-ramsdale/profil/spieler/427568","2019-2020",23,1.91,"Goalkeeper","right","Premier League",1.68,4.78,3.24,67.8,0.24,0.19,0.57,0.14,13.5,0.16,0.14,0.03,0,16.7,1.68,0.14,0.11,0.14,0,1.67,0.32,-0.01,5.38,17.7,30.4,22.57,4.97,53.7,44.8,7.81,71.6,58.9,8.68,0.54,6.2,0.46,14.2
"5",5,"Abdoulaye Diallo","https://www.transfermarkt.com/abdoulaye-diallo/profil/spieler/126681","2018-2019",26,1.91,"Goalkeeper","right","Ligue 1",0.73,3.27,2.73,83.3,0.55,0.36,0.18,0.36,33.3,0.18,0.18,0,0,0,0.73,0.18,0,0.18,0,0.87,0.22,0.15,5.82,12.73,45.7,20.36,4.18,42.9,36.3,6.36,62.9,46.7,6.73,0.55,8.1,0.55,13.7
"6",6,"Adrián","https://www.transfermarkt.com/adrian/profil/spieler/71271","2019-2020",34,1.9,"Goalkeeper","right","Premier League",1.03,2.88,1.75,64.3,0.93,0,0,0.21,22.2,0,0,0,0,NA,1.03,0,0.1,0.1,0,0.93,0.32,-0.1,6.17,14.61,42.3,25.3,5.04,44.3,38.3,6.99,48.5,40.2,9.36,0.82,8.8,0.72,13
"7",7,"Adrián","https://www.transfermarkt.com/adrian/profil/spieler/71271","2017-2018",32,1.9,"Goalkeeper","right","Premier League",1.53,5.05,3.47,70.8,0.37,0.32,0.32,0.32,31.6,0.05,0.05,0,0,0,1.53,0.05,0.05,0.42,0.05,1.44,0.28,-0.04,8.37,24.74,33.8,20.37,2.47,78,54.1,9.79,90.3,61.9,10.37,0.63,6.1,0.74,13.9
"8",8,"Adrian Šemper","https://www.transfermarkt.com/adrian-semper/profil/spieler/317057","2018-2019",22,1.94,"Goalkeeper","right","Serie A",1.33,5.17,3.83,74.2,0.17,0.5,0.33,0.33,33.3,0,0,0,0,NA,1.33,0,0,0.17,0,1.33,0.26,0,8.17,20.83,39.2,24.67,5,52.7,43.8,8.67,90.4,59.4,16.67,0.83,5,0.17,11.2
"9",9,"Aitor Fernández","https://www.transfermarkt.com/aitor-fernandez/profil/spieler/118997","2021-2022",32,1.82,"Goalkeeper","right","La Liga",2.24,6.1,3.94,64.6,0.08,0.39,0.54,0.15,15.4,0.15,0.08,0.08,0,50,2.24,0.08,0,0.62,0,1.92,0.29,-0.32,5.63,13.43,42,22.38,4.79,46.2,40.2,7.02,44,36.4,8.57,0.39,4.5,0.85,16.3
"10",10,"Aitor Fernández","https://www.transfermarkt.com/aitor-fernandez/profil/spieler/118997","2020-2021",31,1.82,"Goalkeeper","right","La Liga",1.52,4.07,2.69,65.3,0.28,0.38,0.34,0.1,10.3,0.1,0.1,0,0,0,1.52,0.1,0.03,0.21,0.07,1.34,0.31,-0.11,4.28,11.38,37.6,24.69,5.17,38.3,36.2,7.07,27.3,30,8.79,0.62,7.1,0.93,14.9
"11",11,"Aitor Fernández","https://www.transfermarkt.com/aitor-fernandez/profil/spieler/118997","2019-2020",30,1.82,"Goalkeeper","right","La Liga",1.42,5.58,4.22,76.1,0.33,0.19,0.47,0.14,13.9,0.17,0.08,0.08,0,50,1.42,0.08,0.03,0.22,0.06,1.59,0.27,0.23,5.67,15.36,36.9,21.69,5.17,50.1,41.7,9.36,48.1,41.4,10.61,0.69,6.5,0.81,14
"12",12,"Aitor Fernández","https://www.transfermarkt.com/aitor-fernandez/profil/spieler/118997","2018-2019",29,1.82,"Goalkeeper","right","La Liga",1.5,4.63,3.5,73,0.25,0.31,0.44,0.13,12.5,0.25,0.25,0,0,0,1.5,0.25,0,0.25,0.13,1.44,0.27,0.07,6.5,17.63,36.9,18.25,4.63,56.5,44.3,10.19,71.8,53.1,8.88,0.5,5.6,0.56,13.4
"13",13,"Alban Lafont","https://www.transfermarkt.com/alban-lafont/profil/spieler/357117","2021-2022",24,1.96,"Goalkeeper","right","Ligue 1",1.07,3.75,2.71,72.4,0.43,0.21,0.36,0.29,28.6,0.11,0.04,0.07,0,66.7,1.07,0.04,0,0.14,0.04,1.09,0.27,0.05,5.29,16.75,31.6,21.89,3.32,49.8,44,7.46,78.5,57.1,7.29,0.43,5.9,0.68,14.7
"14",14,"Alban Lafont","https://www.transfermarkt.com/alban-lafont/profil/spieler/357117","2020-2021",23,1.96,"Goalkeeper","right","Ligue 1",1.45,4.16,2.97,71.5,0.24,0.34,0.42,0.13,13.2,0.34,0.26,0.05,0.03,16.7,1.45,0.26,0.05,0.21,0.03,1.38,0.27,-0.04,5.74,17.76,32.3,22.87,3.37,53.4,44.5,6.79,81.8,57.8,8.61,0.63,7.3,0.66,14.9
"15",15,"Alban Lafont","https://www.transfermarkt.com/alban-lafont/profil/spieler/357117","2019-2020",22,1.96,"Goalkeeper","right","Ligue 1",1.07,3.37,2.41,71.4,0.41,0.15,0.44,0.37,37,0.22,0.11,0.07,0.04,40,1.07,0.11,0,0.11,0,0.94,0.24,-0.13,6.11,17.81,34.3,25.81,4.85,48.2,40.8,6.93,77.5,55.3,8.22,0.56,6.8,0.85,15.9
"16",16,"Alban Lafont","https://www.transfermarkt.com/alban-lafont/profil/spieler/357117","2018-2019",21,1.96,"Goalkeeper","right","Serie A",1.19,3.52,2.57,70.3,0.24,0.45,0.33,0.27,26.5,0.18,0.15,0.03,0,16.7,1.19,0.15,0.03,0.15,0.09,1,0.24,-0.1,5.19,14.39,36.1,22.48,4.78,44.6,40,7.61,57.3,47.9,10.39,0.69,6.6,0.84,15.1
"17",17,"Alban Lafont","https://www.transfermarkt.com/alban-lafont/profil/spieler/357117","2017-2018",20,1.96,"Goalkeeper","right","Ligue 1",1.42,4.24,2.97,70.2,0.24,0.26,0.5,0.32,31.6,0.16,0.16,0,0,0,1.42,0.16,0.08,0.24,0,1.38,0.3,-0.04,6.29,16.18,38.9,20.87,3.03,55,44.3,5.42,86.9,61.5,11.79,1.08,9.2,1.16,17.1
"18",18,"Albano Bizzarri","https://www.transfermarkt.com/albano-bizzarri/profil/spieler/7797","2017-2018",41,1.88,"Goalkeeper","right","Serie A",1.63,4.28,2.84,63.5,0.34,0.13,0.53,0.25,25,0.16,0.06,0.06,0.03,50,1.63,0.06,0.03,0.28,0.13,1.31,0.29,-0.19,8.19,19.13,42.8,24.2,4.22,52.5,41.1,8.47,76,53.2,9.57,0.81,8.5,0.41,13
"19",19,"Alberto Brignoli","https://www.transfermarkt.com/alberto-brignoli/profil/spieler/146799","2017-2018",27,1.88,"Goalkeeper","left","Serie A",2.48,5.69,3.36,59.2,0.08,0.16,0.64,0.08,9.1,0.32,0.16,0,0.16,0,2.48,0.16,0,0.48,0,2.32,0.4,-0.16,7.37,21.3,34.6,29.95,4.88,51.3,43.2,8.25,71.8,56.1,11.53,2,17.4,1.28,17
"20",20,"Alberto García","https://www.transfermarkt.com/alberto-garcia/profil/spieler/58497","2018-2019",35,1.82,"Goalkeeper","right","La Liga",2.06,4.88,3,59,0.18,0.24,0.59,0.24,23.5,0.24,0.06,0.18,0,75,2.06,0.06,0,0.29,0.12,1.74,0.32,-0.2,8.06,16.41,49.1,24,4.82,47.8,40.8,7.29,67.7,50.9,11,0.65,5.9,0.53,14.4
"21",21,"Aleksandar Jovanovic","https://www.transfermarkt.com/aleksandar-jovanovic/profil/spieler/256567","2018-2019",27,1.9,"Goalkeeper","right","La Liga",1.58,3.58,2.25,60.5,0.08,0.33,0.58,0,0,0.17,0.17,0,0,0,1.58,0.17,0.08,0.08,0.08,1.32,0.33,-0.18,6.58,20.67,31.9,21.25,1.83,68.6,50,6.67,91.3,64.9,7.58,0.42,5.5,0.42,13.9
"22",22,"Alessio Cragno","https://www.transfermarkt.com/alessio-cragno/profil/spieler/12907","2021-2022",28,1.84,"Goalkeeper","right","Serie A",1.85,4.85,3.12,65.9,0.19,0.31,0.5,0,0,0.27,0.19,0.08,0,28.6,1.85,0.19,0.15,0.35,0.04,1.79,0.33,-0.02,9.31,21.54,43.2,26.58,3.38,57.5,43.1,8.69,72.1,50.4,8.77,0.69,7.9,0.54,14.9
"23",23,"Alessio Cragno","https://www.transfermarkt.com/alessio-cragno/profil/spieler/12907","2020-2021",27,1.84,"Goalkeeper","right","Serie A",1.56,5.21,3.68,72.9,0.18,0.29,0.53,0.18,17.6,0.15,0.15,0,0,0,1.56,0.15,0.03,0.21,0,1.62,0.29,0.06,6.06,14.26,42.5,20.09,3.79,46.3,37.1,8.21,60.6,43.6,9.41,0.91,9.7,0.44,12.8
"24",24,"Alessio Cragno","https://www.transfermarkt.com/alessio-cragno/profil/spieler/12907","2019-2020",26,1.84,"Goalkeeper","right","Serie A",1.31,5.38,4.13,76.7,0.13,0.38,0.5,0.19,18.8,0.13,0.06,0.06,0,50,1.31,0.06,0,0.13,0.06,1.48,0.26,0.23,5.44,15.69,34.7,19.88,4.19,51.6,40.7,9.81,55.4,43,11,0.88,8,0.31,11.5
"25",25,"Alessio Cragno","https://www.transfermarkt.com/alessio-cragno/profil/spieler/12907","2018-2019",25,1.84,"Goalkeeper","right","Serie A",1.42,5.13,3.87,76.4,0.26,0.29,0.45,0.18,18.4,0.26,0.21,0.05,0,20,1.42,0.21,0.03,0.13,0.05,1.49,0.25,0.12,9.37,20.16,46.5,23.45,4.53,53.5,42,9.5,80.1,58.2,11.82,0.89,7.6,0.29,12.9
"26",26,"Alessio Cragno","https://www.transfermarkt.com/alessio-cragno/profil/spieler/12907","2017-2018",24,1.84,"Goalkeeper","right","Serie A",1.67,4.29,2.84,66.1,0.25,0.18,0.6,0.25,24.1,0.35,0.21,0.07,0.07,25,1.67,0.21,0.14,0.04,0.04,1.54,0.31,-0.1,7.55,16.88,44.7,18.65,4.36,51.1,41.1,8.4,87.3,60.2,10.11,0.85,8.4,0.46,13.5
"27",27,"Alex Cordaz","https://www.transfermarkt.com/alex-cordaz/profil/spieler/16633","2020-2021",39,1.88,"Goalkeeper","right","Serie A",2.53,5.64,3.19,57.6,0.17,0.08,0.75,0.06,5.6,0.14,0.14,0,0,0,2.53,0.14,0.06,0.28,0.06,2.12,0.36,-0.35,6.89,16.83,40.9,31.56,4.44,42.1,35.4,8.61,41.3,34.1,8.83,0.5,5.7,0.83,15.1
"28",28,"Alex Cordaz","https://www.transfermarkt.com/alex-cordaz/profil/spieler/16633","2017-2018",36,1.88,"Goalkeeper","right","Serie A",1.74,5.24,3.63,69.8,0.24,0.21,0.55,0.13,13.2,0.21,0.16,0.03,0.03,14.3,1.74,0.16,0.08,0.29,0,1.7,0.3,-0.04,8,23.26,34.4,20.55,2.5,72.3,51.6,8.89,94.4,62.3,11.26,0.55,4.9,0.68,14.4
"29",29,"Alex McCarthy","https://www.transfermarkt.com/alex-mccarthy/profil/spieler/95976","2021-2022",33,1.93,"Goalkeeper","right","Premier League",1.4,4,2.53,65,0.2,0.47,0.33,0.33,33.3,0,0,0,0,NA,1.4,0,0,0.4,0,1.39,0.35,-0.01,4.8,16.07,29.9,22.73,4.07,46.3,39.9,7.27,76.1,56.8,9,1.13,12.6,0.2,12.4
"30",30,"Alex McCarthy","https://www.transfermarkt.com/alex-mccarthy/profil/spieler/95976","2020-2021",32,1.93,"Goalkeeper","right","Premier League",1.9,4.7,3,63.8,0.27,0.23,0.5,0.23,23.3,0.2,0.2,0,0,0,1.9,0.2,0.03,0.13,0.03,1.6,0.31,-0.27,5.17,17.5,29.5,29.93,4.13,45.8,36.8,5.7,66.7,47.6,7.97,0.73,9.2,0.67,15.1
"31",31,"Alex McCarthy","https://www.transfermarkt.com/alex-mccarthy/profil/spieler/95976","2019-2020",31,1.93,"Goalkeeper","right","Premier League",1.25,3.93,2.75,69.1,0.46,0.18,0.36,0.25,25,0.07,0.04,0.04,0,50,1.25,0.04,0,0.14,0.04,1.45,0.36,0.23,7.07,19.86,35.6,22.79,2.64,63.9,48,6.32,83.6,61.4,9.21,0.71,7.8,0.5,14.8
"32",32,"Alex McCarthy","https://www.transfermarkt.com/alex-mccarthy/profil/spieler/95976","2018-2019",30,1.93,"Goalkeeper","right","Premier League",1.76,4.72,3.16,64.4,0.2,0.32,0.48,0.16,16,0.08,0.08,0,0,0,1.76,0.08,0,0.16,0.12,1.41,0.28,-0.23,5.64,18.2,31,19.04,3.2,61.6,48.7,7.6,85.3,63.6,9.92,0.92,9.3,0.68,14.7
"33",33,"Alex McCarthy","https://www.transfermarkt.com/alex-mccarthy/profil/spieler/95976","2017-2018",29,1.93,"Goalkeeper","right","Premier League",1.44,3.72,2.28,62.7,0.17,0.44,0.39,0.22,22.2,0.06,0.06,0,0,0,1.44,0.06,0,0.22,0,1.21,0.32,-0.23,5.83,19.83,29.4,17,3.06,68.6,51.6,8.67,94.2,67,11.39,1.06,9.3,0.28,12.6
"34",34,"Alex Meret","https://www.transfermarkt.com/alex-meret/profil/spieler/240414","2020-2021",23,1.9,"Goalkeeper","left","Serie A",1.32,3.59,2.41,65.8,0.59,0.23,0.18,0.27,27.3,0.09,0.09,0,0,0,1.32,0.09,0.05,0.14,0.05,1.04,0.28,-0.24,2.86,5.32,53.8,23.23,4.41,18,26.7,4.36,26,28.2,6.77,0.68,10.1,0.27,13
"35",35,"Alex Meret","https://www.transfermarkt.com/alex-meret/profil/spieler/240414","2019-2020",22,1.9,"Goalkeeper","left","Serie A",1.52,3.51,2.12,63.2,0.42,0.23,0.32,0.14,14.3,0.28,0.23,0.05,0,16.7,1.52,0.23,0,0.14,0.05,1.28,0.29,-0.2,2.26,6.14,36.8,21.4,3.92,23.7,28.1,6.32,16.8,24.4,7.06,0.37,5.2,0.28,12.1
"36",36,"Alex Meret","https://www.transfermarkt.com/alex-meret/profil/spieler/240414","2018-2019",21,1.9,"Goalkeeper","left","Serie A",0.7,3.68,3.13,85.1,0.7,0.08,0.23,0.39,38.5,0.16,0.16,0,0,0,0.7,0.16,0,0.08,0,0.88,0.2,0.18,2.82,9.7,29,19.8,3.6,30,32.3,7.9,47.5,42.2,8.92,0.55,6.1,0.47,15.3
"37",37,"Alex Meret","https://www.transfermarkt.com/alex-meret/profil/spieler/240414","2017-2018",20,1.9,"Goalkeeper","left","Serie A",1.24,4.35,3.49,76.8,0.16,0.54,0.31,0.31,30.8,0.47,0.23,0.16,0.08,40,1.24,0.23,0,0.16,0.16,1.51,0.28,0.42,6.83,17.78,38.4,19.41,1.94,56,42.5,8.31,83.2,55.6,10.25,1.01,9.8,0.23,13
"38",38,"Álex Remiro","https://www.transfermarkt.com/alex-remiro/profil/spieler/212862","2021-2022",26,1.91,"Goalkeeper","right","La Liga",0.96,3.08,2.2,72.7,0.44,0.32,0.24,0.6,60,0.16,0.12,0.04,0,25,0.96,0.12,0.04,0.16,0,1.04,0.29,0.08,7.68,15.96,48.1,28.84,3.68,41.2,36,6.76,60.4,48.1,8.72,0.72,8.3,1.12,16.2
"39",39,"Álex Remiro","https://www.transfermarkt.com/alex-remiro/profil/spieler/212862","2020-2021",25,1.91,"Goalkeeper","right","La Liga",1,2.63,1.74,65,0.45,0.29,0.26,0.37,36.8,0.13,0.08,0.03,0.03,25,1,0.08,0,0.13,0.03,0.85,0.3,-0.12,6.11,14.76,41.4,26,3.37,42.7,38.1,5.66,64.7,52,7.66,0.45,5.8,0.68,15.7
"40",40,"Álex Remiro","https://www.transfermarkt.com/alex-remiro/profil/spieler/212862","2019-2020",24,1.91,"Goalkeeper","right","La Liga",1.28,3.48,2.48,71.3,0.44,0.16,0.4,0.24,24,0.32,0.28,0.04,0,12.5,1.28,0.28,0.08,0.12,0,1.14,0.25,-0.14,6.84,15.52,44.1,30.68,3.2,37.4,36.3,5.72,70.6,54.2,7.56,0.44,5.8,0.88,17.4
"41",41,"Alexander Nübel","https://www.transfermarkt.com/alexander-nubel/profil/spieler/195778","2021-2022",26,1.93,"Goalkeeper","right","Ligue 1",1.07,3.32,2.57,74.2,0.39,0.29,0.32,0.29,28.6,0.25,0.21,0,0.04,0,1.07,0.21,0,0.14,0.11,1.15,0.29,0.19,4.64,11.54,40.2,23.25,4.29,33.6,34.4,7.07,52.5,43.9,6.86,0.32,4.7,0.57,15.6
"42",42,"Alexander Nübel","https://www.transfermarkt.com/alexander-nubel/profil/spieler/195778","2019-2020",24,1.93,"Goalkeeper","right","Bundesliga",1.56,4.43,3.07,68.4,0.31,0.35,0.35,0.23,23.1,0.16,0.16,0,0,0,1.56,0.16,0.04,0.23,0.08,1.44,0.3,-0.04,6.57,17.22,38.1,31.18,4.32,39.7,37.9,8.05,60.4,47.1,8.32,0.39,4.7,0.62,14.6
"43",43,"Alexander Nübel","https://www.transfermarkt.com/alexander-nubel/profil/spieler/195778","2018-2019",23,1.93,"Goalkeeper","right","Bundesliga",1.64,4.36,2.78,66.2,0.23,0.34,0.45,0.23,22.2,0.23,0.17,0.06,0,25,1.64,0.17,0,0,0,1.6,0.33,-0.04,7.31,16.83,43.4,22.33,3.23,48,41,7.54,81.2,57.9,8.22,0.57,6.9,0.28,13.9
"44",44,"Alexander Schwolow","https://www.transfermarkt.com/alexander-schwolow/profil/spieler/93763","2021-2022",31,1.9,"Goalkeeper","right","Bundesliga",2.22,5.22,3.17,61.7,0.26,0.22,0.52,0.13,13,0.22,0.22,0,0,0,2.22,0.22,0.04,0.3,0,2.09,0.37,-0.13,6.61,15.61,42.3,26.61,5.57,38.2,35.6,8.17,66.5,50.2,10.52,0.43,4.1,0.61,13.5
"45",45,"Alexander Schwolow","https://www.transfermarkt.com/alexander-schwolow/profil/spieler/93763","2020-2021",30,1.9,"Goalkeeper","right","Bundesliga",1.5,3.96,2.69,68,0.23,0.38,0.38,0.31,30.8,0.23,0.23,0,0,0,1.5,0.23,0.04,0.12,0,1.42,0.31,-0.08,6.69,13.81,48.5,26.88,4.73,33.6,34.3,8.42,56.6,46.3,8.77,0.54,6.1,0.46,13.7
"46",46,"Alexander Schwolow","https://www.transfermarkt.com/alexander-schwolow/profil/spieler/93763","2019-2020",29,1.9,"Goalkeeper","right","Bundesliga",1.38,4.91,3.57,74.6,0.39,0.26,0.39,0.17,16.7,0.13,0.13,0,0,0,1.38,0.13,0,0.22,0,1.34,0.26,-0.03,7.7,20.53,37.5,31.42,4.95,40.5,38,10.72,72.7,58.3,9.21,0.6,6.5,0.43,13
"47",47,"Alexander Schwolow","https://www.transfermarkt.com/alexander-schwolow/profil/spieler/93763","2018-2019",28,1.9,"Goalkeeper","right","Bundesliga",1.82,4.91,3.27,67.3,0.21,0.36,0.42,0.15,15.2,0.21,0.21,0,0,0,1.82,0.21,0,0.36,0,1.65,0.3,-0.16,8.73,21.45,40.7,28.52,4.12,47.4,41,9.91,80.1,64.1,10.39,0.48,4.7,0.58,13.7
"48",48,"Alexander Schwolow","https://www.transfermarkt.com/alexander-schwolow/profil/spieler/93763","2017-2018",27,1.9,"Goalkeeper","right","Bundesliga",1.64,4.4,3,65.5,0.25,0.34,0.43,0.28,27.3,0.15,0.12,0,0.03,0,1.64,0.12,0.03,0.28,0.12,1.38,0.3,-0.14,9.88,24.49,40.3,31.64,3.59,52.4,42.7,8.92,88.5,66,10.09,0.59,5.8,0.93,18.2
"49",49,"Alexandre Letellier","https://www.transfermarkt.com/alexandre-letellier/profil/spieler/93730","2017-2018",28,1.93,"Goalkeeper","right","Ligue 1",1.31,3.54,2.46,67.4,0.15,0.54,0.31,0.08,7.7,0.15,0.15,0,0,0,1.31,0.15,0,0.23,0.08,1.05,0.27,-0.18,5.54,12.62,43.9,15.15,3.38,53.3,43.9,4.54,100,72.1,10.23,0.69,6.8,0.46,16.5
