longName,wyId
Harun Tekin,32777
Malang Sarr,393228
Over Mandanda,393230
Alfred John Momar N'Diaye,32793
Ibrahima Konaté,393247
Jasper Cillessen,33
Toby Alderweireld,36
Jan Vertonghen,48
Alexander Djiku,229427
Christian  Dannemann Eriksen,54
Marcel Sabitzer,65596
Kolbeinn Sigþórsson,66
Charles Traoré,393284
Niklas Moisander,77
Charlison Benschop,91
Johann  Berg Guðmunds­son,93
Przemysław Tytoń,99
Marcelo Antônio Guedes Filho,102
Jetro Willems,110
Ali Adnan Kadhim Al Tameemi,131184
Kevin Strootman,114
Memphis Depay,118
Dries Mertens,122
Ola Toivonen,123
Stefan de Vrij,130
Karim El Ahmadi Al Aroos,142
John Guidetti,151
Volkan Babacan,32923
Jeffrey Gouweleeuw,159
Filip Đuričić,174
Peter Pekarík,32959
Jagoš Vuković,192
Nordin Amrabat,32968
Christian Kouakou Yao,131321
Roberto José Rosales Altuve,254
Nacer Chadli,261
Robin Gosens,295176
Yacine Bammou,229697
Florian Le Joncour,328021
André Ramalho Silva,65880
Davide Borsellini,393566
Leon-Aderemi Balogun,16443
Godfred Donsah,295273
Hyun-Jun Suk,382
Dušan Tadić,383
Bram Nuytinck,394
Lasse Schöne,405
Ablie Jallow,376908
Bogdan Sorin Stancu,33235
Gregor Kobel,328190
Denis Lemi Zakaria Lako Lado,360992
Marten de Roon,625
Alex Iwobi,230020
Lorenzo Pellegrini,328333
Mohamed Salim Fares,328336
Otávio Henrique Passos Santos,295569
Hernán Darío Toledo,393881
Maya Yoshida,703
Bryan Passi,426692
Hamza Mendyl,426702
Anthony Caci,426714
Miguel Ángel Guerrero Martín,5481
Róbert Mazáň,786
Martin Terrier,394006
Théodore Efouba Ayissi,394008
Tyronne Ebuehi,332821
Patrick Burner,328488
Samuel Grandsir,295761
Víctor López Ibáñez,404285
Jean Michaël Seri,131959
Gerard Gumbau Garriga,263091
Pablo Maffeo Becerra,263105
Artur Jędrzejczyk,99381
Maciej Rybus,99391
Marcin Kamiński,99410
Karim Onisiwo,66654
Artjoms Rudņevs,99425
Łukasz Skorupski,99430
Paweł Olkowski,99437
Arkadiusz Milik,99452
Préjuce Niguimbé Nakoulma,99453
Gianluca Pegolo,20771
Mariusz Stępiński,99511
Duje Ćaleta-Car,230626
Edvinas Gertmonas,240507
Hrvoje Milić,69874
Jonathan Klinsmann,492782
Francesco Vicari,263432
Alex Ferrari,263433
Emil Berggreen,230687
Igor Lewczuk,99633
Cheick Keita,361779
Carlos Calderón López,329026
Thiago Rangel Cionek,99661
Rodrigo Bentancur Colmán,361807
Bernardo Fernandes da Silva Junior,296341
Rafał Gikiewicz,99749
Alessandro Deiola,263591
Nadiem Amiri,263614
Yeray Álvarez López,230857
Íñigo Lekue Martínez,230862
Ali Gabr,198120
Pere Pons Riera,230895
Federico Nicolás Cartabia,230897
Bartosz Bereszyński,99833
Ólafur Ingi Skúlason,38241
Dominik Kohr,165425
Piotr Zieliński,99902
Jemerson de Jesus Nascimento,263766
Youri Tielemans,263802
Timothy Castagne,263803
Kenny Tete,1712
Viktor Fischer,1722
Riechedly Bazoer,1729
Oussama Tannane,1751
Presnel Kimpembe,231138
Kingsley Coman,231139
Gabriel Barbosa Almeida,263948
Mamadou Sissako,231184
Şener Özbayraklı,34592
Andrey Semenov,102629
Yoel Armougom,493412
Kévin Lucien Zohi,493415
Igor Zubeldía Elorza,395114
George Gope-Fenepej,132972
Pierluigi Gollini,264084
Ezequiel Ponce Martínez,284322
Enrico Bearzotti,388099
Emiliano Viviano,20802
Maximiliano Gómez González,395636
Moctar El Hacen El Id,264778
Thomas Strakosha,166534
Marcus Coco,330387
Joel Pohjanpalo,35477
Miguel Ángel Trauco Saavedra,115146
Vincent Laurini,22313
Firmin Ndombe Mubele,264989
Antonín Barák,265172
Manuel Akanji,297957
Samuel  Castillejo Azuaga,134174
Filip Manojlović,363560
Rubén Sobrino Pozuelo,134249
Vasili Berezutski,101581
Julio César Villalba Gaona,363648
Onyinye Wilfred Ndidi,265366
Abdullahi Shehu,265368
Tomáš Hubočan,101555
Bruno Eduardo Regufe Alves,101558
Achraf Hakimi Mouh,396475
Eloi Amagat Arimany,167104
Vicente Guaita Panadero,3267
Jordi Alba Ramos,3269
Antonio Barragán Fernández,3270
Igor Akinfeev,101576
Adil Rami,3276
Víctor Ruíz Torre,3277
Sabin Merino Zuloaga,167119
Éver Maximiliano David Banega,3280
Juan Bernat Velasco,3281
Sergio Canales Madrazo,3282
Daniel Parejo Muñoz,3286
Cristian Portugués Manzanera,3287
Keisuke Honda,101592
Mehmet Topal,3289
Aritz Aduriz Zubeldia,3290
Francisco Alcácer García,3291
Pablo Daniel Piatti,3293
Antonio Adán Garrido,3296
Fernando Pacheco Flores,3299
Dalbert Henrique Chagas Estevão,298212
Ahmed Musa,101606
José Ignacio Fernández Iglesias,3304
Sergio Ramos García,3306
Ricardo Alberto Silveira de Carvalho,3307
Pedro Filipe Teodósio Mendes,3308
Raphaël Varane,3309
Marcelo Vieira da Silva Júnior,3310
Niklas Süle,134383
José María Callejón Bueno,3313
Lassana Diarra,3315
Esteban Félix Granero Molina,3317
Sami Khedira,3318
Mesut Özil,3319
Nuri Şahin,3320
Karim Benzema,3321
Cristiano Ronaldo dos Santos Aveiro,3322
Gonzalo Gerardo Higuaín,3323
Juan Francisco Moreno Fuertes,3325
Oier Olazábal Paredes,3330
Felipe Salvador Caicedo Corozo,101635
Daniel Alves da Silva,3334
Marc Bartra Aregall,3335
Andreu Fontàs Prat,3337
Sergi Gómez Solà,3338
Martín Montoya Torralbo,3339
Marc Muniesa Martínez,3340
Alessio Cragno,134413
Rafael Alcântara do Nascimento,3344
Thiago Alcântara do Nascimento,3345
Sergio Busquets i Burgos,3346
Sergi Roberto Carnicer,3347
Filippo Costa,134420
Jonathan dos Santos Ramírez,3349
Andrés Iniesta Luján,3353
Daniele Rugani,134427
Leonardo Capezzi,134429
Cristian Tello Herrera,3358
Lionel Andrés Messi Cuccittini,3359
Alberto Grassi,134435
Artem Dzyuba,101669
José Andrés Guardado Hernández,3384
Alexandr Samedov,101699
Kepa Arrizabalaga Revuelta,3397
Raúl Fernández-Cavada Mateos,3398
Gorka Iraizoz Moreno,3399
Riccardo Piscitelli,134475
Jonás  Ramalho Chimeno,3407
Enric Saborit Teixidor,3408
Mikel San José Domínguez,3409
Ander Iturraspe Derteano,3414
Javier Martínez Aginaga,3416
Markel Susaeta Laskurain,3420
Óscar de Marcos Arana,3421
Ibai Gómez Pérez,3423
Iker Muniain Goñi,3425
Sergio  Asenjo Andrés,3428
Clément Lenglet,134503
Diego Roberto Godín Leal,3433
Filipe Luis Kasmirski,3434
Seko Fofana,134508
Cristian Daniel Ansaldi,101742
Jorge Resurrección Merodio,3443
Eduardo Antonio Salvio,3445
Juan Francisco Torres Belén,3447
Arda Turan,3448
Radamel Falcao García Zárate,3450
Adrián López Álvarez,3451
Sergio Rico González,3458
Jorge Andújar Moreno,3460
Federico Julián Fazio,3463
Antonio Manuel Luna Rodríguez,3464
Fernando Navarro i Corbacho,3465
Alexis Ruano Delgado,3466
Layvin Kurzawa,134540
José Ángel Gómez Campaña,3470
Jesús Navas González,3474
Diego Perotti,3475
Ivan Rakitić,3476
Luis Alberto Romero Alconchel,3484
Ahmet Yilmaz Çalık,134557
Andrés Eduardo Fernández Moreno,3486
Asier Riesgo Unamuno,3488
Lacina Traoré,101795
Marcos Danilo Ureña Porras,101796
Sergio Postigo Redondo,3496
Raúl García Escudero,3503
Masoud Shojaei Soleimani,3509
David Timor Copoví,3510
Enrique Sola Clemente,3517
Diego López Rodríguez,3519
Igor Smolnikov,101825
Mateo Pablo Musacchio,3526
Bernardo Mota Veiga de Carvalho e Silva,265673
Cristian Eduardo Zapata Valencia,3531
Jaume Vicent Costa Jordá,3534
Jonathan  de Guzmán,3535
Mubarak Wakaso,3538
Hernán Arsenio Pérez González,3539
Bruno  Soriano Llido,3541
Manuel Trigueros Muñoz,3542
Mehdi Carcela-González,101847
Giuseppe Rossi,3548
Wilfredo Daniel Caballero,3551
Rubén Iván Martínez Andrade,3554
Federico Santiago Valverde Dipetta,364005
Ían Pino Soler,462312
Sergio Sánchez Ortega,3562
Francisco Román Alarcón Suárez,3563
Ignacio Camacho Barnola,3566
José Luis García del Pozo,3568
Eliseu Pereira dos Santos,3570
Joaquín Sánchez Rodríguez,3571
Francisco Portillo Soler,3572
Jérémy Toulalan,3573
Juan Miguel Jiménez López,3576
Beñat Etxebarria Urkiaga,3595
Rubén Castro Martín,3604
Jorge Molina Vidal,3605
Divock Okoth Origi,134708
Iván Ramis Barrios,3642
Pedro Bigas Rigo,3644
Gonzalo Castro Irizábal,3645
Tomás Pina Isla,3650
Antonio Miguel Ramírez Martínez,3663
Alberto De La Bella Madureño,3667
Íñigo Martínez Berridi,3671
Carlos Martínez Díez,3672
Asier Illarramendi Andonegi,3676
Rubén Pardo Gutiérrez,3677
Xabier Prieto Argarate,3678
David Zurutuza Veillet,3680
Imanol Agirretxe Arruti,3681
Antoine Griezmann,3682
Carlos Alberto Vela Garrido,3685
Bernardo José Espinosa Zúñiga,3692
Álvaro González Soberón,3695
Yannick Ferreira Carrasco,134769
Papakouli Diop,3704
Adrián  González Morales,3705
Jairo Samperio Bustara,3708
Khouma El Hadji Babacar,3710
Cristhian Ricardo Stuani Curbelo,3714
Roberto Jiménez Gago,3719
Nemanja Maksimović,265864
Sergej Milinković-Savić,265865
Hernani Azevedo Júnior,134797
Juan Carlos Pérez López,3735
Franco Zuculini,3736
Mikel Balenziaga Oruesagasti,3750
Alberto  Bueno Calvo,3779
