longName,avg_playerankIndex,scouting_period
Kevin Long,0.1889942692230142,2017-2018
Ahmed Benali,0.1715021509913239,2017-2018
Jordan Pickford,0.15259966773273223,2017-2018
Felipe Salvador Caicedo Corozo,0.18635276539585435,2017-2018
Cristian Daniel Ansaldi,0.17469774966837193,2017-2018
Lacina Traoré,0.18094876136637147,2017-2018
Marcelo Antônio Guedes Filho,0.1895297065213876,2017-2018
Sam Clucas,0.1718720701283435,2017-2018
Martin Dúbravka,0.21527171651441976,2017-2018
Willian Borges da Silva,0.18726562966175506,2017-2018
Douglas Costa de Souza,0.1971731741760989,2017-2018
Henrikh Mkhitaryan,0.19197700944069318,2017-2018
Fernando Luiz Rosa,0.19562879678227296,2017-2018
Ivan Strinić,0.17107308201010032,2017-2018
Nikola Kalinić,0.1890209171798337,2017-2018
Yevhen Konoplyanka,0.18527123478854443,2017-2018
Danilo Fernando Avelar,0.16551937633105837,2017-2018
Lucas Pérez Martínez,0.1760019399820114,2017-2018
Brown Ideye Aide,0.17278600544532519,2017-2018
Admir Mehmedi,0.1823583478875131,2017-2018
Andriy Yarmolenko,0.18918582802642384,2017-2018
Andre Gray,0.18535594361356758,2017-2018
Erik Pieters,0.16754552067819412,2017-2018
Jetro Willems,0.1664160175229286,2017-2018
Jesús Joaquín Fernández Sáez de la Torre,0.18973147477681424,2017-2018
Raheem Shaquille Sterling,0.2143311948988279,2017-2018
Tom Smith,0.16643476378227606,2017-2018
Milos Veljkovic,0.18197295379528697,2017-2018
Moussa Sidi Yaya Dembélé,0.1765502821134783,2017-2018
Marcello Trotta,0.18677535392358394,2017-2018
Miguel Arturo Layún Prado,0.1708271190901302,2017-2018
Oswaldo Augusto Vizcarrondo Araújo,0.1802276193893558,2017-2018
Scott Arfield,0.17382933922550348,2017-2018
Kevin Strootman,0.17206771962020945,2017-2018
Gianluca Lapadula,0.1770813218123559,2017-2018
Georginio Wijnaldum,0.18184686810346004,2017-2018
João Pedro Geraldino dos Santos Galvão,0.17276697317156525,2017-2018
Diego Sebastián Laxalt Suárez,0.1716364156921273,2017-2018
Diego Alejandro Rolán Silva,0.1844157763214711,2017-2018
Facundo Julián Píriz González,0.17221902988293944,2017-2018
Matías Vecino Falero,0.18690330113180947,2017-2018
Callum Wilson,0.18747788029483514,2017-2018
Memphis Depay,0.201750646816968,2017-2018
Islam Slimani,0.18216213465013034,2017-2018
