Player_Names,Player_valuation,Age,Height,Position,Gen_Pos,Foot,Y_Contract_Left,Actual_Club,Data_League,Goals,Assists,Non.Penalty.Goals,Penalty.Kicks.Made,Penalty.Kicks.Attempted,Yellow.Cards,Red.Cards,xG,npxG,xA,npxG.xA,Goals.1,Shots.Total,Shots.on.target,Shots.on.target..,Goals.Shot,Goals.Shot.on.target,Average.Shot.Distance,Shots.from.free.kicks,Penalty.Kicks.Made.1,Penalty.Kicks.Attempted.1,xG.1,npxG.1,npxG.Sh,Goals...xG,Non.Penalty.Goals...npxG,Passes.Completed,Passes.Attempted,Pass.Completion..,Total.Passing.Distance,Progressive.Passing.Distance,Passes.Completed..Short.,Passes.Attempted..Short.,Pass.Completion....Short.,Passes.Completed..Medium.,Passes.Attempted..Medium.,Pass.Completion....Medium.,Passes.Completed..Long.,Passes.Attempted..Long.,Pass.Completion....Long.,Assists.1,xA.1,Key.Passes,Passes.into.Final.Third,Passes.into.Penalty.Area,Crosses.into.Penalty.Area,Progressive.Passes,Passes.Attempted.1,Live.ball.passes,Dead.ball.passes,Passes.from.Free.Kicks,Through.Balls,Passes.Under.Pressure,Switches,Crosses,Corner.Kicks,Inswinging.Corner.Kicks,Outswinging.Corner.Kicks,Straight.Corner.Kicks,Ground.passes,Low.Passes,High.Passes,Passes.Attempted..Left.,Passes.Attempted..Right.,Passes.Attempted..Head.,Throw.Ins.taken,Passes.Attempted..Other.,Passes.Completed.1,Passes.Offside,Passes.Out.of.Bounds,Passes.Intercepted,Passes.Blocked,Shot.Creating.Actions,SCA..PassLive.,SCA..PassDead.,SCA..Drib.,SCA..Sh.,SCA..Fld.,SCA..Def.,Goal.Creating.Actions,GCA..PassLive.,GCA..PassDead.,GCA..Drib.,GCA..Sh.,GCA..Fld.,GCA..Def.,Tackles,Tackles.Won,Tackles..Def.3rd.,Tackles..Mid.3rd.,Tackles..Att.3rd.,Dribblers.Tackled,Dribbles.Contested,X..of.dribblers.tackled,Dribbled.Past,Pressures,Successful.Pressures,Successful.Pressure..,Pressures..Def.3rd.,Pressures..Mid.3rd.,Pressures..Att.3rd.,Blocks,Shots.Blocked,Shots.Saved,Passes.Blocked.1,Interceptions,Tkl.Int,Clearances,Errors,Touches,Touches..Def.Pen.,Touches..Def.3rd.,Touches..Mid.3rd.,Touches..Att.3rd.,Touches..Att.Pen.,Touches..Live.Ball.,Dribbles.Completed,Dribbles.Attempted,Successful.Dribble..,Players.Dribbled.Past,Nutmegs,Carries,Total.Carrying.Distance,Progressive.Carrying.Distance,Progressive.Carries,Carries.into.Final.Third,Carries.into.Penalty.Area,Miscontrols,Dispossessed,Pass.Targets,Passes.Received,Passes.Received..,Progressive.Passes.Rec,Yellow.Cards.1,Red.Cards.1,Second.Yellow.Card,Fouls.Committed,Fouls.Drawn,Offsides,Crosses.1,Interceptions.1,Tackles.Won.1,Penalty.Kicks.Won,Penalty.Kicks.Conceded,Own.Goals,Ball.Recoveries,Aerials.won,Aerials.lost,X..of.Aerials.Won
Aaron Lennon,1000000,34,1.65,Right Winger,Winger,right,0.326027397260274,Burnley FC,Premier League,0.18,0.0,0.18,0.0,0.0,0.18,0.0,0.06,0.06,0.03,0.08,0.18,0.64,0.18,28.6,0.29,1.0,22.7,0.0,0.0,0.0,0.06,0.06,0.09,0.12,0.12,13.46,19.68,68.4,204.45,47.79,8.06,9.61,83.8,4.21,6.13,68.7,0.92,2.66,34.5,0.0,0.03,0.37,0.55,0.27,0.09,1.01,19.68,19.23,0.46,0.0,0.0,4.03,0.46,1.74,0.0,0.0,0.0,0.0,12.36,3.02,4.3,1.37,16.75,0.64,0.27,0.0,13.46,0.27,0.46,0.73,1.01,1.74,0.92,0.0,0.27,0.0,0.55,0.0,0.37,0.09,0.0,0.09,0.0,0.18,0.0,2.38,1.1,0.55,1.19,0.64,0.55,2.2,25.0,1.65,23.16,5.49,23.7,6.5,9.25,7.42,2.01,0.27,0.0,1.74,0.64,3.02,0.73,0.0,30.67,1.46,5.13,13.0,14.37,2.2,30.21,0.92,2.38,38.5,1.19,0.09,19.5,95.22,48.71,2.56,0.82,0.92,1.1,1.1,25.18,18.22,72.4,2.93,0.18,0.0,0.0,1.56,1.19,0.37,1.74,0.64,1.1,0.0,0.0,0.0,4.85,0.73,1.19,38.1
Abdessamad Ezzalzouli,8000000,20,1.77,Left Winger,Winger,right,2.32876712328767,FC Barcelona,La Liga,0.16,0.0,0.16,0.0,0.0,0.62,0.0,0.2,0.2,0.09,0.29,0.16,2.48,0.47,18.8,0.06,0.33,16.2,0.0,0.0,0.0,0.2,0.2,0.08,-0.05,-0.05,21.41,29.33,73.0,276.67,43.76,16.29,18.93,86.1,3.26,5.28,61.8,1.09,2.33,46.7,0.0,0.09,0.78,0.31,0.47,0.16,1.4,29.33,28.55,0.78,0.16,0.0,5.43,0.62,3.26,0.16,0.0,0.0,0.0,21.88,3.88,3.57,4.34,23.28,0.62,0.47,0.31,21.41,0.0,0.0,1.71,1.4,1.71,0.93,0.0,0.31,0.16,0.16,0.16,0.16,0.0,0.0,0.0,0.16,0.0,0.0,2.33,1.55,1.4,0.62,0.31,0.78,1.24,62.5,0.47,15.67,5.12,32.7,4.34,6.05,5.28,0.93,0.0,0.0,0.93,1.71,4.03,0.0,0.0,47.48,0.0,7.14,15.83,30.26,9.31,46.71,4.5,7.29,61.7,4.66,0.31,42.36,282.26,192.72,9.16,2.64,3.57,3.72,3.41,46.09,35.53,77.1,7.76,0.62,0.0,0.0,2.64,2.95,0.31,3.26,1.71,1.55,0.0,0.0,0.0,5.74,0.47,2.17,17.6
Abdoul Kader Bamba,1500000,27,1.77,Right Winger,Winger,right,0.326027397260274,Amiens SC,Ligue 1,0.29,0.1,0.29,0.0,0.1,0.2,0.0,0.27,0.2,0.18,0.37,0.29,1.37,0.59,42.9,0.21,0.5,18.7,0.1,0.0,0.1,0.27,0.2,0.14,0.02,0.1,36.41,48.48,75.1,605.56,171.76,19.83,22.48,88.2,12.46,16.19,77.0,3.24,6.48,50.0,0.1,0.18,2.26,2.45,0.98,0.2,3.34,48.48,43.68,4.81,2.26,0.1,7.85,1.08,1.96,1.67,0.29,0.88,0.49,35.33,6.28,6.87,4.42,41.61,0.98,0.69,0.2,36.41,0.2,0.88,1.28,2.55,4.12,2.65,0.69,0.39,0.0,0.29,0.1,0.29,0.2,0.0,0.1,0.0,0.0,0.0,1.86,1.28,0.69,0.79,0.39,0.59,1.47,40.0,0.88,15.11,4.91,32.5,4.02,7.75,3.34,1.28,0.0,0.0,1.28,0.69,2.55,0.29,0.0,61.73,0.49,7.66,29.74,28.56,3.73,57.51,3.53,5.59,63.2,3.83,0.2,47.21,225.05,132.2,6.97,1.28,1.57,2.06,1.86,56.14,43.87,78.1,7.16,0.2,0.0,0.0,1.08,4.22,0.0,1.96,0.69,1.28,0.0,0.0,0.0,8.74,0.79,1.08,42.1
Adam Marušic,9000000,29,1.85,Right Midfield,Winger,right,0.326027397260274,SS Lazio,Serie A,0.02,0.0,0.02,0.0,0.0,0.15,0.02,0.0,0.0,0.02,0.03,0.02,0.2,0.05,25.0,0.13,0.5,18.7,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.02,53.54,60.99,87.8,922.18,314.38,25.93,28.05,92.4,21.71,24.33,89.2,5.08,7.03,72.3,0.0,0.02,0.3,3.53,0.47,0.17,3.06,60.99,54.87,6.12,1.11,0.02,6.29,0.74,0.72,0.0,0.0,0.0,0.0,45.57,7.97,7.45,7.4,44.8,2.66,5.01,0.3,53.54,0.12,0.57,1.11,0.84,0.64,0.62,0.0,0.02,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,1.28,0.69,0.69,0.49,0.1,0.57,1.33,42.6,0.76,8.59,2.47,28.7,4.02,3.18,1.38,1.83,0.35,0.0,1.48,1.85,3.13,2.47,0.02,69.45,4.47,26.03,37.48,10.98,0.72,63.55,0.57,1.06,53.5,0.62,0.02,46.16,230.55,116.15,4.27,1.48,0.1,0.47,0.69,48.48,46.11,95.1,1.36,0.15,0.02,0.02,1.01,0.49,0.02,0.72,1.85,0.69,0.0,0.02,0.02,8.56,1.6,0.79,67.0
Adam Ounas,8000000,25,1.72,Right Winger,Winger,left,1.32602739726027,SSC Napoli,Serie A,0.34,0.27,0.34,0.0,0.0,0.07,0.0,0.18,0.18,0.31,0.5,0.34,2.46,0.82,33.3,0.14,0.42,16.8,0.0,0.0,0.0,0.18,0.18,0.08,0.16,0.16,32.14,40.69,79.0,653.87,158.59,12.65,15.39,82.2,13.47,15.66,86.0,5.68,8.0,70.9,0.27,0.31,2.26,2.74,2.26,0.41,4.31,40.69,38.09,2.6,0.75,0.27,7.73,2.67,1.85,1.44,0.75,0.34,0.07,29.82,5.06,5.81,32.96,6.57,0.55,0.14,0.07,32.14,0.0,0.82,1.03,1.5,4.31,3.01,0.27,0.68,0.07,0.27,0.0,0.62,0.34,0.07,0.14,0.07,0.0,0.0,1.16,0.62,0.27,0.68,0.21,0.34,0.82,41.7,0.48,15.39,3.08,20.0,3.42,7.45,4.51,1.16,0.14,0.0,1.03,0.68,1.85,0.34,0.0,55.26,0.68,7.32,29.41,25.44,4.45,52.86,3.9,5.68,68.7,4.1,0.21,47.53,290.79,183.35,7.39,3.08,1.64,2.39,2.8,53.28,42.26,79.3,5.81,0.07,0.0,0.0,1.57,2.8,0.62,1.85,0.68,0.62,0.0,0.0,0.0,6.43,0.55,1.44,27.6
Adama Diakhaby,1500000,25,1.84,Left Winger,Winger,left,0.326027397260274,Amiens SC,Premier League,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.13,0.13,0.07,0.21,0.0,1.14,0.49,42.9,0.0,0.0,18.2,0.0,0.0,0.0,0.13,0.13,0.12,-0.13,-0.13,19.57,27.39,71.4,302.12,55.27,11.09,14.18,78.2,7.5,9.29,80.7,0.98,2.45,40.0,0.0,0.07,0.82,0.65,0.49,0.16,1.47,27.39,26.41,0.98,0.16,0.0,7.66,0.33,2.45,0.16,0.0,0.16,0.0,19.57,3.75,4.08,21.2,3.42,1.63,0.0,0.49,19.57,0.16,1.14,0.65,1.63,1.79,1.14,0.0,0.16,0.16,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.98,0.82,0.16,0.16,0.49,1.96,25.0,1.47,21.68,4.4,20.3,6.68,8.8,6.2,0.98,0.0,0.0,0.98,0.33,1.47,0.0,0.0,40.6,0.33,4.73,18.75,21.36,3.42,39.78,1.96,3.59,54.5,1.96,0.16,35.05,171.52,117.55,6.85,1.47,1.14,3.1,3.75,46.3,31.96,69.0,7.99,0.16,0.0,0.0,1.47,1.79,0.33,2.45,0.33,0.98,0.0,0.0,0.0,4.57,0.65,2.12,23.5
Adama Traoré,28000000,26,1.76,Right Winger,Winger,right,0.326027397260274,FC Barcelona,La Liga,0.12,0.23,0.12,0.0,0.0,0.04,0.0,0.15,0.15,0.18,0.32,0.12,1.91,0.62,32.7,0.06,0.19,18.0,0.0,0.0,0.0,0.15,0.15,0.08,-0.03,-0.03,22.03,30.44,72.4,364.59,74.86,11.56,14.25,81.1,7.82,10.74,72.8,2.06,3.54,58.2,0.23,0.18,1.67,1.48,1.17,0.58,2.22,30.44,30.25,0.19,0.0,0.0,7.55,0.86,3.93,0.0,0.0,0.0,0.0,20.01,4.4,6.03,3.78,24.17,0.43,0.19,0.27,22.03,0.12,0.86,1.21,1.75,3.78,2.53,0.0,0.7,0.0,0.39,0.16,0.39,0.31,0.0,0.04,0.0,0.04,0.0,0.93,0.66,0.43,0.23,0.27,0.23,0.78,30.0,0.55,11.83,3.7,31.3,2.34,5.72,3.78,0.93,0.12,0.0,0.82,0.43,1.36,0.31,0.04,45.31,0.47,4.13,20.09,26.39,5.37,45.12,4.52,6.42,70.3,4.75,0.12,41.42,299.04,193.39,9.73,2.49,2.88,3.11,2.69,52.12,35.97,69.0,6.85,0.04,0.0,0.0,1.56,3.27,0.51,3.93,0.43,0.66,0.0,0.0,0.0,5.49,1.79,2.49,41.8
Ademola Lookman,9000000,24,1.74,Left Winger,Winger,right,0.326027397260274,Leicester City,Premier League,0.18,0.09,0.18,0.0,0.0,0.13,0.0,0.22,0.22,0.16,0.38,0.18,1.6,0.49,30.6,0.11,0.36,14.4,0.0,0.0,0.0,0.22,0.22,0.14,-0.04,-0.04,27.11,36.0,75.3,404.76,113.2,15.51,18.09,85.7,9.11,11.24,81.0,1.69,4.18,40.4,0.09,0.16,1.69,1.24,1.42,0.13,3.29,36.0,32.58,3.42,0.98,0.09,6.27,0.76,1.64,1.6,0.8,0.58,0.09,28.71,3.11,4.18,6.93,27.96,0.53,0.4,0.04,27.11,0.18,0.49,1.64,1.6,2.8,1.87,0.31,0.31,0.13,0.13,0.04,0.18,0.09,0.04,0.0,0.0,0.04,0.0,2.0,1.16,0.71,0.84,0.44,0.49,1.56,31.4,1.07,20.58,5.56,27.0,5.42,9.11,6.04,1.42,0.09,0.0,1.33,1.29,3.29,0.36,0.0,50.09,0.62,6.36,22.22,25.24,5.6,46.76,2.53,4.0,63.3,2.62,0.27,39.47,192.89,112.36,6.31,1.6,1.38,2.22,2.84,46.22,33.91,73.4,6.8,0.13,0.0,0.0,2.0,2.49,0.53,1.64,1.29,1.16,0.04,0.0,0.0,6.8,0.31,1.11,21.9
Adnan Januzaj,12000000,27,1.86,Right Winger,Winger,left,0.326027397260274,Real Sociedad,La Liga,0.21,0.21,0.08,0.12,0.12,0.29,0.0,0.25,0.15,0.31,0.46,0.21,2.55,0.74,29.0,0.03,0.11,22.0,0.45,0.12,0.12,0.25,0.15,0.06,-0.04,-0.07,29.45,43.67,67.5,597.55,229.25,12.86,15.53,82.8,10.56,13.93,75.8,5.46,12.2,44.8,0.21,0.31,2.51,2.79,2.46,0.53,5.01,43.67,35.49,8.17,2.75,0.37,7.8,3.49,3.16,4.76,1.89,1.93,0.21,27.07,5.46,11.13,36.23,5.87,0.45,0.58,0.0,29.45,0.37,1.64,1.93,2.14,4.44,2.09,1.52,0.33,0.25,0.25,0.0,0.62,0.25,0.12,0.04,0.12,0.08,0.0,0.99,0.49,0.25,0.53,0.21,0.21,0.78,26.3,0.58,9.98,3.0,30.0,1.97,5.3,2.71,1.23,0.21,0.0,1.03,0.94,1.93,0.7,0.0,61.12,0.94,5.34,28.71,31.92,3.61,53.77,2.92,5.18,56.3,3.16,0.29,47.03,222.43,135.76,8.59,2.67,0.99,3.25,3.49,51.96,44.28,85.2,5.83,0.29,0.0,0.0,0.94,3.61,0.16,3.16,0.94,0.49,0.04,0.0,0.0,4.76,0.78,1.27,38.0
Adri Embarba,6000000,29,1.73,Right Winger,Winger,right,2.32876712328767,RCD Espanyol Barcelona,La Liga,0.0,0.11,0.0,0.0,0.0,0.11,0.0,0.15,0.15,0.12,0.28,0.0,2.26,0.77,34.1,0.0,0.0,22.8,0.77,0.0,0.0,0.15,0.15,0.07,-0.15,-0.15,22.16,36.21,61.2,381.27,121.91,11.3,13.72,82.3,6.94,11.02,63.0,2.87,8.71,32.9,0.11,0.12,1.6,1.21,1.16,0.55,1.93,36.21,28.93,7.28,1.76,0.0,6.67,1.87,3.53,5.29,1.71,2.2,0.11,19.01,5.84,11.35,5.62,28.0,1.27,0.22,0.39,22.16,0.33,1.1,1.32,2.2,3.86,1.82,1.05,0.39,0.22,0.22,0.17,0.33,0.11,0.17,0.0,0.06,0.0,0.0,1.43,0.88,0.61,0.44,0.39,0.66,2.31,28.6,1.65,13.89,3.36,24.2,3.86,6.17,3.86,1.76,0.11,0.0,1.65,1.27,2.7,1.16,0.0,50.1,1.71,7.66,19.12,27.17,2.26,42.44,1.32,2.98,44.4,1.54,0.22,30.2,179.56,104.0,5.79,1.76,0.88,2.31,1.76,37.26,29.1,78.1,3.58,0.11,0.0,0.0,1.65,2.04,0.33,3.53,1.27,0.88,0.0,0.0,0.0,7.11,0.77,1.27,37.8
