Player_Names,Player_valuation,Age,Height,Position,Foot,Y_Contract_Left,Actual_Club,Data_League,Goals,Assists,Non.Penalty.Goals,Penalty.Kicks.Made,Penalty.Kicks.Attempted,Yellow.Cards,Red.Cards,xG,npxG,xA,npxG.xA,Goals.1,Shots.Total,Shots.on.target,Shots.on.target..,Goals.Shot,Goals.Shot.on.target,Average.Shot.Distance,Shots.from.free.kicks,Penalty.Kicks.Made.1,Penalty.Kicks.Attempted.1,xG.1,npxG.1,npxG.Sh,Goals...xG,Non.Penalty.Goals...npxG,Passes.Completed,Passes.Attempted,Pass.Completion..,Total.Passing.Distance,Progressive.Passing.Distance,Passes.Completed..Short.,Passes.Attempted..Short.,Pass.Completion....Short.,Passes.Completed..Medium.,Passes.Attempted..Medium.,Pass.Completion....Medium.,Passes.Completed..Long.,Passes.Attempted..Long.,Pass.Completion....Long.,Assists.1,xA.1,Key.Passes,Passes.into.Final.Third,Passes.into.Penalty.Area,Crosses.into.Penalty.Area,Progressive.Passes,Passes.Attempted.1,Live.ball.passes,Dead.ball.passes,Passes.from.Free.Kicks,Through.Balls,Passes.Under.Pressure,Switches,Crosses,Corner.Kicks,Inswinging.Corner.Kicks,Outswinging.Corner.Kicks,Straight.Corner.Kicks,Ground.passes,Low.Passes,High.Passes,Passes.Attempted..Left.,Passes.Attempted..Right.,Passes.Attempted..Head.,Throw.Ins.taken,Passes.Attempted..Other.,Passes.Completed.1,Passes.Offside,Passes.Out.of.Bounds,Passes.Intercepted,Passes.Blocked,Shot.Creating.Actions,SCA..PassLive.,SCA..PassDead.,SCA..Drib.,SCA..Sh.,SCA..Fld.,SCA..Def.,Goal.Creating.Actions,GCA..PassLive.,GCA..PassDead.,GCA..Drib.,GCA..Sh.,GCA..Fld.,GCA..Def.,Tackles,Tackles.Won,Tackles..Def.3rd.,Tackles..Mid.3rd.,Tackles..Att.3rd.,Dribblers.Tackled,Dribbles.Contested,X..of.dribblers.tackled,Dribbled.Past,Pressures,Successful.Pressures,Successful.Pressure..,Pressures..Def.3rd.,Pressures..Mid.3rd.,Pressures..Att.3rd.,Blocks,Shots.Blocked,Shots.Saved,Passes.Blocked.1,Interceptions,Tkl.Int,Clearances,Errors,Touches,Touches..Def.Pen.,Touches..Def.3rd.,Touches..Mid.3rd.,Touches..Att.3rd.,Touches..Att.Pen.,Touches..Live.Ball.,Dribbles.Completed,Dribbles.Attempted,Successful.Dribble..,Players.Dribbled.Past,Nutmegs,Carries,Total.Carrying.Distance,Progressive.Carrying.Distance,Progressive.Carries,Carries.into.Final.Third,Carries.into.Penalty.Area,Miscontrols,Dispossessed,Pass.Targets,Passes.Received,Passes.Received..,Progressive.Passes.Rec,Yellow.Cards.1,Red.Cards.1,Second.Yellow.Card,Fouls.Committed,Fouls.Drawn,Offsides,Crosses.1,Interceptions.1,Tackles.Won.1,Penalty.Kicks.Won,Penalty.Kicks.Conceded,Own.Goals,Ball.Recoveries,Aerials.won,Aerials.lost,X..of.Aerials.Won
Aaron Connolly,7000000,22,1.75,Centre-Forward,right,0.243835616438356,Middlesbrough FC,Premier League,0.23,0.11,0.23,0.0,0.0,0.0,0.0,0.4,0.4,0.02,0.42,0.23,2.62,0.91,34.8,0.09,0.25,13.7,0.0,0.0,0.0,0.4,0.4,0.15,-0.17,-0.17,8.99,11.49,78.2,130.51,18.77,5.12,6.37,80.4,2.96,3.41,86.7,0.46,0.57,80.0,0.11,0.02,0.57,0.23,0.11,0.0,0.34,11.49,10.35,1.14,0.0,0.0,2.5,0.11,0.23,0.0,0.0,0.0,0.0,7.28,2.96,1.25,1.25,8.42,0.57,0.0,0.34,8.99,0.0,0.0,0.23,0.46,1.37,0.8,0.0,0.34,0.0,0.23,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.8,0.57,0.23,0.46,0.11,0.11,0.57,20.0,0.46,14.11,4.55,32.3,0.8,6.6,6.71,1.02,0.11,0.0,0.91,0.0,0.8,0.11,0.0,22.87,0.11,1.59,9.56,13.2,4.32,21.73,0.91,1.14,80.0,0.91,0.0,14.11,74.53,44.03,1.93,0.91,0.46,3.3,1.71,40.62,16.27,40.1,7.28,0.0,0.0,0.0,0.8,1.82,0.91,0.23,0.0,0.57,0.11,0.0,0.0,3.19,1.25,3.41,26.8
Aaron Cresswell,4000000,32,1.7,Left-Back,left,1.32602739726027,West Ham United,Premier League,0.03,0.21,0.03,0.0,0.0,0.09,0.0,0.03,0.03,0.17,0.2,0.03,0.51,0.06,11.8,0.06,0.5,22.5,0.27,0.0,0.0,0.03,0.03,0.06,0.0,0.0,52.17,66.38,78.6,969.03,434.44,23.5,25.7,91.4,21.53,25.28,85.2,6.48,13.32,48.7,0.21,0.17,1.78,4.07,1.1,0.39,5.2,66.38,52.82,13.56,2.11,0.0,6.45,2.14,2.38,2.47,0.83,1.46,0.09,38.13,12.7,15.56,50.83,3.93,1.55,8.98,0.24,52.17,0.39,1.1,2.05,1.99,2.53,1.22,1.22,0.0,0.09,0.0,0.0,0.36,0.12,0.21,0.0,0.03,0.0,0.0,1.01,0.57,0.68,0.27,0.06,0.51,1.1,45.9,0.59,6.9,2.35,34.1,3.3,2.8,0.8,1.37,0.42,0.0,0.95,1.46,2.47,2.53,0.0,74.12,4.04,21.0,34.86,22.28,1.01,60.56,0.15,0.59,25.0,0.15,0.06,42.92,186.72,94.37,3.63,1.55,0.09,0.27,0.3,47.02,44.94,95.6,1.04,0.09,0.0,0.0,0.71,0.45,0.06,2.38,1.46,0.57,0.0,0.03,0.0,7.94,1.22,0.77,61.2
Aaron Hickey,13000000,19,1.85,Left-Back,both,2.32876712328767,Bologna FC 1909,Serie A,0.19,0.05,0.19,0.0,0.0,0.24,0.0,0.03,0.03,0.04,0.07,0.19,0.87,0.53,61.1,0.22,0.36,22.4,0.0,0.0,0.0,0.03,0.03,0.04,0.16,0.16,34.53,41.67,82.9,532.91,146.72,19.1,20.84,91.7,12.83,15.68,81.8,1.93,3.52,54.8,0.05,0.04,0.68,0.82,0.48,0.19,1.4,41.67,33.38,8.3,0.82,0.0,6.08,0.39,1.3,0.0,0.0,0.0,0.0,28.31,7.81,5.55,20.26,12.68,1.01,7.48,0.1,34.53,0.1,0.29,1.06,0.72,1.4,1.21,0.05,0.05,0.0,0.05,0.05,0.14,0.14,0.0,0.0,0.0,0.0,0.0,1.35,0.63,0.58,0.43,0.34,0.39,0.77,50.0,0.39,13.02,3.62,27.8,5.88,4.53,2.6,2.12,0.48,0.0,1.64,1.21,2.56,1.3,0.0,52.43,2.99,16.25,23.01,16.45,1.06,44.47,1.16,1.98,58.5,1.35,0.05,34.15,172.33,93.28,4.1,1.06,0.43,0.92,0.77,36.32,31.45,86.6,2.65,0.24,0.0,0.0,1.4,2.6,0.1,1.3,1.21,0.63,0.0,0.0,0.0,6.08,0.48,1.06,31.3
Aaron Lennon,1000000,34,1.65,Right Winger,right,0.326027397260274,Burnley FC,Premier League,0.18,0.0,0.18,0.0,0.0,0.18,0.0,0.06,0.06,0.03,0.08,0.18,0.64,0.18,28.6,0.29,1.0,22.7,0.0,0.0,0.0,0.06,0.06,0.09,0.12,0.12,13.46,19.68,68.4,204.45,47.79,8.06,9.61,83.8,4.21,6.13,68.7,0.92,2.66,34.5,0.0,0.03,0.37,0.55,0.27,0.09,1.01,19.68,19.23,0.46,0.0,0.0,4.03,0.46,1.74,0.0,0.0,0.0,0.0,12.36,3.02,4.3,1.37,16.75,0.64,0.27,0.0,13.46,0.27,0.46,0.73,1.01,1.74,0.92,0.0,0.27,0.0,0.55,0.0,0.37,0.09,0.0,0.09,0.0,0.18,0.0,2.38,1.1,0.55,1.19,0.64,0.55,2.2,25.0,1.65,23.16,5.49,23.7,6.5,9.25,7.42,2.01,0.27,0.0,1.74,0.64,3.02,0.73,0.0,30.67,1.46,5.13,13.0,14.37,2.2,30.21,0.92,2.38,38.5,1.19,0.09,19.5,95.22,48.71,2.56,0.82,0.92,1.1,1.1,25.18,18.22,72.4,2.93,0.18,0.0,0.0,1.56,1.19,0.37,1.74,0.64,1.1,0.0,0.0,0.0,4.85,0.73,1.19,38.1
Aaron Leya Iseka,2200000,24,1.82,Centre-Forward,right,3.32876712328767,Barnsley FC,Ligue 1,0.36,0.0,0.18,0.18,0.27,0.36,0.0,0.42,0.21,0.06,0.28,0.36,1.61,0.54,33.3,0.11,0.33,14.8,0.0,0.18,0.27,0.42,0.21,0.13,-0.06,-0.04,13.48,17.77,75.9,202.59,30.36,8.13,9.91,82.0,3.75,5.09,73.7,1.07,1.52,70.6,0.0,0.06,1.07,0.89,0.27,0.0,0.8,17.77,17.05,0.71,0.0,0.27,5.0,0.18,0.36,0.0,0.0,0.0,0.0,11.52,3.39,2.86,1.7,12.77,0.8,0.0,0.71,13.48,0.09,0.36,0.54,0.54,1.88,1.25,0.0,0.27,0.0,0.36,0.0,0.09,0.0,0.0,0.09,0.0,0.0,0.0,0.8,0.45,0.27,0.27,0.27,0.27,0.89,30.0,0.63,10.8,2.32,21.5,0.36,5.0,5.45,0.54,0.27,0.0,0.27,0.18,0.98,0.36,0.0,28.48,0.98,2.95,16.07,11.52,3.13,27.5,1.25,2.05,60.9,1.43,0.0,18.3,75.8,38.39,2.68,1.07,0.89,2.86,1.79,48.48,22.5,46.4,5.54,0.36,0.0,0.0,2.5,1.16,0.18,0.36,0.18,0.45,0.0,0.0,0.0,2.77,2.41,4.2,36.5
Aarón Martín,5000000,24,1.8,Left-Back,left,1.32602739726027,1.FSV Mainz 05,Bundesliga,0.03,0.14,0.03,0.0,0.0,0.14,0.0,0.03,0.03,0.14,0.17,0.03,0.68,0.14,20.0,0.05,0.25,22.5,0.14,0.0,0.0,0.03,0.03,0.04,0.01,0.01,33.77,45.97,73.5,620.63,229.21,15.64,17.58,89.0,12.95,16.32,79.3,4.5,10.29,43.7,0.14,0.14,1.57,2.08,0.92,0.61,2.69,45.97,36.67,9.3,1.06,0.07,5.35,1.6,3.27,2.28,1.02,0.99,0.03,25.93,8.59,11.45,36.12,2.79,0.78,5.96,0.07,33.77,0.17,0.51,1.81,1.6,2.15,1.33,0.68,0.0,0.07,0.03,0.03,0.17,0.14,0.03,0.0,0.0,0.0,0.0,2.28,1.06,1.3,0.78,0.2,0.82,1.87,43.6,1.06,13.84,4.23,30.5,5.49,6.17,2.18,1.4,0.24,0.0,1.16,1.23,3.51,2.32,0.0,55.48,2.32,15.81,25.25,17.62,1.09,46.18,0.89,1.53,57.8,0.99,0.0,32.65,151.44,81.48,3.61,1.3,0.1,0.51,0.58,35.2,31.52,89.5,1.7,0.14,0.0,0.0,1.64,0.82,0.1,3.27,1.23,1.06,0.0,0.0,0.0,6.61,0.65,1.3,33.3
Aaron Mooy,5000000,31,1.74,Central Midfield,right,1.41095890410959,Shanghai Port,Premier League,0.09,0.09,0.09,0.0,0.0,0.13,0.04,0.09,0.09,0.15,0.23,0.09,1.42,0.35,24.2,0.06,0.25,19.8,0.0,0.0,0.0,0.09,0.09,0.06,0.0,0.0,35.61,46.4,76.7,617.74,178.79,18.91,21.15,89.4,11.74,14.03,83.7,4.19,8.63,48.5,0.09,0.15,1.68,3.45,1.34,0.3,4.14,46.4,42.82,3.58,0.99,0.17,9.88,2.03,2.29,2.29,0.99,0.91,0.3,29.09,7.77,9.54,7.94,36.69,1.04,0.26,0.13,35.61,0.3,0.6,0.82,1.86,3.02,2.2,0.52,0.13,0.09,0.09,0.0,0.3,0.17,0.04,0.09,0.0,0.0,0.0,1.86,1.34,0.56,0.82,0.47,0.35,1.94,17.8,1.6,18.17,5.4,29.7,4.79,8.55,4.83,2.07,0.3,0.04,1.77,0.78,2.63,1.25,0.0,58.66,1.73,8.76,26.89,27.63,1.81,55.21,1.6,2.2,72.5,1.68,0.0,41.78,244.06,120.22,6.13,2.33,0.39,1.3,2.33,47.65,40.01,84.0,6.0,0.13,0.04,0.04,0.69,0.82,0.0,2.29,0.78,1.34,0.0,0.0,0.0,8.16,0.6,1.21,33.3
Aaron Ramsey,5000000,31,1.82,Central Midfield,both,0.243835616438356,Rangers FC,Serie A,0.17,0.33,0.17,0.0,0.0,0.17,0.0,0.41,0.41,0.3,0.71,0.17,1.9,0.83,43.5,0.09,0.2,13.8,0.0,0.0,0.0,0.41,0.41,0.22,-0.25,-0.25,51.74,60.5,85.5,883.14,211.9,25.21,28.1,89.7,20.25,23.31,86.9,5.21,7.02,74.1,0.33,0.3,2.48,4.88,1.82,0.33,4.88,60.5,58.51,1.98,0.83,0.33,8.93,1.24,1.57,0.58,0.17,0.25,0.0,46.45,7.77,6.28,11.74,46.12,1.57,0.33,0.33,51.74,0.41,0.33,1.65,1.16,4.79,3.8,0.41,0.17,0.08,0.25,0.08,0.58,0.41,0.0,0.0,0.0,0.08,0.08,1.98,1.32,0.66,1.16,0.17,0.41,1.98,20.8,1.57,18.6,6.03,32.4,4.46,8.93,5.21,1.16,0.17,0.0,0.99,0.5,2.48,0.74,0.08,71.24,1.41,10.08,36.86,29.09,5.87,69.42,0.99,1.57,63.2,0.99,0.08,51.16,269.5,121.57,6.53,1.82,0.74,1.98,0.83,67.85,58.02,85.5,9.34,0.17,0.0,0.0,2.31,1.74,0.25,1.57,0.5,1.32,0.08,0.0,0.0,6.03,0.58,1.32,30.4
Aaron Wan-Bissaka,38000000,24,1.83,Right-Back,right,2.32876712328767,Manchester United,Premier League,0.0,0.08,0.0,0.0,0.0,0.13,0.03,0.01,0.01,0.06,0.07,0.0,0.22,0.08,37.5,0.0,0.0,15.0,0.0,0.0,0.0,0.01,0.01,0.04,-0.01,-0.01,52.03,60.52,86.0,798.74,263.78,28.94,31.37,92.3,19.02,21.53,88.4,2.72,4.66,58.4,0.08,0.06,0.81,2.34,0.86,0.4,3.07,60.52,51.66,8.87,0.7,0.03,7.14,0.81,1.62,0.0,0.0,0.0,0.0,44.0,11.1,5.42,3.1,47.26,1.37,8.16,0.13,52.03,0.05,0.43,1.86,1.56,1.67,1.35,0.05,0.11,0.05,0.03,0.08,0.13,0.11,0.0,0.0,0.03,0.0,0.0,2.29,1.32,1.32,0.54,0.43,0.43,0.89,48.5,0.46,11.99,3.69,30.8,5.25,4.34,2.4,2.64,0.54,0.03,2.1,2.59,4.88,2.86,0.0,73.02,4.04,24.31,32.98,20.53,1.13,64.32,1.81,2.64,68.4,1.83,0.16,46.54,228.69,132.76,5.12,1.81,0.13,0.62,1.0,47.75,44.25,92.7,1.81,0.13,0.03,0.0,0.86,0.81,0.03,1.62,2.59,1.32,0.0,0.03,0.0,8.19,0.86,1.19,42.1
Abdelhamid Sabiri,2000000,25,1.86,Attacking Midfield,right,0.326027397260274,UC Sampdoria,Bundesliga,0.34,0.09,0.26,0.09,0.09,0.52,0.0,0.23,0.16,0.03,0.2,0.34,3.26,1.2,36.8,0.08,0.21,24.4,0.86,0.09,0.09,0.23,0.16,0.05,0.11,0.09,30.14,37.87,79.6,620.3,166.0,13.14,15.11,86.9,10.22,11.94,85.6,5.75,8.67,66.3,0.09,0.03,0.6,3.44,0.26,0.0,3.09,37.87,36.24,1.63,1.46,0.0,9.19,1.98,0.09,0.0,0.0,0.0,0.0,24.22,6.01,7.64,4.81,29.28,1.8,0.17,0.09,30.14,0.0,0.69,0.52,1.12,2.23,1.37,0.09,0.26,0.09,0.34,0.09,0.26,0.17,0.0,0.09,0.0,0.0,0.0,1.89,1.46,0.69,1.12,0.09,0.6,1.98,30.4,1.37,17.35,4.98,28.7,4.98,9.1,3.26,1.37,0.34,0.0,1.03,0.69,2.58,1.63,0.0,53.33,3.09,12.88,31.69,11.85,1.46,51.36,2.83,4.64,61.1,3.01,0.17,37.87,150.72,65.52,2.32,0.34,0.09,1.72,2.06,42.25,36.33,86.0,3.61,0.52,0.0,0.0,2.75,2.49,0.0,0.09,0.69,1.46,0.0,0.0,0.0,8.5,2.06,2.23,48.0
